Nome: QUEIMADAS
Codigo Estacao: A436
Latitude: -10.98472221
Longitude: -39.61694443
Altitude: 310.11
Situacao: Operante
Data Inicial: 2008-05-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;
2008-06-30;2.804254;
2008-07-31;2.932124;
2008-08-31;3.305108;
2008-09-30;3.773056;
2008-10-31;4.527016;
2008-11-30;4.278412;
2008-12-31;3.094355;
2009-01-31;3.357778;
2009-02-28;3.374865;
2009-03-31;2.928495;
2009-04-30;2.676111;
2009-05-31;2.763306;
2009-06-30;2.612917;
2009-07-31;2.929973;
2009-08-31;3.27043;
2009-09-30;3.980513;
2009-10-31;3.430204;
2009-11-30;3.565;
2009-12-31;3.367204;
2010-01-31;2.871823;
2010-02-28;3.501935;
2010-03-31;2.672177;
2010-04-30;2.199583;
2010-05-31;2.419893;
2010-06-30;2.914583;
2010-07-31;2.765457;
2010-08-31;2.864825;
2010-09-30;3.654306;
2010-10-31;3.104973;
2010-11-30;3.163472;
2010-12-31;2.415188;
2011-01-31;3.139382;
2011-02-28;2.99256;
2011-03-31;2.128554;
2011-04-30;2.717639;
2011-05-31;2.825403;
2011-06-30;2.7525;
2011-07-31;3.35793;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;3.535695;
2011-12-31;2.981989;
2012-01-31;3.745968;
2012-02-29;3.767529;
2012-03-31;3.761021;
2012-04-30;3.421389;
2012-05-31;3.219892;
2012-06-30;3.225972;
2012-07-31;3.281855;
2012-08-31;3.856836;
2012-09-30;4.09625;
2012-10-31;4.335887;
2012-11-30;3.532778;
2012-12-31;3.937903;
2013-01-31;3.69879;
2013-02-28;4.212798;
2013-03-31;3.698555;
2013-04-30;3.508333;
2013-05-31;3.176075;
2013-06-30;2.990404;
2013-07-31;3.20336;
2013-08-31;3.34664;
2013-09-30;3.897743;
2013-10-31;null;
2013-11-30;4.190972;
2013-12-31;2.880242;
2014-01-31;3.802823;
2014-02-28;3.798363;
2014-03-31;3.308064;
2014-04-30;2.761806;
2014-05-31;2.628763;
2014-06-30;2.831806;
2014-07-31;2.922581;
2014-08-31;3.21129;
2014-09-30;3.746111;
2014-10-31;4.527419;
2014-11-30;null;
2014-12-31;null;
2015-01-31;3.289043;
2015-02-28;2.952976;
2015-03-31;3.014919;
2015-04-30;2.681806;
2015-05-31;2.632258;
2015-06-30;2.482222;
2015-07-31;2.665726;
2015-08-31;3.131048;
2015-09-30;3.749306;
2015-10-31;3.860484;
2015-11-30;3.969306;
2015-12-31;4.381989;
2016-01-31;2.558468;
2016-02-29;2.726581;
2016-03-31;3.091667;
2016-04-30;3.115833;
2016-05-31;2.66586;
2016-06-30;2.692778;
2016-07-31;2.981586;
2016-08-31;3.27715;
2016-09-30;3.678611;
2016-10-31;4.169331;
2016-11-30;3.999167;
2016-12-31;3.723925;
2017-01-31;3.88293;
2017-02-28;3.709375;
2017-03-31;3.350538;
2017-04-30;3.348611;
2017-05-31;2.99086;
2017-06-30;2.99;
2017-07-31;3.453226;
2017-08-31;3.21835;
2017-09-30;3.773913;
2017-10-31;4.228331;
2017-11-30;3.779768;
2017-12-31;3.526948;
2018-01-31;3.983527;
2018-02-28;null;
2018-03-31;null;
2018-04-30;2.642331;
2018-05-31;2.650871;
2018-06-30;2.495302;
2018-07-31;2.994691;
2018-08-31;3.32982;
2018-09-30;3.897573;
2018-10-31;3.789902;
2018-11-30;3.668653;
2018-12-31;2.390394;
2019-01-31;3.31375;
2019-02-28;3.076277;
2019-03-31;2.855754;
2019-04-30;2.213903;
2019-05-31;2.62067;
2019-06-30;2.5345;
2019-07-31;2.564247;
2019-08-31;3.113563;
2019-09-30;3.451176;
2019-10-31;4.020027;
2019-11-30;3.899127;
2019-12-31;3.89833;
2020-01-31;2.485418;
2020-02-29;2.526728;
2020-03-31;null;
2020-04-30;2.129061;
2020-05-31;null;
2020-06-30;2.162747;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;3.763295;
2021-11-30;2.462111;
2021-12-31;2.229085;
2022-01-31;2.237823;
2022-02-28;2.512955;
2022-03-31;2.721822;
2022-04-30;2.752062;
2022-05-31;2.760581;
2022-06-30;2.662326;
2022-07-31;3.290498;
2022-08-31;3.206924;
2022-09-30;3.454964;
2022-10-31;4.349583;
2022-11-30;2.864203;
2022-12-31;2.521236;

