Nome: SERRINHA
Codigo Estacao: A441
Latitude: -11.66472222
Longitude: -39.02305554
Altitude: 337.79
Situacao: Operante
Data Inicial: 2008-05-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;
2008-06-30;2.368308;
2008-07-31;2.662909;
2008-08-31;2.640054;
2008-09-30;2.935;
2008-10-31;3.209005;
2008-11-30;3.717778;
2008-12-31;2.798118;
2009-01-31;2.914908;
2009-02-28;2.777129;
2009-03-31;2.727016;
2009-04-30;2.604583;
2009-05-31;2.990054;
2009-06-30;2.314722;
2009-07-31;2.346289;
2009-08-31;2.485133;
2009-09-30;null;
2009-10-31;3.090661;
2009-11-30;3.446806;
2009-12-31;3.191667;
2010-01-31;2.668969;
2010-02-28;2.801042;
2010-03-31;2.449731;
2010-04-30;2.488194;
2010-05-31;2.34065;
2010-06-30;3.040556;
2010-07-31;2.708737;
2010-08-31;2.436877;
2010-09-30;2.794722;
2010-10-31;2.920161;
2010-11-30;3.181944;
2010-12-31;2.761962;
2011-01-31;2.651075;
2011-02-28;2.645116;
2011-03-31;2.540877;
2011-04-30;2.516667;
2011-05-31;2.69207;
2011-06-30;2.426944;
2011-07-31;2.667759;
2011-08-31;2.691263;
2011-09-30;3.237639;
2011-10-31;null;
2011-11-30;3.241506;
2011-12-31;3.210803;
2012-01-31;3.189651;
2012-02-29;3.075718;
2012-03-31;3.07895;
2012-04-30;2.91875;
2012-05-31;2.911425;
2012-06-30;2.42875;
2012-07-31;2.531317;
2012-08-31;2.914459;
2012-09-30;3.218333;
2012-10-31;3.189919;
2012-11-30;3.358889;
2012-12-31;3.366129;
2013-01-31;3.187097;
2013-02-28;3.328274;
2013-03-31;3.249889;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;2.194046;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;3.224861;
2013-12-31;3.067339;
2014-01-31;3.216936;
2014-02-28;2.797509;
2014-03-31;2.826747;
2014-04-30;2.637911;
2014-05-31;2.620027;
2014-06-30;2.3925;
2014-07-31;2.450146;
2014-08-31;2.539119;
2014-09-30;2.986516;
2014-10-31;3.529973;
2014-11-30;3.200429;
2014-12-31;2.986559;
2015-01-31;3.229278;
2015-02-28;3.00462;
2015-03-31;2.933871;
2015-04-30;2.642778;
2015-05-31;2.642987;
2015-06-30;2.344601;
2015-07-31;2.103921;
2015-08-31;2.233596;
2015-09-30;2.912295;
2015-10-31;3.082661;
2015-11-30;3.562243;
2015-12-31;3.373051;
2016-01-31;2.659333;
2016-02-29;2.490736;
2016-03-31;2.751116;
2016-04-30;2.644348;
2016-05-31;2.38369;
2016-06-30;2.5125;
2016-07-31;2.285618;
2016-08-31;2.550941;
2016-09-30;2.928056;
2016-10-31;3.407527;
2016-11-30;3.298394;
2016-12-31;3.189843;
2017-01-31;3.146237;
2017-02-28;3.135779;
2017-03-31;2.929032;
2017-04-30;2.731171;
2017-05-31;2.527478;
2017-06-30;2.581093;
2017-07-31;3.01745;
2017-08-31;2.678395;
2017-09-30;3.055139;
2017-10-31;3.201525;
2017-11-30;3.312373;
2017-12-31;3.178425;
2018-01-31;3.296563;
2018-02-28;3.322396;
2018-03-31;2.631127;
2018-04-30;2.580139;
2018-05-31;2.311828;
2018-06-30;2.066111;
2018-07-31;2.09543;
2018-08-31;2.524462;
2018-09-30;2.897917;
2018-10-31;3.176882;
2018-11-30;3.246389;
2018-12-31;2.72043;
2019-01-31;2.912366;
2019-02-28;2.892113;
2019-03-31;2.619355;
2019-04-30;2.147361;
2019-05-31;2.085887;
2019-06-30;2.253611;
2019-07-31;2.419624;
2019-08-31;2.237903;
2019-09-30;2.617222;
2019-10-31;2.927285;
2019-11-30;3.300833;
2019-12-31;3.066129;
2020-01-31;2.627285;
2020-02-29;2.369253;
2020-03-31;2.258737;
2020-04-30;2.263333;
2020-05-31;2.224077;
2020-06-30;2.057083;
2020-07-31;2.14328;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;3.009812;
2021-01-31;2.751613;
2021-02-28;2.836161;
2021-03-31;2.669758;
2021-04-30;2.415139;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

