Nome: EUCLIDES DA CUNHA
Codigo Estacao: A442
Latitude: -10.537233
Longitude: -38.996605
Altitude: 431.96
Situacao: Operante
Data Inicial: 2008-03-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;null;
2008-05-31;2.815217;
2008-06-30;2.836878;
2008-07-31;2.986881;
2008-08-31;3.050672;
2008-09-30;3.429583;
2008-10-31;4.00672;
2008-11-30;4.074444;
2008-12-31;3.395968;
2009-01-31;3.457164;
2009-02-28;3.430396;
2009-03-31;3.065188;
2009-04-30;2.828472;
2009-05-31;2.842876;
2009-06-30;2.666528;
2009-07-31;2.583871;
2009-08-31;2.795968;
2009-09-30;3.101944;
2009-10-31;3.069109;
2009-11-30;3.680556;
2009-12-31;3.664113;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;3.021237;
2010-08-31;2.868525;
2010-09-30;3.356528;
2010-10-31;3.201235;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;3.359673;
2011-09-30;4.02218;
2011-10-31;3.750822;
2011-11-30;3.579487;
2011-12-31;3.527378;
2012-01-31;3.897581;
2012-02-29;3.845115;
2012-03-31;3.818414;
2012-04-30;3.596945;
2012-05-31;3.38075;
2012-06-30;3.291504;
2012-07-31;3.231317;
2012-08-31;3.666763;
2012-09-30;3.84125;
2012-10-31;4.239516;
2012-11-30;3.564861;
2012-12-31;3.792339;
2013-01-31;3.689516;
2013-02-28;3.903571;
2013-03-31;null;
2013-04-30;3.517222;
2013-05-31;2.794647;
2013-06-30;2.557727;
2013-07-31;2.612605;
2013-08-31;2.811425;
2013-09-30;3.18125;
2013-10-31;3.450672;
2013-11-30;3.603333;
2013-12-31;2.93414;
2014-01-31;3.483468;
2014-02-28;3.467262;
2014-03-31;3.366935;
2014-04-30;2.897917;
2014-05-31;2.587097;
2014-06-30;2.857083;
2014-07-31;2.837366;
2014-08-31;2.973656;
2014-09-30;3.390309;
2014-10-31;3.859039;
2014-11-30;3.190498;
2014-12-31;3.177788;
2015-01-31;3.684535;
2015-02-28;3.342482;
2015-03-31;3.277985;
2015-04-30;2.831143;
2015-05-31;2.759161;
2015-06-30;2.523169;
2015-07-31;2.619108;
2015-08-31;2.760659;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;3.670296;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;3.134279;
2017-08-31;null;
2017-09-30;3.555809;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;2.953178;
2018-06-30;2.811335;
2018-07-31;2.965495;
2018-08-31;3.352023;
2018-09-30;3.809831;
2018-10-31;3.559232;
2018-11-30;4.052647;
2018-12-31;3.011888;
2019-01-31;3.567537;
2019-02-28;3.150653;
2019-03-31;3.06999;
2019-04-30;2.523026;
2019-05-31;2.621435;
2019-06-30;2.722735;
2019-07-31;2.5341;
2019-08-31;null;
2019-09-30;null;
2019-10-31;3.277491;
2019-11-30;null;
2019-12-31;null;
2020-01-31;2.509199;
2020-02-29;2.388104;
2020-03-31;2.155778;
2020-04-30;2.14064;
2020-05-31;2.246483;
2020-06-30;2.260564;
2020-07-31;2.484716;
2020-08-31;2.571917;
2020-09-30;2.876478;
2020-10-31;3.005931;
2020-11-30;2.612626;
2020-12-31;2.89397;
2021-01-31;3.049665;
2021-02-28;2.683828;
2021-03-31;2.859804;
2021-04-30;2.696423;
2021-05-31;2.436622;
2021-06-30;2.335798;
2021-07-31;null;
2021-08-31;2.713524;
2021-09-30;2.984002;
2021-10-31;null;
2021-11-30;2.481784;
2021-12-31;2.519073;
2022-01-31;2.350623;
2022-02-28;null;
2022-03-31;null;
2022-04-30;2.670981;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

