Nome: VALENCA
Codigo Estacao: A444
Latitude: -13.3436111
Longitude: -39.12666666
Altitude: 93.12
Situacao: Operante
Data Inicial: 2009-06-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-06-30;null;
2009-07-31;1.298387;
2009-08-31;1.433333;
2009-09-30;1.598287;
2009-10-31;1.650431;
2009-11-30;1.778611;
2009-12-31;1.806855;
2010-01-31;1.640347;
2010-02-28;1.535268;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;1.532114;
2010-09-30;1.695;
2010-10-31;1.642473;
2010-11-30;1.737778;
2010-12-31;1.565323;
2011-01-31;1.411168;
2011-02-28;1.211038;
2011-03-31;1.261624;
2011-04-30;1.184481;
2011-05-31;1.081928;
2011-06-30;.735602;
2011-07-31;1.215196;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;1.631183;
2012-01-31;1.693145;
2012-02-29;1.638075;
2012-03-31;1.505511;
2012-04-30;1.27875;
2012-05-31;1.208871;
2012-06-30;1.100163;
2012-07-31;1.290726;
2012-08-31;null;
2012-09-30;1.56125;
2012-10-31;1.583333;
2012-11-30;1.56875;
2012-12-31;1.691532;
2013-01-31;1.697043;
2013-02-28;1.626935;
2013-03-31;1.49125;
2013-04-30;1.206389;
2013-05-31;null;
2013-06-30;null;
2013-07-31;.956452;
2013-08-31;.987097;
2013-09-30;.979722;
2013-10-31;1.480376;
2013-11-30;1.647222;
2013-12-31;1.635081;
2014-01-31;1.512231;
2014-02-28;1.486905;
2014-03-31;1.261355;
2014-04-30;1.167639;
2014-05-31;1.099328;
2014-06-30;1.124167;
2014-07-31;1.307258;
2014-08-31;1.341129;
2014-09-30;1.505833;
2014-10-31;1.690188;
2014-11-30;1.549306;
2014-12-31;1.45336;
2015-01-31;1.404599;
2015-02-28;1.502827;
2015-03-31;1.380376;
2015-04-30;1.18875;
2015-05-31;1.234946;
2015-06-30;1.145;
2015-07-31;1.219624;
2015-08-31;1.369221;
2015-09-30;1.414583;
2015-10-31;1.716115;
2015-11-30;null;
2015-12-31;1.82746;
2016-01-31;1.525;
2016-02-29;1.371695;
2016-03-31;1.377823;
2016-04-30;1.2025;
2016-05-31;1.040457;
2016-06-30;1.202222;
2016-07-31;1.127285;
2016-08-31;1.267742;
2016-09-30;1.350556;
2016-10-31;1.593058;
2016-11-30;1.526111;
2016-12-31;1.578629;
2017-01-31;1.634812;
2017-02-28;1.418304;
2017-03-31;1.339785;
2017-04-30;1.255;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;1.286694;
2017-09-30;1.615418;
2017-10-31;1.559105;
2017-11-30;1.445139;
2017-12-31;1.544893;
2018-01-31;1.40578;
2018-02-28;1.530808;
2018-03-31;1.311528;
2018-04-30;null;
2018-05-31;1.088978;
2018-06-30;1.073889;
2018-07-31;1.114785;
2018-08-31;1.251882;
2018-09-30;1.401528;
2018-10-31;1.494624;
2018-11-30;1.591954;
2018-12-31;1.437097;
2019-01-31;1.536021;
2019-02-28;1.563691;
2019-03-31;1.375672;
2019-04-30;1.133056;
2019-05-31;null;
2019-06-30;1.159427;
2019-07-31;1.218683;
2019-08-31;1.307796;
2019-09-30;1.341389;
2019-10-31;1.476747;
2019-11-30;1.543889;
2019-12-31;1.551747;
2020-01-31;1.35336;
2020-02-29;1.293678;
2020-03-31;1.222446;
2020-04-30;1.113611;
2020-05-31;1.03871;
2020-06-30;1.149583;
2020-07-31;1.170833;
2020-08-31;1.251882;
2020-09-30;1.365694;
2020-10-31;1.382258;
2020-11-30;1.455694;
2020-12-31;1.562231;
2021-01-31;1.414651;
2021-02-28;1.397619;
2021-03-31;1.336156;
2021-04-30;1.111111;
2021-05-31;1.109737;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;1.298472;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;1.378205;

