Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Operante
Data Inicial: 2015-08-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;
2015-09-30;3.51125;
2015-10-31;3.625;
2015-11-30;3.216528;
2015-12-31;3.654973;
2016-01-31;2.316413;
2016-02-29;2.623851;
2016-03-31;2.962769;
2016-04-30;3.164583;
2016-05-31;2.970161;
2016-06-30;3.109167;
2016-07-31;3.402285;
2016-08-31;3.44664;
2016-09-30;3.581389;
2016-10-31;3.668414;
2016-11-30;3.506667;
2016-12-31;3.347984;
2017-01-31;3.430511;
2017-02-28;2.958482;
2017-03-31;2.913575;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;4.165;
2017-10-31;4.106586;
2017-11-30;3.358055;
2017-12-31;3.211559;
2018-01-31;3.122633;
2018-02-28;2.412331;
2018-03-31;2.516166;
2018-04-30;2.485512;
2018-05-31;3.010484;
2018-06-30;3.29375;
2018-07-31;3.269624;
2018-08-31;3.482392;
2018-09-30;3.834583;
2018-10-31;3.278027;
2018-11-30;3.675;
2018-12-31;2.50413;
2019-01-31;3.306855;
2019-02-28;2.514137;
2019-03-31;2.265591;
2019-04-30;2.293889;
2019-05-31;2.568683;
2019-06-30;3.209583;
2019-07-31;3.256078;
2019-08-31;3.593683;
2019-09-30;3.649722;
2019-10-31;3.711828;
2019-11-30;3.224028;
2019-12-31;3.36828;
2020-01-31;2.318481;
2020-02-29;2.189743;
2020-03-31;2.04924;
2020-04-30;2.235374;
2020-05-31;2.506317;
2020-06-30;2.814861;
2020-07-31;3.188306;
2020-08-31;3.461828;
2020-09-30;3.649167;
2020-10-31;3.196558;
2020-11-30;2.851737;
2020-12-31;3.113112;
2021-01-31;2.930569;
2021-02-28;null;
2021-03-31;2.711154;
2021-04-30;2.869472;
2021-05-31;3.147831;
2021-06-30;3.169124;
2021-07-31;3.506788;
2021-08-31;3.933166;
2021-09-30;3.712849;
2021-10-31;3.491479;
2021-11-30;2.756297;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

