Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Pane
Data Inicial: 2016-05-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;3.151327;
2016-11-30;2.946641;
2016-12-31;2.472022;
2017-01-31;2.264452;
2017-02-28;1.917352;
2017-03-31;1.732824;
2017-04-30;null;
2017-05-31;2.747986;
2017-06-30;3.384146;
2017-07-31;4.097408;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;2.559677;
2018-06-30;2.633472;
2018-07-31;2.830242;
2018-08-31;2.759274;
2018-09-30;2.761111;
2018-10-31;2.42379;
2018-11-30;2.588333;
2018-12-31;1.944489;
2019-01-31;2.370956;
2019-02-28;1.749851;
2019-03-31;1.818548;
2019-04-30;1.750417;
2019-05-31;2.09879;
2019-06-30;2.911131;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;2.782527;
2019-11-30;2.57875;
2019-12-31;2.533333;
2020-01-31;1.637366;
2020-02-29;1.584339;
2020-03-31;1.580055;
2020-04-30;1.905609;
2020-05-31;2.231342;
2020-06-30;2.884378;
2020-07-31;null;
2020-08-31;2.514938;
2020-09-30;2.943611;
2020-10-31;2.433333;
2020-11-30;2.173472;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

