Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Operante
Data Inicial: 2015-08-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;
2015-09-30;3.069444;
2015-10-31;3.269624;
2015-11-30;3.279167;
2015-12-31;3.475672;
2016-01-31;2.245118;
2016-02-29;2.565374;
2016-03-31;2.877016;
2016-04-30;2.899444;
2016-05-31;2.560918;
2016-06-30;2.190278;
2016-07-31;2.429436;
2016-08-31;2.657217;
2016-09-30;3.111944;
2016-10-31;3.621295;
2016-11-30;3.754143;
2016-12-31;3.54976;
2017-01-31;3.627285;
2017-02-28;3.591761;
2017-03-31;3.101346;
2017-04-30;2.887917;
2017-05-31;2.415457;
2017-06-30;2.321945;
2017-07-31;2.585887;
2017-08-31;2.388172;
2017-09-30;3.004722;
2017-10-31;null;
2017-11-30;2.965104;
2017-12-31;2.952016;
2018-01-31;3.251613;
2018-02-28;2.995238;
2018-03-31;2.490188;
2018-04-30;2.606002;
2018-05-31;2.690054;
2018-06-30;2.230996;
2018-07-31;2.170565;
2018-08-31;2.665054;
2018-09-30;3.330139;
2018-10-31;3.34086;
2018-11-30;3.757083;
2018-12-31;2.779301;
2019-01-31;3.327285;
2019-02-28;2.99408;
2019-03-31;2.508333;
2019-04-30;2.297361;
2019-05-31;2.152823;
2019-06-30;2.107639;
2019-07-31;1.899597;
2019-08-31;2.134812;
2019-09-30;2.326389;
2019-10-31;2.884274;
2019-11-30;3.116945;
2019-12-31;3.244831;
2020-01-31;2.575269;
2020-02-29;2.364899;
2020-03-31;2.22847;
2020-04-30;1.976769;
2020-05-31;1.851479;
2020-06-30;1.847307;
2020-07-31;1.862301;
2020-08-31;2.137067;
2020-09-30;2.633467;
2020-10-31;2.831796;
2020-11-30;2.547796;
2020-12-31;2.840386;
2021-01-31;2.786974;
2021-02-28;2.646577;
2021-03-31;2.913307;
2021-04-30;2.515556;
2021-05-31;2.03871;
2021-06-30;1.801993;
2021-07-31;1.952519;
2021-08-31;2.162366;
2021-09-30;2.518194;
2021-10-31;2.816532;
2021-11-30;2.576111;
2021-12-31;2.619893;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;2.881352;
2022-11-30;2.570326;
2022-12-31;2.12715;

