Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2016-06-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;1.376389;
2016-07-31;1.368952;
2016-08-31;1.472984;
2016-09-30;1.496806;
2016-10-31;1.56499;
2016-11-30;1.384167;
2016-12-31;1.330914;
2017-01-31;1.261425;
2017-02-28;1.187946;
2017-03-31;1.118683;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;1.979167;
2017-10-31;1.679685;
2017-11-30;1.376515;
2017-12-31;1.254032;
2018-01-31;1.325064;
2018-02-28;1.139137;
2018-03-31;1.169086;
2018-04-30;1.053333;
2018-05-31;1.146237;
2018-06-30;1.232639;
2018-07-31;1.255108;
2018-08-31;1.359677;
2018-09-30;1.260972;
2018-10-31;1.239113;
2018-11-30;1.204583;
2018-12-31;1.181183;
2019-01-31;1.109274;
2019-02-28;1.119643;
2019-03-31;1.117339;
2019-04-30;.976389;
2019-05-31;.909005;
2019-06-30;1.139583;
2019-07-31;1.165323;
2019-08-31;1.434005;
2019-09-30;1.412083;
2019-10-31;1.387903;
2019-11-30;1.4575;
2019-12-31;1.442204;
2020-01-31;1.205914;
2020-02-29;1.094684;
2020-03-31;1.016667;
2020-04-30;1.027077;
2020-05-31;1.08668;
2020-06-30;1.167837;
2020-07-31;1.229383;
2020-08-31;1.425754;
2020-09-30;1.500018;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;1.358199;
2021-11-30;1.11997;
2021-12-31;.98414;
2022-01-31;.984274;
2022-02-28;1.021577;
2022-03-31;.94422;
2022-04-30;.980918;
2022-05-31;.978091;
2022-06-30;.949583;
2022-07-31;1.171505;
2022-08-31;1.285618;
2022-09-30;1.165139;
2022-10-31;1.173253;
2022-11-30;1.112798;
2022-12-31;null;

