Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Desativada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-04-30;null;
2016-05-31;null;
2016-06-30;2.46821;
2016-07-31;2.278226;
2016-08-31;2.369086;
2016-09-30;2.320417;
2016-10-31;2.311413;
2016-11-30;2.245139;
2016-12-31;2.142204;
2017-01-31;null;
2017-02-28;null;
2017-03-31;2.142204;
2017-04-30;2.0825;
2017-05-31;2.25914;
2017-06-30;2.544028;
2017-07-31;3.339113;
2017-08-31;2.576344;
2017-09-30;2.879722;
2017-10-31;2.633602;
2017-11-30;null;
2017-12-31;1.8525;
2018-01-31;2.220968;
2018-02-28;1.828571;
2018-03-31;1.748118;
2018-04-30;2.142361;
2018-05-31;2.547177;
2018-06-30;2.242917;
2018-07-31;2.080645;
2018-08-31;2.354839;
2018-09-30;2.347083;
2018-10-31;2.423253;
2018-11-30;2.31375;
2018-12-31;1.925538;
2019-01-31;2.179167;
2019-02-28;1.969965;
2019-03-31;null;
2019-04-30;null;

