Nome: ITAMARAJU
Codigo Estacao: A455
Latitude: -17.00694444
Longitude: -39.55805555
Altitude: 110
Situacao: Operante
Data Inicial: 2016-05-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;
2016-06-30;2.534339;
2016-07-31;2.011425;
2016-08-31;2.427554;
2016-09-30;2.576528;
2016-10-31;2.817046;
2016-11-30;2.807778;
2016-12-31;3.029435;
2017-01-31;2.727957;
2017-02-28;2.133631;
2017-03-31;2.291935;
2017-04-30;2.010417;
2017-05-31;1.858065;
2017-06-30;1.916528;
2017-07-31;2.090726;
2017-08-31;2.031452;
2017-09-30;2.080556;
2017-10-31;2.847849;
2017-11-30;2.860694;
2017-12-31;2.50831;
2018-01-31;2.702688;
2018-02-28;2.370833;
2018-03-31;2.459409;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;1.566129;
2018-08-31;2.233468;
2018-09-30;2.864583;
2018-10-31;2.868414;
2018-11-30;2.430972;
2018-12-31;2.988172;
2019-01-31;2.454704;
2019-02-28;2.832589;
2019-03-31;2.672173;
2019-04-30;1.984075;
2019-05-31;1.821606;
2019-06-30;2.008178;
2019-07-31;2.326199;
2019-08-31;2.091528;
2019-09-30;2.44566;
2019-10-31;2.493835;
2019-11-30;2.784933;
2019-12-31;2.811477;
2020-01-31;2.971016;
2020-02-29;2.602024;
2020-03-31;2.361741;
2020-04-30;2.478051;
2020-05-31;2.047487;
2020-06-30;1.842326;
2020-07-31;1.876763;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;2.662203;
2022-11-30;2.696389;
2022-12-31;2.645179;

