Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2018-09-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-09-30;null;
2018-10-31;3.196341;
2018-11-30;3.339318;
2018-12-31;2.505487;
2019-01-31;2.89141;
2019-02-28;2.522703;
2019-03-31;2.229622;
2019-04-30;1.84375;
2019-05-31;1.954704;
2019-06-30;1.921667;
2019-07-31;1.916936;
2019-08-31;2.21621;
2019-09-30;2.463472;
2019-10-31;2.921873;
2019-11-30;3.135517;
2019-12-31;3.246774;
2020-01-31;2.491129;
2020-02-29;2.295858;
2020-03-31;1.802913;
2020-04-30;1.717778;
2020-05-31;1.659677;
2020-06-30;1.660833;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;2.780979;
2021-01-31;2.645176;
2021-02-28;2.417482;
2021-03-31;2.496935;
2021-04-30;2.107258;
2021-05-31;1.835887;
2021-06-30;1.663056;
2021-07-31;1.796424;
2021-08-31;1.972849;
2021-09-30;2.451347;
2021-10-31;2.765912;
2021-11-30;2.1508;
2021-12-31;1.926853;
2022-01-31;1.896984;
2022-02-28;2.109577;
2022-03-31;1.95812;
2022-04-30;1.876667;
2022-05-31;1.820565;
2022-06-30;1.811461;
2022-07-31;2.049734;
2022-08-31;2.205645;
2022-09-30;2.219125;
2022-10-31;2.84554;
2022-11-30;2.524846;
2022-12-31;2.232275;

