Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2008-06-24
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.922307;
2004-02-29;null;
2004-03-31;null;
2004-04-30;2.37281;
2004-05-31;2.183037;
2004-06-30;2.378623;
2004-07-31;2.667839;
2004-08-31;2.607257;
2004-09-30;3.610818;
2004-10-31;2.867434;
2004-11-30;3.019632;
2004-12-31;2.315366;
2005-01-31;null;
2005-02-28;null;
2005-03-31;2.353219;
2005-04-30;null;
2005-05-31;2.375831;
2005-06-30;null;
2005-07-31;null;
2005-08-31;3.072949;
2005-09-30;3.160759;
2005-10-31;3.211528;
2005-11-30;2.794247;
2005-12-31;2.449598;
2006-01-31;2.92285;
2006-02-28;2.261174;
2006-03-31;2.113731;
2006-04-30;null;
2006-05-31;null;
2006-06-30;2.657652;
2006-07-31;2.338574;
2006-08-31;2.812655;
2006-09-30;2.986635;
2006-10-31;2.789937;
2006-11-30;2.514728;
2006-12-31;2.42981;
2007-01-31;1.929704;
2007-02-28;2.860663;
2007-03-31;2.876677;
2007-04-30;2.4618;
2007-05-31;2.121857;
2007-06-30;2.131618;
2007-07-31;2.458384;
2007-08-31;3.171447;
2007-09-30;3.625694;
2007-10-31;3.155645;
2007-11-30;2.522652;
2007-12-31;2.381586;
2008-01-31;2.42043;
2008-02-29;2.25819;
2008-03-31;2.210589;
2008-04-30;1.816069;
2008-05-31;1.781528;
2008-06-30;2.112654;

