Nome: BARBACENA
Codigo Estacao: A502
Latitude: -21.22833332
Longitude: -43.76777777
Altitude: 1168.76
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.808717;
2004-02-29;2.300655;
2004-03-31;2.416747;
2004-04-30;2.050296;
2004-05-31;2.247715;
2004-06-30;1.981432;
2004-07-31;2.338651;
2004-08-31;2.381342;
2004-09-30;2.456654;
2004-10-31;2.844278;
2004-11-30;null;
2004-12-31;null;
2005-01-31;2.495377;
2005-02-28;2.587791;
2005-03-31;2.192076;
2005-04-30;2.129909;
2005-05-31;2.316667;
2005-06-30;2.192222;
2005-07-31;2.439919;
2005-08-31;2.07621;
2005-09-30;2.810564;
2005-10-31;2.48234;
2005-11-30;2.797194;
2005-12-31;2.725134;
2006-01-31;2.121371;
2006-02-28;2.301942;
2006-03-31;2.324882;
2006-04-30;2.445625;
2006-05-31;null;
2006-06-30;2.346695;
2006-07-31;1.980242;
2006-08-31;2.313633;
2006-09-30;2.76024;
2006-10-31;2.58646;
2006-11-30;2.862963;
2006-12-31;2.855467;
2007-01-31;2.576478;
2007-02-28;2.368685;
2007-03-31;2.21317;
2007-04-30;2.400139;
2007-05-31;2.419086;
2007-06-30;2.091546;
2007-07-31;2.299723;
2007-08-31;2.388014;
2007-09-30;2.797886;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;2.420699;
2008-02-29;2.234425;
2008-03-31;2.473253;
2008-04-30;2.091389;
2008-05-31;2.233056;
2008-06-30;2.167947;
2008-07-31;2.208468;
2008-08-31;2.372984;
2008-09-30;2.81875;
2008-10-31;2.810887;
2008-11-30;null;
2008-12-31;1.980435;
2009-01-31;2.438639;
2009-02-28;2.073661;
2009-03-31;2.141263;
2009-04-30;2.28375;
2009-05-31;2.189919;
2009-06-30;2.185833;
2009-07-31;2.041019;
2009-08-31;null;
2009-09-30;2.352222;
2009-10-31;2.527299;
2009-11-30;2.134445;
2009-12-31;2.314785;
2010-01-31;1.98318;
2010-02-28;2.25625;
2010-03-31;2.273118;
2010-04-30;2.459444;
2010-05-31;2.231701;
2010-06-30;2.327953;
2010-07-31;2.273253;
2010-08-31;2.592537;
2010-09-30;2.665833;
2010-10-31;2.850941;
2010-11-30;2.539444;
2010-12-31;2.216801;
2011-01-31;2.005914;
2011-02-28;2.165774;
2011-03-31;2.239156;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;2.372127;
2011-09-30;2.783611;
2011-10-31;2.633199;
2011-11-30;2.68875;
2011-12-31;2.161442;
2012-01-31;2.068145;
2012-02-29;2.197414;
2012-03-31;2.158772;
2012-04-30;2.111667;
2012-05-31;2.386962;
2012-06-30;2.008551;
2012-07-31;2.268548;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;2.804028;
2012-12-31;2.168011;
2013-01-31;2.258602;
2013-02-28;2.021429;
2013-03-31;2.487472;
2013-04-30;2.371389;
2013-05-31;2.227285;
2013-06-30;1.948346;
2013-07-31;2.091532;
2013-08-31;2.443817;
2013-09-30;2.590139;
2013-10-31;2.502786;
2013-11-30;2.33875;
2013-12-31;2.184946;
2014-01-31;1.873522;
2014-02-28;1.928423;
2014-03-31;1.99422;
2014-04-30;1.978195;
2014-05-31;2.017608;
2014-06-30;1.641389;
2014-07-31;2.027823;
2014-08-31;2.144004;
2014-09-30;2.426806;
2014-10-31;2.584409;
2014-11-30;2.412222;
2014-12-31;1.97715;
2015-01-31;1.813979;
2015-02-28;1.787351;
2015-03-31;1.873656;
2015-04-30;2.083889;
2015-05-31;2.077823;
2015-06-30;2.007083;
2015-07-31;1.669086;
2015-08-31;2.016532;
2015-09-30;2.165694;
2015-10-31;2.385484;
2015-11-30;1.99;
2015-12-31;1.947984;
2016-01-31;2.253091;
2016-02-29;1.668247;
2016-03-31;1.797446;
2016-04-30;1.704722;
2016-05-31;1.886986;
2016-06-30;1.9175;
2016-07-31;1.875672;
2016-08-31;2.216667;
