Nome: ARAXA
Codigo Estacao: A505
Latitude: -19.60583333
Longitude: -46.94972221
Altitude: 1018.32
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.905996;
2004-02-29;2.547726;
2004-03-31;2.509812;
2004-04-30;2.321377;
2004-05-31;2.409824;
2004-06-30;2.729293;
2004-07-31;3.188061;
2004-08-31;2.867111;
2004-09-30;3.213309;
2004-10-31;3.152776;
2004-11-30;2.872542;
2004-12-31;2.240341;
2005-01-31;2.322011;
2005-02-28;2.374369;
2005-03-31;2.28773;
2005-04-30;2.438186;
2005-05-31;3.071675;
2005-06-30;3.063578;
2005-07-31;3.040568;
2005-08-31;3.068226;
2005-09-30;3.223852;
2005-10-31;2.92041;
2005-11-30;2.726173;
2005-12-31;2.83293;
2006-01-31;2.584543;
2006-02-28;2.060404;
2006-03-31;2.193853;
2006-04-30;2.261013;
2006-05-31;null;
2006-06-30;2.909258;
2006-07-31;2.409847;
2006-08-31;2.609406;
2006-09-30;2.904887;
2006-10-31;2.586717;
2006-11-30;2.662156;
2006-12-31;2.429085;
2007-01-31;2.094624;
2007-02-28;2.525446;
2007-03-31;2.539294;
2007-04-30;2.578128;
2007-05-31;2.536634;
2007-06-30;2.473732;
2007-07-31;2.531533;
2007-08-31;3.432942;
2007-09-30;3.572391;
2007-10-31;3.069103;
2007-11-30;2.661538;
2007-12-31;2.253316;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;2.016987;
2008-06-30;2.14204;
2008-07-31;2.609812;
2008-08-31;2.604839;
2008-09-30;3.018889;
2008-10-31;2.942473;
2008-11-30;2.604167;
2008-12-31;2.036962;
2009-01-31;2.157661;
2009-02-28;2.2375;
2009-03-31;1.809946;
2009-04-30;2.011805;
2009-05-31;2.018683;
2009-06-30;1.940556;
2009-07-31;2.297715;
2009-08-31;3.009005;
2009-09-30;2.455972;
2009-10-31;2.409626;
2009-11-30;2.228472;
2009-12-31;2.120027;
2010-01-31;2.31338;
2010-02-28;2.68497;
2010-03-31;1.996371;
2010-04-30;2.568195;
2010-05-31;2.218817;
2010-06-30;2.532222;
2010-07-31;3.167058;
2010-08-31;2.872809;
2010-09-30;3.066806;
2010-10-31;2.275403;
2010-11-30;2.181806;
2010-12-31;2.075;
2011-01-31;2.429435;
2011-02-28;2.259821;
2011-03-31;2.052089;
2011-04-30;2.49;
2011-05-31;2.21004;
2011-06-30;2.452324;
2011-07-31;2.668392;
2011-08-31;2.736494;
2011-09-30;3.165274;
2011-10-31;2.783629;
2011-11-30;2.847889;
2011-12-31;2.108456;
2012-01-31;2.351525;
2012-02-29;2.517535;
2012-03-31;2.346014;
2012-04-30;2.26235;
2012-05-31;2.646499;
2012-06-30;2.253031;
2012-07-31;2.654167;
2012-08-31;3.733084;
2012-09-30;2.964305;
2012-10-31;2.922446;
2012-11-30;2.699028;
2012-12-31;2.178091;
2013-01-31;2.465323;
2013-02-28;2.141964;
2013-03-31;2.475733;
2013-04-30;2.291389;
2013-05-31;2.325134;
2013-06-30;2.269823;
2013-07-31;2.66164;
2013-08-31;2.982231;
2013-09-30;3.165695;
2013-10-31;2.897984;
2013-11-30;2.729861;
2013-12-31;2.197849;
2014-01-31;2.451747;
2014-02-28;2.836607;
2014-03-31;2.442339;
2014-04-30;2.179583;
2014-05-31;2.364382;
2014-06-30;2.555417;
2014-07-31;2.714312;
2014-08-31;2.705016;
2014-09-30;3.059861;
2014-10-31;2.956452;
2014-11-30;2.232917;
2014-12-31;2.324328;
2015-01-31;2.393817;
2015-02-28;2.332143;
2015-03-31;2.001479;
2015-04-30;2.151945;
2015-05-31;2.549597;
2015-06-30;2.817083;
2015-07-31;2.550538;
2015-08-31;2.865188;
2015-09-30;2.464861;
2015-10-31;2.876344;
2015-11-30;2.234445;
2015-12-31;2.131317;
2016-01-31;2.662769;
2016-02-29;2.066379;
2016-03-31;2.351882;
2016-04-30;2.6075;
2016-05-31;2.370565;
2016-06-30;2.610502;
2016-07-31;2.590833;
2016-08-31;2.77379;
2016-09-30;2.816957;
2016-10-31;3.032124;
2016-11-30;2.428472;
2016-12-31;2.65672;
2017-01-31;2.229167;
2017-02-28;2.65744;
2017-03-31;2.35672;
2017-04-30;2.668472;
2017-05-31;2.453091;
2017-06-30;2.796806;
2017-07-31;3.562977;
2017-08-31;2.979839;
2017-09-30;3.470417;
2017-10-31;3.026344;
2017-11-30;2.635;
2017-12-31;2.387299;
2018-01-31;2.338307;
2018-02-28;2.21131;
2018-03-31;2.082258;
2018-04-30;2.634306;
2018-05-31;2.546117;
2018-06-30;2.304167;
2018-07-31;2.413441;
2018-08-31;2.732581;
2018-09-30;2.73592;
2018-10-31;2.477016;
2018-11-30;2.980139;
2018-12-31;2.047043;
2019-01-31;2.234274;
2019-02-28;2.068155;
2019-03-31;2.231317;
2019-04-30;1.918859;
2019-05-31;1.891398;
2019-06-30;2.663472;
2019-07-31;2.837991;
2019-08-31;2.950672;
2019-09-30;2.886664;
2019-10-31;2.644248;
2019-11-30;2.580556;
2019-12-31;2.224194;
2020-01-31;1.828629;
2020-02-29;2.059626;
2020-03-31;2.336022;
2020-04-30;2.144583;
2020-05-31;2.086997;
2020-06-30;2.391945;
2020-07-31;2.537903;
2020-08-31;3.048546;
2020-09-30;2.744444;
2020-10-31;2.730108;
2020-11-30;2.484167;
2020-12-31;1.976479;
2021-01-31;2.292742;
2021-02-28;2.000893;
2021-03-31;1.998925;
2021-04-30;2.242361;
2021-05-31;1.833333;
2021-06-30;2.149863;
2021-07-31;2.809367;
2021-08-31;2.906989;
2021-09-30;2.684722;
2021-10-31;2.79422;
2021-11-30;2.161667;
2021-12-31;2.325672;
2022-01-31;2.015054;
2022-02-28;1.725744;
2022-03-31;2.210753;
2022-04-30;1.953194;
2022-05-31;2.263149;
2022-06-30;1.880886;
2022-07-31;2.5679;
2022-08-31;2.823194;
2022-09-30;2.630694;
2022-10-31;2.646635;
2022-11-30;null;
2022-12-31;2.416129;

