Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.053875;
2004-02-29;1.84181;
2004-03-31;1.763441;
2004-04-30;1.663605;
2004-05-31;1.641532;
2004-06-30;1.866944;
2004-07-31;2.178015;
2004-08-31;2.096076;
2004-09-30;2.615362;
2004-10-31;2.708421;
2004-11-30;2.797744;
2004-12-31;1.867106;
2005-01-31;2.126346;
2005-02-28;1.744176;
2005-03-31;1.634666;
2005-04-30;1.727524;
2005-05-31;1.835086;
2005-06-30;null;
2005-07-31;2.19222;
2005-08-31;2.387116;
2005-09-30;2.52541;
2005-10-31;2.627395;
2005-11-30;2.038428;
2005-12-31;1.789651;
2006-01-31;2.264919;
2006-02-28;2.009927;
2006-03-31;1.672058;
2006-04-30;1.724077;
2006-05-31;null;
2006-06-30;2.136494;
2006-07-31;1.905987;
2006-08-31;2.350296;
2006-09-30;2.514893;
2006-10-31;2.209292;
2006-11-30;2.17151;
2006-12-31;1.982098;
2007-01-31;1.991643;
2007-02-28;2.101042;
2007-03-31;2.113207;
2007-04-30;1.877639;
2007-05-31;2.036146;
2007-06-30;2.068798;
2007-07-31;2.200342;
2007-08-31;2.89865;
2007-09-30;2.968056;
2007-10-31;2.894612;
2007-11-30;2.633426;
2007-12-31;2.151747;
2008-01-31;2.167561;
2008-02-29;2.119109;
2008-03-31;1.88535;
2008-04-30;1.677778;
2008-05-31;1.799831;
2008-06-30;1.863876;
2008-07-31;2.115591;
2008-08-31;2.355914;
2008-09-30;2.586944;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;1.729306;
2009-05-31;1.754167;
2009-06-30;1.838611;
2009-07-31;1.99422;
2009-08-31;2.603226;
2009-09-30;2.386528;
2009-10-31;2.161458;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;1.859946;
2010-08-31;1.990538;
2010-09-30;2.461944;
2010-10-31;2.057796;
2010-11-30;1.519444;
2010-12-31;1.721236;
2011-01-31;1.733468;
2011-02-28;1.787946;
2011-03-31;1.321348;
2011-04-30;1.475362;
2011-05-31;1.319355;
2011-06-30;1.500556;
2011-07-31;1.70672;
2011-08-31;1.93414;
2011-09-30;2.312778;
2011-10-31;1.788441;
2011-11-30;1.798647;
2011-12-31;1.523698;
2012-01-31;1.777367;
2012-02-29;1.819109;
2012-03-31;1.685215;
2012-04-30;1.563472;
2012-05-31;1.590591;
2012-06-30;1.425647;
2012-07-31;1.696909;
2012-08-31;2.324424;
2012-09-30;2.208472;
2012-10-31;2.322177;
2012-11-30;1.725556;
2012-12-31;1.636156;
2013-01-31;1.551344;
2013-02-28;1.708333;
2013-03-31;1.590056;
2013-04-30;1.262778;
2013-05-31;1.455376;
2013-06-30;1.39452;
2013-07-31;1.66468;
2013-08-31;2.086425;
2013-09-30;2.405694;
2013-10-31;2.002419;
2013-11-30;1.946389;
2013-12-31;1.795968;
2014-01-31;1.751479;
2014-02-28;2.003571;
2014-03-31;1.656417;
2014-04-30;1.349167;
2014-05-31;1.323387;
2014-06-30;1.54625;
2014-07-31;1.812769;
2014-08-31;1.668683;
2014-09-30;2.422222;
2014-10-31;2.275134;
2014-11-30;1.719444;
2014-12-31;1.735349;
2015-01-31;1.803705;
2015-02-28;1.807143;
2015-03-31;1.404167;
2015-04-30;1.299167;
2015-05-31;1.574059;
2015-06-30;1.810694;
2015-07-31;1.762366;
2015-08-31;2.067473;
2015-09-30;2.125556;
2015-10-31;2.520407;
2015-11-30;null;
2015-12-31;1.760349;
2016-01-31;1.698678;
2016-02-29;1.356465;
2016-03-31;1.418817;
2016-04-30;1.602536;
2016-05-31;1.380914;
2016-06-30;1.510556;
2016-07-31;1.585618;
2016-08-31;1.899462;
2016-09-30;2.136528;
2016-10-31;2.353261;
2016-11-30;1.952222;
2016-12-31;1.892204;
2017-01-31;1.932527;
2017-02-28;1.768155;
2017-03-31;1.475403;
2017-04-30;1.440833;
2017-05-31;1.391263;
2017-06-30;1.656389;
2017-07-31;2.390054;
2017-08-31;1.896909;
2017-09-30;2.787222;
2017-10-31;2.618952;
2017-11-30;2.018333;
2017-12-31;1.484543;
2018-01-31;1.548387;
2018-02-28;1.409822;
2018-03-31;1.165419;
2018-04-30;1.233056;
2018-05-31;1.237634;
2018-06-30;1.309444;
2018-07-31;1.397715;
2018-08-31;1.683333;
2018-09-30;2.091806;
2018-10-31;2.035484;
2018-11-30;1.615139;
2018-12-31;1.463172;
2019-01-31;1.689247;
2019-02-28;1.418155;
2019-03-31;1.320822;
2019-04-30;1.171805;
2019-05-31;1.092608;
2019-06-30;1.470417;
2019-07-31;1.614919;
2019-08-31;2.021505;
2019-09-30;2.176129;
2019-10-31;2.207393;
2019-11-30;1.772222;
2019-12-31;1.752419;
2020-01-31;1.671237;
2020-02-29;1.12931;
2020-03-31;1.081989;
2020-04-30;1.076667;
2020-05-31;1.112903;
2020-06-30;1.212778;
2020-07-31;1.406452;
2020-08-31;1.911962;
2020-09-30;2.04125;
2020-10-31;1.926613;
2020-11-30;1.54125;
2020-12-31;1.359981;
2021-01-31;1.4875;
2021-02-28;1.333631;
2021-03-31;1.146102;
2021-04-30;1.078333;
2021-05-31;1.092742;
2021-06-30;1.183611;
2021-07-31;1.415591;
2021-08-31;1.880084;
2021-09-30;1.931389;
2021-10-31;1.816263;
2021-11-30;1.268081;
2021-12-31;1.559409;
2022-01-31;1.501344;
2022-02-28;1.191964;
2022-03-31;1.556317;
2022-04-30;1.491806;
2022-05-31;1.388178;
2022-06-30;1.324167;
2022-07-31;1.694086;
2022-08-31;1.935753;
2022-09-30;2.197917;
2022-10-31;2.139919;
2022-11-30;1.627222;
2022-12-31;1.591263;

