Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;2.135001;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;1.941451;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;2.288434;
2005-07-31;2.41614;
2005-08-31;2.391303;
2005-09-30;2.559327;
2005-10-31;2.37149;
2005-11-30;null;
2005-12-31;2.383468;
2006-01-31;2.064919;
2006-02-28;1.801764;
2006-03-31;1.745583;
2006-04-30;1.868981;
2006-05-31;null;
2006-06-30;2.24842;
2006-07-31;2.049908;
2006-08-31;2.286559;
2006-09-30;2.434407;
2006-10-31;2.101747;
2006-11-30;2.231479;
2006-12-31;2.170118;
2007-01-31;2.001747;
2007-02-28;2.060863;
2007-03-31;2.151969;
2007-04-30;2.128611;
2007-05-31;2.123708;
2007-06-30;1.964499;
2007-07-31;2.153296;
2007-08-31;2.529225;
2007-09-30;2.806896;
2007-10-31;2.369355;
2007-11-30;2.123704;
2007-12-31;2.083468;
2008-01-31;2.040726;
2008-02-29;1.711543;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;1.936937;
2008-07-31;2.216718;
2008-08-31;2.359979;
2008-09-30;2.411467;
2008-10-31;2.393817;
2008-11-30;2.185028;
2008-12-31;null;
2009-01-31;1.999743;
2009-02-28;1.826191;
2009-03-31;1.66707;
2009-04-30;1.747778;
2009-05-31;1.841667;
2009-06-30;1.864722;
2009-07-31;2.050771;
2009-08-31;2.548522;
2009-09-30;2.128333;
2009-10-31;2.102011;
2009-11-30;1.920833;
2009-12-31;1.980914;
2010-01-31;.819228;
2010-02-28;.988095;
2010-03-31;1.234876;
2010-04-30;1.746111;
2010-05-31;1.338172;
2010-06-30;1.387361;
2010-07-31;1.994758;
2010-08-31;1.741415;
2010-09-30;2.153195;
2010-10-31;1.574059;
2010-11-30;1.521389;
2010-12-31;1.392204;
2011-01-31;1.456586;
2011-02-28;1.253274;
2011-03-31;1.331407;
2011-04-30;1.534028;
2011-05-31;1.282527;
2011-06-30;1.339246;
2011-07-31;1.624462;
2011-08-31;1.890726;
2011-09-30;2.059028;
2011-10-31;1.881501;
2011-11-30;1.782639;
2011-12-31;1.383065;
2012-01-31;1.530078;
2012-02-29;1.439799;
2012-03-31;1.366667;
2012-04-30;1.356111;
2012-05-31;1.438038;
2012-06-30;1.275296;
2012-07-31;1.338049;
2012-08-31;2.021256;
2012-09-30;1.816389;
2012-10-31;1.838038;
2012-11-30;1.523472;
2012-12-31;1.36828;
2013-01-31;1.359409;
2013-02-28;1.289584;
2013-03-31;1.480361;
2013-04-30;1.773472;
2013-05-31;1.789651;
2013-06-30;1.770543;
2013-07-31;1.955242;
2013-08-31;2.223603;
2013-09-30;2.460833;
2013-10-31;2.206048;
2013-11-30;2.066528;
2013-12-31;1.630108;
2014-01-31;1.735484;
2014-02-28;1.925595;
2014-03-31;1.789651;
2014-04-30;1.613333;
2014-05-31;1.610215;
2014-06-30;1.812222;
2014-07-31;1.877554;
2014-08-31;1.879594;
2014-09-30;2.165;
2014-10-31;2.174194;
2014-11-30;1.735972;
2014-12-31;1.889113;
2015-01-31;1.622849;
2015-02-28;1.983185;
2015-03-31;1.557661;
2015-04-30;1.539583;
2015-05-31;1.818683;
2015-06-30;2.077778;
2015-07-31;2.001613;
2015-08-31;2.066532;
2015-09-30;1.883333;
2015-10-31;2.246237;
2015-11-30;1.921528;
2015-12-31;1.785759;
2016-01-31;1.884812;
2016-02-29;1.73046;
2016-03-31;1.894684;
2016-04-30;1.986667;
2016-05-31;1.756048;
2016-06-30;1.763472;
2016-07-31;1.800941;
2016-08-31;2.020693;
2016-09-30;2.027778;
2016-10-31;2.189651;
2016-11-30;1.933472;
2016-12-31;2.037903;
2017-01-31;1.765188;
2017-02-28;2.031101;
2017-03-31;1.617473;
2017-04-30;1.863333;
2017-05-31;1.767876;
2017-06-30;2.000694;
2017-07-31;2.288844;
2017-08-31;2.038844;
2017-09-30;2.507778;
2017-10-31;2.206855;
2017-11-30;1.967083;
2017-12-31;1.760484;
2018-01-31;1.724194;
2018-02-28;1.506548;
2018-03-31;1.551613;
2018-04-30;1.797778;
2018-05-31;1.81828;
2018-06-30;1.736528;
2018-07-31;1.756183;
2018-08-31;1.981048;
2018-09-30;1.949722;
2018-10-31;1.927823;
2018-11-30;2.020972;
2018-12-31;1.743011;
2019-01-31;1.68293;
2019-02-28;1.663244;
2019-03-31;1.700269;
2019-04-30;1.449167;
2019-05-31;1.516532;
2019-06-30;1.924722;
2019-07-31;1.955645;
2019-08-31;2.166667;
2019-09-30;2.095417;
2019-10-31;1.92043;
2019-11-30;1.791528;
2019-12-31;1.712231;
2020-01-31;1.555914;
2020-02-29;1.649425;
2020-03-31;1.836828;
2020-04-30;1.609722;
2020-05-31;1.531452;
2020-06-30;1.800278;
2020-07-31;1.806183;
2020-08-31;2.235887;
2020-09-30;1.987639;
2020-10-31;1.873118;
2020-11-30;1.856528;
2020-12-31;1.641129;
2021-01-31;1.518011;
2021-02-28;1.540625;
2021-03-31;1.384274;
2021-04-30;1.580694;
2021-05-31;1.369221;
2021-06-30;1.571806;
2021-07-31;1.727016;
2021-08-31;1.979839;
2021-09-30;2.041389;
2021-10-31;1.78293;
2021-11-30;1.686232;
2021-12-31;1.817876;
2022-01-31;1.637634;
2022-02-28;1.459375;
