Nome: ALMENARA
Codigo Estacao: A508
Latitude: -16.16666666
Longitude: -40.68777777
Altitude: 189.11
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.343478;
2004-02-29;1.924532;
2004-03-31;1.636962;
2004-04-30;1.697929;
2004-05-31;1.480236;
2004-06-30;1.40474;
2004-07-31;1.604716;
2004-08-31;1.746952;
2004-09-30;2.444668;
2004-10-31;2.795184;
2004-11-30;2.634098;
2004-12-31;2.145425;
2005-01-31;2.326277;
2005-02-28;1.86556;
2005-03-31;1.770056;
2005-04-30;1.543193;
2005-05-31;1.493946;
2005-06-30;1.448186;
2005-07-31;1.620856;
2005-08-31;1.987226;
2005-09-30;2.373542;
2005-10-31;3.116154;
2005-11-30;2.364183;
2005-12-31;2.068928;
2006-01-31;2.101747;
2006-02-28;2.434042;
2006-03-31;1.62455;
2006-04-30;1.522417;
2006-05-31;null;
2006-06-30;1.276737;
2006-07-31;1.203232;
2006-08-31;1.44082;
2006-09-30;1.892512;
2006-10-31;2.215512;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;2.445833;
2008-01-31;2.117339;
2008-02-29;1.818448;
2008-03-31;1.506206;
2008-04-30;1.442083;
2008-05-31;1.377639;
2008-06-30;1.420611;
2008-07-31;null;
2008-08-31;null;
2008-09-30;1.932407;
2008-10-31;2.409677;
2008-11-30;2.027778;
2008-12-31;1.370699;
2009-01-31;1.475216;
2009-02-28;1.754762;
2009-03-31;1.554704;
2009-04-30;.974722;
2009-05-31;.809946;
2009-06-30;.865833;
2009-07-31;.918817;
2009-08-31;1.148656;
2009-09-30;1.668195;
2009-10-31;1.677011;
2009-11-30;1.877917;
2009-12-31;1.725403;
2010-01-31;2.302871;
2010-02-28;2.110566;
2010-03-31;1.085022;
2010-04-30;1.126389;
2010-05-31;.97437;
2010-06-30;.935525;
2010-07-31;1.201439;
2010-08-31;1.43951;
2010-09-30;2.069306;
2010-10-31;2.360753;
2010-11-30;1.866389;
2010-12-31;1.55471;
2011-01-31;1.656048;
2011-02-28;1.851488;
2011-03-31;1.359199;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;1.352419;
2011-09-30;1.930972;
2011-10-31;1.869133;
2011-11-30;1.608611;
2011-12-31;1.443683;
2012-01-31;1.35121;
2012-02-29;1.412931;
2012-03-31;1.33812;
2012-04-30;1.249583;
2012-05-31;.853629;
2012-06-30;1.047037;
2012-07-31;1.422177;
2012-08-31;1.519777;
2012-09-30;2.182222;
2012-10-31;2.572177;
2012-11-30;1.619444;
2012-12-31;2.065726;
2013-01-31;1.972715;
2013-02-28;2.145387;
2013-03-31;1.961833;
2013-04-30;1.157083;
2013-05-31;1.137769;
2013-06-30;1.037424;
2013-07-31;1.237664;
2013-08-31;1.542742;
2013-09-30;1.802222;
2013-10-31;2.024194;
2013-11-30;2.278194;
2013-12-31;1.738172;
2014-01-31;1.833065;
2014-02-28;1.785863;
2014-03-31;1.71586;
2014-04-30;1.467778;
2014-05-31;.898522;
2014-06-30;.958611;
2014-07-31;1.101268;
2014-08-31;null;
2014-09-30;2.201171;
2014-10-31;2.370833;
2014-11-30;2.066528;
2014-12-31;1.863441;
2015-01-31;2.004839;
2015-02-28;1.63869;
2015-03-31;1.374059;
2015-04-30;1.067778;
2015-05-31;.899462;
2015-06-30;1.117361;
2015-07-31;.79328;
2015-08-31;1.109409;
2015-09-30;2.228611;
2015-10-31;2.402419;
2015-11-30;2.266389;
2015-12-31;2.712769;
2016-01-31;1.639651;
2016-02-29;1.930316;
2016-03-31;1.977285;
2016-04-30;1.695695;
2016-05-31;1.065995;
2016-06-30;1.254445;
2016-07-31;1.091264;
2016-08-31;1.498118;
2016-09-30;2.100139;
2016-10-31;1.996007;
2016-11-30;1.762276;
2016-12-31;1.42836;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;1.020139;
2017-05-31;.868414;
2017-06-30;1.14;
2017-07-31;1.235618;
2017-08-31;1.299193;
2017-09-30;1.965833;
2017-10-31;2.579435;
2017-11-30;1.882778;
2017-12-31;1.395968;
2018-01-31;1.884005;
2018-02-28;1.398363;
2018-03-31;1.191129;
2018-04-30;1.053611;
2018-05-31;.952151;
2018-06-30;.799444;
2018-07-31;.966263;
2018-08-31;1.637366;
2018-09-30;2.33;
2018-10-31;2.248118;
2018-11-30;1.768472;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.602285;
2019-04-30;1.193611;
2019-05-31;1.10121;
2019-06-30;1.073333;
2019-07-31;1.043817;
2019-08-31;1.261694;
2019-09-30;1.720278;
2019-10-31;2.387231;
2019-11-30;2.2775;
2019-12-31;1.965726;
2020-01-31;1.618548;
2020-02-29;1.658333;
2020-03-31;1.150269;
2020-04-30;1.063389;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;1.730382;
2020-11-30;1.275833;
2020-12-31;1.885081;
2021-01-31;2.109409;
2021-02-28;1.50878;
2021-03-31;1.614651;
2021-04-30;1.089028;
2021-05-31;1.014919;
2021-06-30;.94375;
2021-07-31;1.164516;
2021-08-31;1.558333;
2021-09-30;2.113333;
2021-10-31;2.051613;
2021-11-30;1.400833;
2021-12-31;1.109274;
2022-01-31;1.296774;
2022-02-28;1.459821;
2022-03-31;1.349193;
2022-04-30;1.093472;
2022-05-31;.939785;
2022-06-30;.94625;
2022-07-31;1.071505;
2022-08-31;1.493952;
2022-09-30;1.700417;
2022-10-31;2.363575;
2022-11-30;null;
2022-12-31;1.196667;

