Nome: VICOSA
Codigo Estacao: A510
Latitude: -20.762607
Longitude: -42.864013
Altitude: 697.64
Situacao: Operante
Data Inicial: 2005-09-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2005-09-30;null;
2005-10-31;1.262203;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;1.028382;
2006-03-31;.894238;
2006-04-30;.751037;
2006-05-31;null;
2006-06-30;.638396;
2006-07-31;.716516;
2006-08-31;1.107008;
2006-09-30;1.071448;
2006-10-31;1.05083;
2006-11-30;1.177472;
2006-12-31;.996245;
2007-01-31;null;
2007-02-28;null;
2007-03-31;.864136;
2007-04-30;.580694;
2007-05-31;.655639;
2007-06-30;.711667;
2007-07-31;.891059;
2007-08-31;.728904;
2007-09-30;1.015121;
2007-10-31;1.217689;
2007-11-30;1.049105;
2007-12-31;1.205108;
2008-01-31;1.002016;
2008-02-29;.978592;
2008-03-31;.79086;
2008-04-30;.737639;
2008-05-31;.603179;
2008-06-30;.657572;
2008-07-31;.640054;
2008-08-31;.966389;
2008-09-30;1.008472;
2008-10-31;1.038038;
2008-11-30;.848037;
2008-12-31;1.025403;
2009-01-31;1.098849;
2009-02-28;.984524;
2009-03-31;.675538;
2009-04-30;.50875;
2009-05-31;.604032;
2009-06-30;.638195;
2009-07-31;.800134;
2009-08-31;.835536;
2009-09-30;1.049722;
2009-10-31;.849713;
2009-11-30;1.157639;
2009-12-31;1.089583;
2010-01-31;1.107295;
2010-02-28;.9321;
2010-03-31;null;
2010-04-30;.6253;
2010-05-31;.768414;
2010-06-30;.684821;
2010-07-31;.757167;
2010-08-31;.81465;
2010-09-30;1.255695;
2010-10-31;1.147715;
2010-11-30;.989722;
2010-12-31;.869624;
2011-01-31;1.192473;
2011-02-28;.850149;
2011-03-31;.427271;
2011-04-30;.559861;
2011-05-31;.436962;
2011-06-30;.672778;
2011-07-31;.659543;
2011-08-31;.910215;
2011-09-30;.891528;
2011-10-31;1.123925;
2011-11-30;.896945;
2011-12-31;1.008737;
2012-01-31;1.025672;
2012-02-29;.891236;
2012-03-31;.693952;
2012-04-30;.6175;
2012-05-31;.51828;
2012-06-30;.624306;
2012-07-31;.723522;
2012-08-31;.529455;
2012-09-30;1.166111;
2012-10-31;1.230511;
2012-11-30;.860694;
2012-12-31;.906452;
2013-01-31;.903226;
2013-02-28;.91131;
2013-03-31;.727694;
2013-04-30;.559167;
2013-05-31;.521909;
2013-06-30;.626099;
2013-07-31;.667204;
2013-08-31;.898118;
2013-09-30;1.041944;
2013-10-31;1.092204;
2013-11-30;.985695;
2013-12-31;.903201;
2014-01-31;.964651;
2014-02-28;1.018899;
2014-03-31;.861694;
2014-04-30;.688889;
2014-05-31;.649731;
2014-06-30;.727083;
2014-07-31;.81922;
2014-08-31;.900403;
2014-09-30;1.331945;
2014-10-31;1.225941;
2014-11-30;1.261806;
2014-12-31;1.175269;
2015-01-31;1.081586;
2015-02-28;1.285714;
2015-03-31;.857258;
2015-04-30;.618557;
2015-05-31;.635484;
2015-06-30;.677917;
2015-07-31;.886694;
2015-08-31;.763978;
2015-09-30;1.059583;
2015-10-31;1.127957;
2015-11-30;1.162083;
2015-12-31;1.204032;
2016-01-31;1.027016;
2016-02-29;1.001293;
2016-03-31;.891129;
2016-04-30;.702917;
2016-05-31;.676935;
2016-06-30;.580139;
2016-07-31;.635215;
2016-08-31;1.03293;
2016-09-30;1.100695;
2016-10-31;1.056586;
2016-11-30;1.092778;
2016-12-31;1.047446;
2017-01-31;1.107661;
2017-02-28;.875595;
2017-03-31;.675672;
2017-04-30;.631528;
2017-05-31;.585618;
2017-06-30;.633333;
2017-07-31;.533065;
2017-08-31;.757258;
2017-09-30;1.065972;
2017-10-31;1.288172;
2017-11-30;1.195556;
2017-12-31;.831317;
2018-01-31;1.002823;
2018-02-28;.747173;
2018-03-31;.700269;
2018-04-30;.425;
2018-05-31;.515726;
2018-06-30;.582083;
2018-07-31;.601835;
2018-08-31;.671237;
2018-09-30;.959722;
2018-10-31;.867608;
2018-11-30;.960583;
2018-12-31;.995565;
2019-01-31;1.112903;
2019-02-28;.848512;
2019-03-31;.648521;
2019-04-30;.587778;
2019-05-31;.483199;
2019-06-30;.475417;
2019-07-31;.503629;
2019-08-31;.520161;
2019-09-30;.713889;
2019-10-31;.783065;
2019-11-30;.702917;
2019-12-31;.899059;
2020-01-31;.803091;
2020-02-29;.820115;
2020-03-31;.502203;
2020-04-30;.564028;
2020-05-31;.63172;
2020-06-30;.615;
2020-07-31;.647581;
2020-08-31;.802016;
2020-09-30;.876944;
2020-10-31;.819489;
2020-11-30;.857778;
2020-12-31;.935618;
2021-01-31;.998925;
2021-02-28;.81756;
2021-03-31;.720699;
2021-04-30;.469028;
2021-05-31;.566667;
2021-06-30;.517361;
2021-07-31;.52621;
2021-08-31;.676613;
2021-09-30;.930833;
2021-10-31;.633737;
2021-11-30;.618158;
2021-12-31;.717339;
2022-01-31;.922306;
2022-02-28;.783538;
2022-03-31;null;
2022-04-30;.655616;
2022-05-31;.688144;
2022-06-30;.542277;
2022-07-31;.65865;
2022-08-31;.91041;
2022-09-30;.911667;
2022-10-31;1.129435;
2022-11-30;.882917;
2022-12-31;.915457;

