Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Operante
Data Inicial: 2006-02-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-02-28;null;
2006-03-31;1.02557;
2006-04-30;null;
2006-05-31;null;
2006-06-30;.786782;
2006-07-31;.887158;
2006-08-31;1.451817;
2006-09-30;1.46649;
2006-10-31;1.252554;
2006-11-30;1.146769;
2006-12-31;1.042268;
2007-01-31;1.123387;
2007-02-28;1.156542;
2007-03-31;null;
2007-04-30;.87875;
2007-05-31;.905705;
2007-06-30;.87032;
2007-07-31;1.102639;
2007-08-31;1.366263;
2007-09-30;1.542053;
2007-10-31;1.643835;
2007-11-30;1.254568;
2007-12-31;1.296909;
2008-01-31;1.152688;
2008-02-29;1.122414;
2008-03-31;.943414;
2008-04-30;.83;
2008-05-31;.680242;
2008-06-30;.813714;
2008-07-31;.928898;
2008-08-31;1.440188;
2008-09-30;1.420417;
2008-10-31;1.43012;
2008-11-30;.877603;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;1.617222;
2009-12-31;1.313306;
2010-01-31;1.617779;
2010-02-28;1.550744;
2010-03-31;1.102688;
2010-04-30;1.130139;
2010-05-31;.964651;
2010-06-30;.942361;
2010-07-31;1.166801;
2010-08-31;1.583261;
2010-09-30;1.924306;
2010-10-31;null;
2010-11-30;1.581092;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;.843034;
2011-04-30;.910694;
2011-05-31;.762097;
2011-06-30;.8625;
2011-07-31;.96922;
2011-08-31;1.386425;
2011-09-30;1.539028;
2011-10-31;1.248118;
2011-11-30;1.287639;
2011-12-31;1.219758;
2012-01-31;1.359409;
2012-02-29;1.346408;
2012-03-31;.979839;
2012-04-30;.820139;
2012-05-31;.740833;
2012-06-30;.779833;
2012-07-31;.907661;
2012-08-31;1.053456;
2012-09-30;1.541806;
2012-10-31;1.626344;
2012-11-30;1.189946;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;.901528;
2013-04-30;.764722;
2013-05-31;.690995;
2013-06-30;.600773;
2013-07-31;.87836;
2013-08-31;1.110349;
2013-09-30;1.347639;
2013-10-31;1.232796;
2013-11-30;1.051389;
2013-12-31;.811828;
2014-01-31;1.202823;
2014-02-28;1.247768;
2014-03-31;.919624;
2014-04-30;.711389;
2014-05-31;.576882;
2014-06-30;null;
2014-07-31;null;
2014-08-31;1.049597;
2014-09-30;1.578472;
2014-10-31;1.277151;
2014-11-30;1.193194;
2014-12-31;1.16638;
2015-01-31;1.316421;
2015-02-28;1.128125;
2015-03-31;.903763;
2015-04-30;.745;
2015-05-31;.63414;
2015-06-30;.600833;
2015-07-31;.912635;
2015-08-31;1.124462;
2015-09-30;1.41;
2015-10-31;1.480242;
2015-11-30;1.094583;
2015-12-31;1.121365;
2016-01-31;.90914;
2016-02-29;1.106465;
2016-03-31;.93414;
2016-04-30;.92375;
2016-05-31;.69879;
2016-06-30;.605556;
2016-07-31;.896909;
2016-08-31;1.31399;
2016-09-30;1.513194;
2016-10-31;1.275403;
2016-11-30;1.108889;
2016-12-31;.894489;
2017-01-31;1.126882;
2017-02-28;.877976;
2017-03-31;.715457;
2017-04-30;.664444;
2017-05-31;.60516;
2017-06-30;.569167;
2017-07-31;.616228;
2017-08-31;1.065591;
2017-09-30;1.43875;
2017-10-31;1.283333;
2017-11-30;.967917;
2017-12-31;.971908;
2018-01-31;1.044086;
2018-02-28;.671726;
2018-03-31;.686022;
2018-04-30;.571111;
2018-05-31;.521371;
2018-06-30;.562222;
2018-07-31;.683333;
2018-08-31;.763172;
2018-09-30;1.074583;
2018-10-31;null;
2018-11-30;null;
2018-12-31;.78293;
2019-01-31;1.071505;
2019-02-28;.761905;
2019-03-31;.689651;
2019-04-30;.675417;
2019-05-31;.539382;
2019-06-30;.443611;
2019-07-31;.571102;
2019-08-31;.952957;
2019-09-30;1.258194;
2019-10-31;1.286559;
2019-11-30;.957917;
2019-12-31;.956855;
2020-01-31;.902419;
2020-02-29;.802155;
2020-03-31;.535484;
2020-04-30;.667639;
2020-05-31;.650134;
2020-06-30;.5025;
2020-07-31;.628091;
2020-08-31;.922581;
2020-09-30;1.248611;
2020-10-31;.864247;
2020-11-30;.953472;
2020-12-31;.836694;
2021-01-31;.921774;
2021-02-28;.879464;
2021-03-31;.826075;
2021-04-30;.662639;
2021-05-31;.702016;
2021-06-30;.655417;
2021-07-31;.789382;
2021-08-31;.982124;
2021-09-30;1.279861;
2021-10-31;1.035081;
2021-11-30;.290972;
2021-12-31;.001478;
2022-01-31;.227823;
2022-02-28;.189583;
2022-03-31;.162769;
2022-04-30;.135;
2022-05-31;.127285;
2022-06-30;.06875;
2022-07-31;.21371;
2022-08-31;.277688;
2022-09-30;.467639;
2022-10-31;.360753;
2022-11-30;.155278;
2022-12-31;.188844;

