Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2006-07-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;null;
2006-08-31;2.451229;
2006-09-30;2.770985;
2006-10-31;2.55914;
2006-11-30;2.563194;
2006-12-31;2.614972;
2007-01-31;2.669355;
2007-02-28;2.581231;
2007-03-31;2.37356;
2007-04-30;2.190423;
2007-05-31;2.249024;
2007-06-30;2.130918;
2007-07-31;2.522727;
2007-08-31;2.61991;
2007-09-30;3.033889;
2007-10-31;2.689919;
2007-11-30;2.480045;
2007-12-31;2.602285;
2008-01-31;2.524193;
2008-02-29;2.333534;
2008-03-31;2.324147;
2008-04-30;1.982639;
2008-05-31;1.988548;
2008-06-30;2.120417;
2008-07-31;2.204704;
2008-08-31;2.528384;
2008-09-30;2.682917;
2008-10-31;2.698118;
2008-11-30;2.373056;
2008-12-31;1.785753;
2009-01-31;null;
2009-02-28;1.414583;
2009-03-31;1.18871;
2009-04-30;1.304583;
2009-05-31;1.413575;
2009-06-30;1.436806;
2009-07-31;1.521371;
2009-08-31;1.914516;
2009-09-30;1.835972;
2009-10-31;1.738075;
2009-11-30;1.675694;
2009-12-31;1.904032;
2010-01-31;1.727976;
2010-02-28;1.648809;
2010-03-31;1.579874;
2010-04-30;1.765625;
2010-05-31;2.018952;
2010-06-30;2.019306;
2010-07-31;2.301479;
2010-08-31;2.384789;
2010-09-30;2.511528;
2010-10-31;2.507796;
2010-11-30;2.471111;
2010-12-31;2.039785;
2011-01-31;2.456183;
2011-02-28;2.267851;
2011-03-31;1.834145;
2011-04-30;2.045972;
2011-05-31;1.924462;
2011-06-30;2.113056;
2011-07-31;2.018145;
2011-08-31;2.515317;
2011-09-30;2.648333;
2011-10-31;2.435081;
2011-11-30;2.429306;
2011-12-31;2.247791;
2012-01-31;2.207661;
2012-02-29;2.288937;
2012-03-31;2.095243;
2012-04-30;2.061944;
2012-05-31;2.032393;
2012-06-30;1.791667;
2012-07-31;2.148568;
2012-08-31;2.465127;
2012-09-30;2.484722;
2012-10-31;2.642339;
2012-11-30;2.236111;
2012-12-31;1.745161;
2013-01-31;1.9375;
2013-02-28;1.971875;
2013-03-31;1.984639;
2013-04-30;1.896806;
2013-05-31;1.904032;
2013-06-30;1.691414;
2013-07-31;1.998253;
2013-08-31;2.0375;
2013-09-30;2.197083;
2013-10-31;2.381667;
2013-11-30;2.264167;
2013-12-31;2.177419;
2014-01-31;2.04328;
2014-02-28;2.307738;
2014-03-31;2.083064;
2014-04-30;1.814626;
2014-05-31;1.897446;
2014-06-30;1.802361;
2014-07-31;2.077957;
2014-08-31;2.15793;
2014-09-30;2.48;
2014-10-31;2.475731;
2014-11-30;2.310278;
2014-12-31;2.159274;
2015-01-31;2.028682;
2015-02-28;2.004167;
2015-03-31;1.761022;
2015-04-30;1.710694;
2015-05-31;1.959812;
2015-06-30;1.997778;
2015-07-31;2.000403;
2015-08-31;2.256317;
2015-09-30;2.177917;
2015-10-31;2.381048;
2015-11-30;2.041806;
2015-12-31;2.102554;
2016-01-31;2.368414;
2016-02-29;1.854167;
2016-03-31;1.959005;
2016-04-30;1.958889;
2016-05-31;1.912366;
2016-06-30;2.053472;
2016-07-31;2.130242;
2016-08-31;2.345699;
2016-09-30;2.4725;
2016-10-31;2.439247;
2016-11-30;2.268056;
2016-12-31;2.258651;
2017-01-31;2.070296;
2017-02-28;2.147619;
2017-03-31;2.04543;
2017-04-30;2.020278;
2017-05-31;1.883871;
2017-06-30;1.97625;
2017-07-31;2.343145;
2017-08-31;2.382796;
2017-09-30;2.821528;
2017-10-31;2.62836;
2017-11-30;2.429028;
2017-12-31;2.032527;
2018-01-31;2.065591;
2018-02-28;2.106101;
2018-03-31;1.868683;
2018-04-30;2.095;
2018-05-31;1.946909;
2018-06-30;1.732083;
2018-07-31;1.815995;
2018-08-31;2.173118;
2018-09-30;2.285465;
2018-10-31;2.057661;
2018-11-30;2.24625;
2018-12-31;1.932527;
2019-01-31;2.047177;
2019-02-28;1.961756;
2019-03-31;1.846774;
2019-04-30;1.840833;
2019-05-31;1.691263;
2019-06-30;1.895278;
2019-07-31;2.128763;
2019-08-31;2.256452;
2019-09-30;2.293666;
2019-10-31;2.305914;
2019-11-30;2.277639;
2019-12-31;2.277823;
2020-01-31;1.989247;
2020-02-29;2.095259;
2020-03-31;2.016801;
2020-04-30;2.069444;
2020-05-31;2.002285;
2020-06-30;1.917917;
2020-07-31;2.219892;
2020-08-31;2.323521;
2020-09-30;2.268611;
2020-10-31;2.233199;
2020-11-30;2.358611;
2020-12-31;1.884812;
2021-01-31;2.054301;
2021-02-28;1.963244;
2021-03-31;1.995565;
2021-04-30;1.996667;
2021-05-31;1.902151;
2021-06-30;1.698333;
2021-07-31;2.24422;
2021-08-31;2.33414;
2021-09-30;2.35;
2021-10-31;2.251733;
2021-11-30;2.198194;
2021-12-31;2.045565;
2022-01-31;2.23172;
2022-02-28;1.932143;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;2.462634;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;2.193364;

