Nome: PASSOS
Codigo Estacao: A516
Latitude: -20.745237
Longitude: -46.633916
Altitude: 781.7
Situacao: Operante
Data Inicial: 2006-07-15
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;null;
2006-08-31;1.938479;
2006-09-30;2.458712;
2006-10-31;2.311962;
2006-11-30;2.277438;
2006-12-31;2.34703;
2007-01-31;1.641129;
2007-02-28;1.995808;
2007-03-31;1.541143;
2007-04-30;1.806389;
2007-05-31;1.630196;
2007-06-30;1.260453;
2007-07-31;1.647814;
2007-08-31;2.175195;
2007-09-30;2.634722;
2007-10-31;2.459771;
2007-11-30;2.327556;
2007-12-31;1.874597;
2008-01-31;2.016221;
2008-02-29;1.598245;
2008-03-31;1.683065;
2008-04-30;1.439787;
2008-05-31;1.418537;
2008-06-30;1.375034;
2008-07-31;1.49422;
2008-08-31;1.772083;
2008-09-30;2.293333;
2008-10-31;2.344931;
2008-11-30;2.488031;
2008-12-31;1.97957;
2009-01-31;1.922563;
2009-02-28;1.41131;
2009-03-31;1.089651;
2009-04-30;1.273472;
2009-05-31;1.202016;
2009-06-30;1.054861;
2009-07-31;1.270699;
2009-08-31;1.873522;
2009-09-30;1.782361;
2009-10-31;1.948994;
2009-11-30;1.454444;
2009-12-31;1.453629;
2010-01-31;1.353006;
2010-02-28;1.641071;
2010-03-31;1.503898;
2010-04-30;1.312917;
2010-05-31;1.110484;
2010-06-30;1.289722;
2010-07-31;1.87714;
2010-08-31;1.754026;
2010-09-30;1.951133;
2010-10-31;null;
2010-11-30;1.685;
2010-12-31;1.325134;
2011-01-31;1.225806;
2011-02-28;1.268899;
2011-03-31;1.552133;
2011-04-30;1.303889;
2011-05-31;1.073656;
2011-06-30;1.295417;
2011-07-31;1.34879;
2011-08-31;1.732796;
2011-09-30;2.308472;
2011-10-31;2.170564;
2011-11-30;1.655139;
2011-12-31;1.301613;
2012-01-31;1.018952;
2012-02-29;.235057;
2012-03-31;1.211693;
2012-04-30;1.531111;
2012-05-31;1.827285;
2012-06-30;1.317361;
2012-07-31;1.508871;
2012-08-31;2.634673;
2012-09-30;null;
2012-10-31;1.559468;
2012-11-30;1.722083;
2012-12-31;1.109005;
2013-01-31;1.29422;
2013-02-28;1.224405;
2013-03-31;1.683778;
2013-04-30;1.351667;
2013-05-31;1.134588;
2013-06-30;1.310808;
2013-07-31;1.643952;
2013-08-31;1.978495;
2013-09-30;2.283889;
2013-10-31;2.289382;
2013-11-30;2.384306;
2013-12-31;1.988172;
2014-01-31;1.74785;
2014-02-28;2.050149;
2014-03-31;1.932661;
2014-04-30;1.653333;
2014-05-31;1.485659;
2014-06-30;1.462959;
2014-07-31;1.833889;
2014-08-31;1.662463;
2014-09-30;2.171451;
2014-10-31;2.643718;
2014-11-30;2.122285;
2014-12-31;1.846909;
2015-01-31;1.638913;
2015-02-28;1.601404;
2015-03-31;1.419758;
2015-04-30;1.425417;
2015-05-31;1.580914;
2015-06-30;1.798194;
2015-07-31;1.485618;
2015-08-31;1.695079;
2015-09-30;1.695058;
2015-10-31;2.013041;
2015-11-30;1.618391;
2015-12-31;1.590909;
2016-01-31;2.259435;
2016-02-29;1.291736;
2016-03-31;1.54332;
2016-04-30;1.201224;
2016-05-31;1.350363;
2016-06-30;null;
2016-07-31;1.258776;
2016-08-31;1.66077;
2016-09-30;2.132877;
2016-10-31;2.376694;
2016-11-30;1.993358;
2016-12-31;1.949018;
2017-01-31;1.4763;
2017-02-28;1.641311;
2017-03-31;1.565291;
2017-04-30;1.776414;
2017-05-31;1.466795;
2017-06-30;1.385894;
2017-07-31;1.816263;
2017-08-31;1.690533;
2017-09-30;1.993502;
2017-10-31;1.904488;
2017-11-30;1.972814;
2017-12-31;1.967785;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;1.99408;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;1.381966;
2019-06-30;1.659277;
2019-07-31;1.86767;
2019-08-31;null;
2019-09-30;null;
2019-10-31;2.173358;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;1.662945;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;2.346271;
2020-09-30;2.213591;
2020-10-31;2.645091;
2020-11-30;null;
2020-12-31;1.733301;
2021-01-31;1.63485;
2021-02-28;1.800212;
2021-03-31;1.516263;
2021-04-30;1.977127;
2021-05-31;1.470009;
2021-06-30;1.573994;
2021-07-31;1.815591;
2021-08-31;2.498656;
2021-09-30;2.196975;
2021-10-31;2.447043;
2021-11-30;2.11718;
2021-12-31;2.119446;
2022-01-31;1.727609;
2022-02-28;1.643936;
2022-03-31;1.682877;
2022-04-30;null;
2022-05-31;null;
2022-06-30;1.431093;
2022-07-31;1.52427;
2022-08-31;1.692864;
2022-09-30;1.597409;
2022-10-31;.918414;
2022-11-30;1.173871;
2022-12-31;.723203;

