Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2006-08-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;
2006-09-30;2.194495;
2006-10-31;2.227823;
2006-11-30;2.185552;
2006-12-31;2.160755;
2007-01-31;1.860805;
2007-02-28;1.878183;
2007-03-31;1.736606;
2007-04-30;1.535;
2007-05-31;1.409141;
2007-06-30;1.2491;
2007-07-31;1.640921;
2007-08-31;2.314697;
2007-09-30;2.722361;
2007-10-31;2.747546;
2007-11-30;2.157716;
2007-12-31;1.986425;
2008-01-31;1.77043;
2008-02-29;1.621889;
2008-03-31;1.560484;
2008-04-30;1.284722;
2008-05-31;1.326718;
2008-06-30;1.430781;
2008-07-31;1.247867;
2008-08-31;1.926075;
2008-09-30;2.267639;
2008-10-31;2.509409;
2008-11-30;2.432101;
2008-12-31;1.853131;
2009-01-31;1.655873;
2009-02-28;1.725595;
2009-03-31;1.335887;
2009-04-30;1.265417;
2009-05-31;1.070296;
2009-06-30;1.2725;
2009-07-31;1.470699;
2009-08-31;1.563649;
2009-09-30;1.710694;
2009-10-31;2.029598;
2009-11-30;1.435;
2009-12-31;1.521909;
2010-01-31;1.085802;
2010-02-28;1.205655;
2010-03-31;1.208871;
2010-04-30;1.245556;
2010-05-31;.674194;
2010-06-30;.895556;
2010-07-31;1.121102;
2010-08-31;1.258104;
2010-09-30;1.70873;
2010-10-31;2.003226;
2010-11-30;1.580774;
2010-12-31;1.286425;
2011-01-31;1.148521;
2011-02-28;1.46622;
2011-03-31;null;
2011-04-30;null;
2011-05-31;.778763;
2011-06-30;.707083;
2011-07-31;.895699;
2011-08-31;1.521505;
2011-09-30;2.154028;
2011-10-31;1.654704;
2011-11-30;1.59375;
2011-12-31;1.323118;
2012-01-31;1.009677;
2012-02-29;1.039655;
2012-03-31;.974866;
2012-04-30;.724444;
2012-05-31;.638673;
2012-06-30;.572639;
2012-07-31;.985278;
2012-08-31;1.691283;
2012-09-30;1.97875;
2012-10-31;2.114919;
2012-11-30;1.948194;
2012-12-31;1.522043;
2013-01-31;1.425807;
2013-02-28;1.202083;
2013-03-31;1.203194;
2013-04-30;1.137222;
2013-05-31;1.026075;
2013-06-30;.957008;
2013-07-31;1.120296;
2013-08-31;1.378091;
2013-09-30;1.539306;
2013-10-31;1.560215;
2013-11-30;1.490972;
2013-12-31;1.236022;
2014-01-31;1.396371;
2014-02-28;1.412202;
2014-03-31;1.052823;
2014-04-30;.927917;
2014-05-31;.980242;
2014-06-30;1.010417;
2014-07-31;1.184975;
2014-08-31;null;
2014-09-30;null;
2014-10-31;1.719489;
2014-11-30;1.430029;
2014-12-31;1.276882;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;.934676;
2015-05-31;.867742;
2015-06-30;.914861;
2015-07-31;.88293;
2015-08-31;1.286962;
2015-09-30;1.112778;
2015-10-31;1.541801;
2015-11-30;1.280972;
2015-12-31;1.160349;
2016-01-31;1.004032;
2016-02-29;.9625;
2016-03-31;.958814;
2016-04-30;null;
2016-05-31;.877004;
2016-06-30;.864722;
2016-07-31;1.054067;
2016-08-31;1.184005;
2016-09-30;1.267788;
2016-10-31;1.282639;
2016-11-30;1.156833;
2016-12-31;1.002419;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;.81035;
2017-08-31;1.099059;
2017-09-30;1.152222;
2017-10-31;1.293817;
2017-11-30;1.030833;
2017-12-31;.941263;
2018-01-31;.88871;
2018-02-28;.777232;
2018-03-31;.67621;
2018-04-30;.546667;
2018-05-31;.531989;
2018-06-30;.504306;
2018-07-31;.703991;
2018-08-31;.725;
2018-09-30;.794445;
2018-10-31;.805108;
2018-11-30;.782494;
2018-12-31;.831049;
2019-01-31;.736828;
2019-02-28;.744196;
2019-03-31;.655511;
2019-04-30;.555;
2019-05-31;.364113;
2019-06-30;.554583;
2019-07-31;.891667;
2019-08-31;.746237;
2019-09-30;.719583;
2019-10-31;.735484;
2019-11-30;.862778;
2019-12-31;.812231;
2020-01-31;.608199;
2020-02-29;.637213;
2020-03-31;.527138;
2020-04-30;.530417;
2020-05-31;.518952;
2020-06-30;.543472;
2020-07-31;.766532;
2020-08-31;.706586;
2020-09-30;.634028;
2020-10-31;.644086;
2020-11-30;.789445;
2020-12-31;.601075;
2021-01-31;.655376;
2021-02-28;.508482;
2021-03-31;.537634;
2021-04-30;.659583;
2021-05-31;.464651;
2021-06-30;.492917;
2021-07-31;.643356;
2021-08-31;.786962;
2021-09-30;.846667;
2021-10-31;.721102;
2021-11-30;.787113;
2021-12-31;.68414;
2022-01-31;.512097;
2022-02-28;.638393;
2022-03-31;.57621;
2022-04-30;.616806;
2022-05-31;.577285;
2022-06-30;.54;
2022-07-31;null;
2022-08-31;null;
2022-09-30;.816815;
2022-10-31;.748387;
2022-11-30;.745139;
2022-12-31;.663978;

