Nome: CAMPINA VERDE
Codigo Estacao: A519
Latitude: -19.53921
Longitude: -49.518133
Altitude: 559.07
Situacao: Operante
Data Inicial: 2006-07-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;null;
2006-08-31;2.180223;
2006-09-30;2.170471;
2006-10-31;2.029973;
2006-11-30;2.005016;
2006-12-31;2.280394;
2007-01-31;2.315667;
2007-02-28;2.040109;
2007-03-31;1.672142;
2007-04-30;1.566667;
2007-05-31;1.839446;
2007-06-30;1.664167;
2007-07-31;1.997856;
2007-08-31;2.349592;
2007-09-30;2.623889;
2007-10-31;2.153191;
2007-11-30;1.942866;
2007-12-31;2.166129;
2008-01-31;2.254611;
2008-02-29;1.83636;
2008-03-31;1.480853;
2008-04-30;1.446111;
2008-05-31;1.368455;
2008-06-30;1.655062;
2008-07-31;1.888306;
2008-08-31;2.211962;
2008-09-30;2.211667;
2008-10-31;2.120161;
2008-11-30;1.901171;
2008-12-31;2.245564;
2009-01-31;2.019448;
2009-02-28;1.685119;
2009-03-31;1.325134;
2009-04-30;1.044167;
2009-05-31;1.303091;
2009-06-30;1.412361;
2009-07-31;1.756586;
2009-08-31;2.16707;
2009-09-30;2.055694;
2009-10-31;1.905316;
2009-11-30;2.089167;
2009-12-31;2.138172;
2010-01-31;1.812231;
2010-02-28;1.631399;
2010-03-31;1.513038;
2010-04-30;1.385;
2010-05-31;1.076478;
2010-06-30;1.062361;
2010-07-31;1.694355;
2010-08-31;1.421576;
2010-09-30;2.010183;
2010-10-31;null;
2010-11-30;1.57125;
2010-12-31;1.40914;
2011-01-31;1.47043;
2011-02-28;1.126786;
2011-03-31;1.199799;
2011-04-30;1.181528;
2011-05-31;.793683;
2011-06-30;1.16;
2011-07-31;1.55914;
2011-08-31;1.735753;
2011-09-30;1.830022;
2011-10-31;2.094489;
2011-11-30;1.604028;
2011-12-31;1.574866;
2012-01-31;1.758737;
2012-02-29;1.418966;
2012-03-31;1.106586;
2012-04-30;.979861;
2012-05-31;.922446;
2012-06-30;1.102083;
2012-07-31;1.105511;
2012-08-31;1.92475;
2012-09-30;1.734028;
2012-10-31;1.821371;
2012-11-30;1.537778;
2012-12-31;1.540358;
2013-01-31;1.665291;
2013-02-28;1.24883;
2013-03-31;1.45051;
2013-04-30;1.394444;
2013-05-31;1.624059;
2013-06-30;1.658699;
2013-07-31;1.770161;
2013-08-31;2.037903;
2013-09-30;2.407083;
2013-10-31;2.116819;
2013-11-30;1.921389;
2013-12-31;1.996102;
2014-01-31;1.752688;
2014-02-28;null;
2014-03-31;null;
2014-04-30;1.412917;
2014-05-31;1.350672;
2014-06-30;1.694861;
2014-07-31;1.772581;
2014-08-31;1.850806;
2014-09-30;2.274306;
2014-10-31;1.954973;
2014-11-30;1.982917;
2014-12-31;2.338038;
2015-01-31;1.587979;
2015-02-28;2.165179;
2015-03-31;1.712231;
2015-04-30;1.376806;
2015-05-31;1.604973;
2015-06-30;1.795833;
2015-07-31;null;
2015-08-31;null;
2015-09-30;1.909722;
2015-10-31;1.98293;
2015-11-30;1.865833;
2015-12-31;1.99086;
2016-01-31;2.149059;
2016-02-29;1.653161;
2016-03-31;1.615323;
2016-04-30;1.479861;
2016-05-31;1.35672;
2016-06-30;1.348889;
2016-07-31;1.711962;
2016-08-31;1.896774;
2016-09-30;1.713611;
2016-10-31;2.159076;
2016-11-30;1.965972;
2016-12-31;2.071909;
2017-01-31;1.796237;
2017-02-28;1.912798;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;2.079704;
2017-08-31;2.012634;
2017-09-30;2.500242;
2017-10-31;2.326344;
2017-11-30;2.193889;
2017-12-31;1.75;
2018-01-31;1.747849;
2018-02-28;1.548065;
2018-03-31;1.491667;
2018-04-30;1.365;
2018-05-31;1.502016;
2018-06-30;1.564167;
2018-07-31;1.679435;
2018-08-31;1.846161;
2018-09-30;1.76;
2018-10-31;1.772043;
2018-11-30;2.166111;
2018-12-31;1.776747;
2019-01-31;1.820699;
2019-02-28;1.905804;
2019-03-31;1.497715;
2019-04-30;1.259861;
2019-05-31;1.35914;
2019-06-30;1.638031;
2019-07-31;1.973118;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;1.797778;
2019-12-31;1.730242;
2020-01-31;1.653629;
2020-02-29;1.920546;
2020-03-31;1.377449;
2020-04-30;1.223472;
2020-05-31;1.33172;
2020-06-30;1.801667;
2020-07-31;1.860349;
2020-08-31;2.215457;
2020-09-30;2.069722;
2020-10-31;2.130914;
2020-11-30;1.932083;
2020-12-31;1.929435;
2021-01-31;1.57621;
2021-02-28;1.609808;
2021-03-31;1.470593;
2021-04-30;1.299782;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;1.935764;
2021-12-31;1.721909;
2022-01-31;1.905511;
2022-02-28;1.529315;
2022-03-31;1.595699;
2022-04-30;1.408472;
2022-05-31;1.625403;
2022-06-30;1.369583;
2022-07-31;1.978495;
2022-08-31;2.049866;
2022-09-30;2.199167;
2022-10-31;1.870027;
2022-11-30;1.971945;
2022-12-31;1.885081;

