Nome: CONCEICAO DAS ALAGOAS
Codigo Estacao: A520
Latitude: -19.98586
Longitude: -48.151574
Altitude: 572.54
Situacao: Operante
Data Inicial: 2006-07-17
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;null;
2006-08-31;2.358737;
2006-09-30;3.195076;
2006-10-31;2.681989;
2006-11-30;2.542544;
2006-12-31;2.590771;
2007-01-31;null;
2007-02-28;1.925849;
2007-03-31;1.763038;
2007-04-30;1.811105;
2007-05-31;1.947504;
2007-06-30;2.047181;
2007-07-31;2.319138;
2007-08-31;2.975208;
2007-09-30;3.37154;
2007-10-31;2.951262;
2007-11-30;2.956647;
2007-12-31;2.64664;
2008-01-31;2.270027;
2008-02-29;1.989943;
2008-03-31;1.987634;
2008-04-30;1.735;
2008-05-31;1.585215;
2008-06-30;1.88116;
2008-07-31;1.796909;
2008-08-31;2.25672;
2008-09-30;3.20125;
2008-10-31;2.94207;
2008-11-30;2.631667;
2008-12-31;2.625672;
2009-01-31;2.357661;
2009-02-28;1.97872;
2009-03-31;1.840188;
2009-04-30;1.79125;
2009-05-31;1.924731;
2009-06-30;1.839583;
2009-07-31;1.714008;
2009-08-31;2.321237;
2009-09-30;2.416389;
2009-10-31;2.540661;
2009-11-30;2.564583;
2009-12-31;2.607258;
2010-01-31;1.65793;
2010-02-28;1.660565;
2010-03-31;1.807211;
2010-04-30;1.65875;
2010-05-31;1.548522;
2010-06-30;1.770694;
2010-07-31;2.395161;
2010-08-31;2.396733;
2010-09-30;2.843333;
2010-10-31;2.636828;
2010-11-30;2.866944;
2010-12-31;2.450806;
2011-01-31;2.07715;
2011-02-28;1.453572;
2011-03-31;1.326906;
2011-04-30;1.754444;
2011-05-31;1.509783;
2011-06-30;1.877449;
2011-07-31;2.082661;
2011-08-31;2.125417;
2011-09-30;2.791389;
2011-10-31;2.900795;
2011-11-30;2.852222;
2011-12-31;2.421505;
2012-01-31;1.819086;
2012-02-29;1.876581;
2012-03-31;1.767748;
2012-04-30;1.794746;
2012-05-31;1.805511;
2012-06-30;2.06721;
2012-07-31;2.08515;
2012-08-31;2.403783;
2012-09-30;2.499722;
2012-10-31;2.582661;
2012-11-30;2.327639;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;1.879583;
2013-05-31;2.038844;
2013-06-30;1.913889;
2013-07-31;2.599433;
2013-08-31;2.931989;
2013-09-30;3.047083;
2013-10-31;3.090323;
2013-11-30;2.669861;
2013-12-31;2.504704;
2014-01-31;2.158065;
2014-02-28;2.155952;
2014-03-31;1.996371;
2014-04-30;1.959583;
2014-05-31;2.01828;
2014-06-30;2.211389;
2014-07-31;2.102957;
2014-08-31;2.378629;
2014-09-30;2.636528;
2014-10-31;2.970968;
2014-11-30;2.600139;
2014-12-31;2.354435;
2015-01-31;2.114621;
2015-02-28;2.272173;
2015-03-31;1.880108;
2015-04-30;1.793056;
2015-05-31;2.217608;
2015-06-30;2.683611;
2015-07-31;2.600672;
2015-08-31;2.832527;
2015-09-30;2.584445;
2015-10-31;2.606452;
2015-11-30;2.41625;
2015-12-31;2.329973;
2016-01-31;2.329301;
2016-02-29;2.041092;
2016-03-31;2.031855;
2016-04-30;2.217361;
2016-05-31;2.245565;
2016-06-30;2.237778;
2016-07-31;2.665323;
2016-08-31;2.815732;
2016-09-30;2.784306;
2016-10-31;2.89207;
2016-11-30;2.644167;
2016-12-31;2.637366;
2017-01-31;2.030914;
2017-02-28;2.339881;
2017-03-31;2.008199;
2017-04-30;1.837361;
2017-05-31;2.118683;
2017-06-30;2.349028;
2017-07-31;2.62164;
2017-08-31;null;
2017-09-30;null;
2017-10-31;2.331317;
2017-11-30;2.550694;
2017-12-31;2.138306;
2018-01-31;2.121909;
2018-02-28;2.036161;
2018-03-31;2.066398;
2018-04-30;1.866528;
2018-05-31;2.471774;
2018-06-30;2.33625;
2018-07-31;2.445296;
2018-08-31;2.398925;
2018-09-30;2.645556;
2018-10-31;2.579704;
2018-11-30;2.565556;
2018-12-31;2.279435;
2019-01-31;2.11707;
2019-02-28;2.056994;
2019-03-31;1.767411;
2019-04-30;1.925694;
2019-05-31;2.220565;
2019-06-30;2.363194;
2019-07-31;2.598253;
2019-08-31;2.45672;
2019-09-30;2.6375;
2019-10-31;2.658468;
2019-11-30;2.39875;
2019-12-31;1.74879;
2020-01-31;1.333468;
2020-02-29;.865948;
2020-03-31;.561694;
2020-04-30;.984306;
2020-05-31;1.591263;
2020-06-30;.413333;
2020-07-31;2.370699;
2020-08-31;2.203226;
2020-09-30;1.194861;
2020-10-31;2.300941;
2020-11-30;2.459861;
2020-12-31;1.303629;
2021-01-31;1.992742;
2021-02-28;1.996577;
2021-03-31;1.912366;
2021-04-30;1.857778;
2021-05-31;1.39422;
2021-06-30;1.787361;
2021-07-31;2.257527;
2021-08-31;1.851479;
2021-09-30;2.163937;
2021-10-31;1.884274;
2021-11-30;2.109583;
2021-12-31;2.276747;
2022-01-31;.724382;
2022-02-28;.493601;
2022-03-31;1.833602;
2022-04-30;1.001111;
2022-05-31;1.674328;
2022-06-30;2.022639;
2022-07-31;1.709535;
2022-08-31;1.150421;
2022-09-30;1.078001;
2022-10-31;.607638;
2022-11-30;.47277;
2022-12-31;.498589;

