Nome: BELO HORIZONTE (PAMPULHA)
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2006-10-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;
2006-11-30;2.342147;
2006-12-31;2.107215;
2007-01-31;1.673631;
2007-02-28;2.447601;
2007-03-31;2.479435;
2007-04-30;2.253194;
2007-05-31;1.950274;
2007-06-30;1.832575;
2007-07-31;2.11806;
2007-08-31;2.746874;
2007-09-30;3.418056;
2007-10-31;3.02673;
2007-11-30;2.36025;
2007-12-31;2.18556;
2008-01-31;2.184543;
2008-02-29;2.033103;
2008-03-31;2.0447;
2008-04-30;1.687222;
2008-05-31;1.701528;
2008-06-30;1.946021;
2008-07-31;1.875538;
2008-08-31;2.445699;
2008-09-30;2.450139;
2008-10-31;2.882118;
2008-11-30;2.408333;
2008-12-31;1.992876;
2009-01-31;1.99896;
2009-02-28;2.017113;
2009-03-31;1.68414;
2009-04-30;1.791944;
2009-05-31;1.689113;
2009-06-30;1.592639;
2009-07-31;1.927419;
2009-08-31;2.460151;
2009-09-30;2.405;
2009-10-31;2.080747;
2009-11-30;2.004583;
2009-12-31;1.58871;
2010-01-31;1.960183;
2010-02-28;2.333185;
2010-03-31;1.669624;
2010-04-30;1.902083;
2010-05-31;1.669892;
2010-06-30;1.895;
2010-07-31;2.447581;
2010-08-31;2.323208;
2010-09-30;3.02;
2010-10-31;2.365323;
2010-11-30;1.829028;
2010-12-31;1.749194;
2011-01-31;2.105108;
2011-02-28;2.626935;
2011-03-31;1.735901;
2011-04-30;2.203611;
2011-05-31;1.817204;
2011-06-30;1.751768;
2011-07-31;1.922715;
2011-08-31;2.293952;
2011-09-30;3.007222;
2011-10-31;2.366263;
2011-11-30;2.394722;
2011-12-31;1.724597;
2012-01-31;2.220296;
2012-02-29;2.32227;
2012-03-31;2.060753;
2012-04-30;1.862083;
2012-05-31;1.869764;
2012-06-30;1.65116;
2012-07-31;1.892204;
2012-08-31;2.741014;
2012-09-30;2.624722;
2012-10-31;2.783737;
2012-11-30;2.185278;
2012-12-31;2.020481;
2013-01-31;1.826747;
2013-02-28;2.354911;
2013-03-31;2.060333;
2013-04-30;1.709861;
2013-05-31;1.743683;
2013-06-30;1.701364;
2013-07-31;1.825941;
2013-08-31;2.398253;
2013-09-30;2.675;
2013-10-31;2.452151;
2013-11-30;2.541806;
2013-12-31;1.694355;
2014-01-31;2.326344;
2014-02-28;2.71503;
2014-03-31;2.18629;
2014-04-30;1.696667;
2014-05-31;1.719489;
2014-06-30;1.865417;
2014-07-31;2.092937;
2014-08-31;2.119489;
2014-09-30;2.788194;
2014-10-31;2.733602;
2014-11-30;2.138889;
2014-12-31;2.115457;
2015-01-31;2.13646;
2015-02-28;1.87128;
2015-03-31;1.739651;
2015-04-30;1.804861;
2015-05-31;1.978898;
2015-06-30;1.87;
2015-07-31;1.992705;
2015-08-31;2.35914;
2015-09-30;2.295278;
2015-10-31;2.553763;
2015-11-30;1.910694;
2015-12-31;1.811425;
2016-01-31;1.865995;
2016-02-29;1.760031;
2016-03-31;1.79422;
2016-04-30;1.8225;
2016-05-31;1.625269;
2016-06-30;1.607917;
2016-07-31;1.871237;
2016-08-31;2.203629;
2016-09-30;2.685833;
2016-10-31;2.655511;
2016-11-30;2.052361;
2016-12-31;1.938307;
2017-01-31;2.138172;
2017-02-28;2.121726;
2017-03-31;1.93629;
2017-04-30;1.963333;
2017-05-31;1.833602;
2017-06-30;1.708194;
2017-07-31;2.280914;
2017-08-31;2.440188;
2017-09-30;2.867917;
2017-10-31;2.631183;
2017-11-30;2.004444;
2017-12-31;1.805376;
2018-01-31;1.88871;
2018-02-28;1.712947;
2018-03-31;1.632392;
2018-04-30;2.185833;
2018-05-31;1.694758;
2018-06-30;1.600737;
2018-07-31;1.616129;
2018-08-31;2.041667;
2018-09-30;2.156667;
2018-10-31;2.173521;
2018-11-30;2.223889;
2018-12-31;1.710215;
2019-01-31;1.996909;
2019-02-28;1.498958;
2019-03-31;1.611559;
2019-04-30;1.461528;
2019-05-31;1.322312;
2019-06-30;1.694861;
2019-07-31;1.800672;
2019-08-31;2.282258;
2019-09-30;2.468611;
2019-10-31;2.480376;
2019-11-30;2.039583;
2019-12-31;1.888575;
2020-01-31;1.431452;
2020-02-29;1.531035;
2020-03-31;1.699059;
2020-04-30;1.555;
2020-05-31;1.448387;
2020-06-30;1.444722;
2020-07-31;1.720296;
2020-08-31;2.143683;
2020-09-30;2.104167;
2020-10-31;2.038844;
2020-11-30;1.973472;
2020-12-31;1.502823;
2021-01-31;1.942473;
2021-02-28;1.514732;
2021-03-31;1.57379;
2021-04-30;1.530972;
2021-05-31;1.316667;
2021-06-30;1.356667;
2021-07-31;1.560215;
2021-08-31;2.152016;
2021-09-30;2.08875;
2021-10-31;2.052016;
2021-11-30;1.589444;
2021-12-31;1.545699;
2022-01-31;1.302151;
2022-02-28;1.144196;
2022-03-31;1.881183;
2022-04-30;1.455278;
2022-05-31;1.374328;
2022-06-30;1.240405;
2022-07-31;1.56922;
2022-08-31;2.00578;
2022-09-30;2.0275;
2022-10-31;1.898118;
2022-11-30;1.692083;
2022-12-31;1.598605;

