Nome: SERRA DOS AIMORES
Codigo Estacao: A522
Latitude: -17.79888888
Longitude: -40.25
Altitude: 211.97
Situacao: Operante
Data Inicial: 2006-08-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;
2006-09-30;3.23524;
2006-10-31;3.281183;
2006-11-30;3.178388;
2006-12-31;2.913787;
2007-01-31;3.22379;
2007-02-28;2.481172;
2007-03-31;2.356592;
2007-04-30;2.059837;
2007-05-31;2.292503;
2007-06-30;1.923877;
2007-07-31;2.58968;
2007-08-31;2.60658;
2007-09-30;2.910278;
2007-10-31;3.769051;
2007-11-30;4.094537;
2007-12-31;3.523522;
2008-01-31;3.174328;
2008-02-29;2.836351;
2008-03-31;2.236156;
2008-04-30;2.085139;
2008-05-31;1.98449;
2008-06-30;2.207112;
2008-07-31;2.22621;
2008-08-31;2.429973;
2008-09-30;3.168848;
2008-10-31;3.327151;
2008-11-30;3.03139;
2008-12-31;2.748132;
2009-01-31;2.770863;
2009-02-28;2.694345;
2009-03-31;2.311828;
2009-04-30;1.808889;
2009-05-31;1.698118;
2009-06-30;1.742917;
2009-07-31;1.896909;
2009-08-31;2.532124;
2009-09-30;3.350833;
2009-10-31;2.926418;
2009-11-30;3.304583;
2009-12-31;3.054959;
2010-01-31;3.204699;
2010-02-28;2.691071;
2010-03-31;null;
2010-04-30;null;
2010-05-31;1.48141;
2010-06-30;2.012117;
2010-07-31;2.137634;
2010-08-31;2.476884;
2010-09-30;3.175833;
2010-10-31;2.985887;
2010-11-30;2.949583;
2010-12-31;3.001613;
2011-01-31;3.006586;
2011-02-28;2.649851;
2011-03-31;2.203557;
2011-04-30;1.870694;
2011-05-31;1.775;
2011-06-30;null;
2011-07-31;null;
2011-08-31;2.697446;
2011-09-30;3.116389;
2011-10-31;3.513978;
2011-11-30;2.9425;
2011-12-31;3.120296;
2012-01-31;3.153898;
2012-02-29;2.954023;
2012-03-31;2.888306;
2012-04-30;2.599444;
2012-05-31;2.328226;
2012-06-30;2.156035;
2012-07-31;2.225941;
2012-08-31;2.640419;
2012-09-30;3.146806;
2012-10-31;3.535081;
2012-11-30;2.753056;
2012-12-31;3.247177;
2013-01-31;3.273387;
2013-02-28;2.973214;
2013-03-31;2.873083;
2013-04-30;2.3075;
2013-05-31;2.205511;
2013-06-30;1.956604;
2013-07-31;2.362634;
2013-08-31;2.767339;
2013-09-30;3.001111;
2013-10-31;3.135484;
2013-11-30;3.356069;
2013-12-31;3.203763;
2014-01-31;2.660618;
2014-02-28;2.519792;
2014-03-31;2.54879;
2014-04-30;2.040694;
2014-05-31;2.057796;
2014-06-30;2.003889;
2014-07-31;2.180108;
2014-08-31;2.331317;
2014-09-30;3.313056;
2014-10-31;3.620565;
2014-11-30;3.275417;
2014-12-31;3.071505;
2015-01-31;3.568578;
2015-02-28;2.99494;
2015-03-31;2.451075;
2015-04-30;2.206389;
2015-05-31;null;
2015-06-30;2.313195;
2015-07-31;2.096909;
2015-08-31;2.406855;
2015-09-30;3.720694;
2015-10-31;3.849462;
2015-11-30;3.524864;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;2.841964;
2016-04-30;2.522917;
2016-05-31;2.394086;
2016-06-30;2.423611;
2016-07-31;2.649328;
2016-08-31;2.915054;
2016-09-30;3.618195;
2016-10-31;3.937529;
2016-11-30;3.359861;
2016-12-31;3.042339;
2017-01-31;3.401075;
2017-02-28;2.527381;
2017-03-31;2.279032;
2017-04-30;2.291389;
2017-05-31;2.227175;
2017-06-30;2.282917;
2017-07-31;2.488611;
2017-08-31;2.320161;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;2.729435;
2018-01-31;3.121102;
2018-02-28;2.677679;
2018-03-31;2.334543;
2018-04-30;2.209444;
2018-05-31;2.117339;
2018-06-30;2.093194;
2018-07-31;2.050269;
2018-08-31;2.58871;
2018-09-30;3.392361;
2018-10-31;3.374866;
2018-11-30;3.108889;
2018-12-31;2.630376;
2019-01-31;2.949866;
2019-02-28;2.844196;
2019-03-31;2.672849;
2019-04-30;2.268333;
2019-05-31;1.975538;
2019-06-30;2.127917;
2019-07-31;2.398656;
2019-08-31;2.853091;
2019-09-30;3.110278;
2019-10-31;3.205108;
2019-11-30;3.266878;
2019-12-31;3.182392;
2020-01-31;2.866743;
2020-02-29;2.588406;
2020-03-31;2.3125;
2020-04-30;2.461944;
2020-05-31;2.074194;
2020-06-30;2.120042;
2020-07-31;2.19207;
2020-08-31;2.731317;
2020-09-30;2.943194;
2020-10-31;3.010361;
2020-11-30;2.88617;
2020-12-31;null;
2021-01-31;null;
2021-02-28;2.625968;
2021-03-31;2.06888;
2021-04-30;2.119142;
2021-05-31;2.207185;
2021-06-30;2.006686;
2021-07-31;2.448578;
2021-08-31;2.724511;
2021-09-30;3.252897;
2021-10-31;3.261272;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.178539;
2022-10-31;3.582527;
2022-11-30;3.147772;
2022-12-31;3.038858;

