Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2006-08-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;
2006-09-30;2.223939;
2006-10-31;2.187231;
2006-11-30;2.475494;
2006-12-31;2.616039;
2007-01-31;2.293072;
2007-02-28;2.147968;
2007-03-31;1.61745;
2007-04-30;1.694372;
2007-05-31;1.607668;
2007-06-30;1.376371;
2007-07-31;1.647254;
2007-08-31;2.047172;
2007-09-30;2.49125;
2007-10-31;2.284566;
2007-11-30;2.170833;
2007-12-31;2.157124;
2008-01-31;2.302823;
2008-02-29;1.79569;
2008-03-31;1.978226;
2008-04-30;1.400417;
2008-05-31;1.293321;
2008-06-30;1.469251;
2008-07-31;1.419489;
2008-08-31;1.999194;
2008-09-30;2.196131;
2008-10-31;2.33591;
2008-11-30;2.29997;
2008-12-31;2.112634;
2009-01-31;2.179646;
2009-02-28;2.074405;
2009-03-31;1.655376;
2009-04-30;1.483472;
2009-05-31;1.474462;
2009-06-30;1.342083;
2009-07-31;1.674731;
2009-08-31;2.143952;
2009-09-30;2.019583;
2009-10-31;2.289486;
2009-11-30;2.318889;
2009-12-31;2.442339;
2010-01-31;2.165054;
2010-02-28;2.120238;
2010-03-31;1.774328;
2010-04-30;1.449722;
2010-05-31;1.014785;
2010-06-30;1.185417;
2010-07-31;1.55793;
2010-08-31;1.701021;
2010-09-30;1.837361;
2010-10-31;1.341667;
2010-11-30;1.871111;
2010-12-31;1.458468;
2011-01-31;1.983333;
2011-02-28;1.379762;
2011-03-31;1.109941;
2011-04-30;1.034167;
2011-05-31;.627823;
2011-06-30;.886389;
2011-07-31;1.093817;
2011-08-31;1.774059;
2011-09-30;2.12093;
2011-10-31;2.162634;
2011-11-30;2.238472;
2011-12-31;1.816129;
2012-01-31;1.696505;
2012-02-29;1.557184;
2012-03-31;1.043683;
2012-04-30;1.219583;
2012-05-31;1.141964;
2012-06-30;1.186667;
2012-07-31;1.38172;
2012-08-31;2.409197;
2012-09-30;2.18125;
2012-10-31;2.411828;
2012-11-30;2.386389;
2012-12-31;1.851478;
2013-01-31;2.188038;
2013-02-28;1.512649;
2013-03-31;1.763;
2013-04-30;1.534583;
2013-05-31;1.263307;
2013-06-30;1.164192;
2013-07-31;1.483731;
2013-08-31;1.737903;
2013-09-30;1.954856;
2013-10-31;2.048387;
2013-11-30;2.062361;
2013-12-31;1.815323;
2014-01-31;1.961828;
2014-02-28;2.336607;
2014-03-31;2.086156;
2014-04-30;1.58625;
2014-05-31;1.357527;
2014-06-30;1.389445;
2014-07-31;1.651075;
2014-08-31;1.681452;
2014-09-30;2.29971;
2014-10-31;2.515054;
2014-11-30;2.22125;
2014-12-31;1.962903;
2015-01-31;1.676695;
2015-02-28;2.013988;
2015-03-31;1.592742;
2015-04-30;1.388194;
2015-05-31;1.530108;
2015-06-30;1.530556;
2015-07-31;1.473925;
2015-08-31;null;
2015-09-30;null;
2015-10-31;1.991048;
2015-11-30;1.729444;
2015-12-31;1.874059;
2016-01-31;2.20083;
2016-02-29;null;
2016-03-31;null;
2016-04-30;1.428333;
2016-05-31;1.158871;
2016-06-30;1.261528;
2016-07-31;1.267608;
2016-08-31;1.670296;
2016-09-30;1.930417;
2016-10-31;2.104301;
2016-11-30;1.920278;
2016-12-31;2.03629;
2017-01-31;1.700672;
2017-02-28;2.022619;
2017-03-31;1.558199;
2017-04-30;1.529444;
2017-05-31;null;
2017-06-30;1.428646;
2017-07-31;1.957661;
2017-08-31;1.581048;
2017-09-30;2.385417;
2017-10-31;2.066398;
2017-11-30;2.245972;
2017-12-31;1.733602;
2018-01-31;1.726747;
2018-02-28;1.635714;
2018-03-31;1.389113;
2018-04-30;1.305417;
2018-05-31;1.057124;
2018-06-30;.966667;
2018-07-31;1.01191;
2018-08-31;1.303091;
2018-09-30;1.682917;
2018-10-31;1.67379;
2018-11-30;2.285556;
2018-12-31;1.644489;
2019-01-31;1.475134;
2019-02-28;1.624256;
2019-03-31;1.329839;
2019-04-30;1.077103;
2019-05-31;.962814;
2019-06-30;1.253333;
2019-07-31;null;
2019-08-31;1.542658;
2019-09-30;1.755417;
2019-10-31;1.571909;
2019-11-30;1.797778;
2019-12-31;1.738306;
2020-01-31;1.577554;
2020-02-29;1.893678;
2020-03-31;1.464189;
2020-04-30;1.306111;
2020-05-31;1.276747;
2020-06-30;1.370139;
2020-07-31;1.596102;
2020-08-31;1.907124;
2020-09-30;1.876389;
2020-10-31;2.00914;
2020-11-30;1.96;
2020-12-31;1.505242;
2021-01-31;1.665323;
2021-02-28;1.797321;
2021-03-31;1.388038;
2021-04-30;1.260417;
2021-05-31;1.182124;
2021-06-30;1.050833;
2021-07-31;1.140457;
2021-08-31;1.839113;
2021-09-30;2.02375;
2021-10-31;1.990323;
2021-11-30;1.866528;
2021-12-31;2.051344;
2022-01-31;null;
2022-02-28;null;
2022-03-31;1.685215;
2022-04-30;1.366944;
2022-05-31;1.310688;
2022-06-30;1.036033;
2022-07-31;1.494489;
2022-08-31;1.885455;
2022-09-30;2.114583;
2022-10-31;1.902016;
2022-11-30;2.02875;
2022-12-31;2.019221;

