Nome: MONTALVANIA
Codigo Estacao: A526
Latitude: -14.40833333
Longitude: -44.40416666
Altitude: 519.52
Situacao: Pane
Data Inicial: 2007-06-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;
2007-07-31;1.905645;
2007-08-31;2.576987;
2007-09-30;2.768333;
2007-10-31;2.50897;
2007-11-30;2.286574;
2007-12-31;1.663575;
2008-01-31;1.575134;
2008-02-29;1.298132;
2008-03-31;1.181183;
2008-04-30;1.056806;
2008-05-31;1.236156;
2008-06-30;1.609867;
2008-07-31;1.781317;
2008-08-31;1.984812;
2008-09-30;1.92625;
2008-10-31;2.359409;
2008-11-30;1.623647;
2008-12-31;1.193356;
2009-01-31;1.235279;
2009-02-28;1.402976;
2009-03-31;1.247446;
2009-04-30;1.185556;
2009-05-31;1.166398;
2009-06-30;1.388611;
2009-07-31;1.716129;
2009-08-31;2.21828;
2009-09-30;1.756528;
2009-10-31;1.541236;
2009-11-30;1.404167;
2009-12-31;1.397177;
2010-01-31;1.477639;
2010-02-28;1.488691;
2010-03-31;1.051613;
2010-04-30;.864722;
2010-05-31;.84422;
2010-06-30;1.268283;
2010-07-31;1.754167;
2010-08-31;1.659958;
2010-09-30;2.146111;
2010-10-31;1.440188;
2010-11-30;1.204722;
2010-12-31;.843683;
2011-01-31;1.13601;
2011-02-28;1.006101;
2011-03-31;1.136082;
2011-04-30;1.076667;
2011-05-31;1.046371;
2011-06-30;1.107639;
2011-07-31;1.563306;
2011-08-31;1.574597;
2011-09-30;1.999722;
2011-10-31;1.70239;
2011-11-30;1.386528;
2011-12-31;.957661;
2012-01-31;1.16922;
2012-02-29;1.164512;
2012-03-31;1.064651;
2012-04-30;1.086528;
2012-05-31;1.508636;
2012-06-30;null;
2012-07-31;null;
2012-08-31;2.636425;
2012-09-30;2.383472;
2012-10-31;2.368683;
2012-11-30;1.456806;
2012-12-31;1.564651;
2013-01-31;1.493414;
2013-02-28;1.45372;
2013-03-31;1.458111;
2013-04-30;1.2;
2013-05-31;1.420027;
2013-06-30;1.600997;
2013-07-31;1.899328;
2013-08-31;2.303763;
2013-09-30;2.514028;
2013-10-31;2.116532;
2013-11-30;1.71625;
2013-12-31;1.322446;
2014-01-31;1.596774;
2014-02-28;1.796577;
2014-03-31;1.592204;
2014-04-30;1.135556;
2014-05-31;1.425941;
2014-06-30;1.650099;
2014-07-31;1.850538;
2014-08-31;1.894355;
2014-09-30;2.213333;
2014-10-31;2.38078;
2014-11-30;null;
2014-12-31;1.14837;
2015-01-31;1.448979;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;1.621748;
2015-07-31;1.591532;
2015-08-31;2.027554;
2015-09-30;1.678472;
2015-10-31;2.101221;
2015-11-30;1.87625;
2015-12-31;1.738513;
2016-01-31;1.349328;
2016-02-29;1.204329;
2016-03-31;1.256855;
2016-04-30;1.327917;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.048673;
2016-08-31;2.27269;
2016-09-30;2.406624;
2016-10-31;2.835926;
2016-11-30;2.331559;
2016-12-31;2.075956;
2017-01-31;null;
2017-02-28;null;
2017-03-31;1.782772;
2017-04-30;1.836528;
2017-05-31;2.092058;
2017-06-30;2.473556;
2017-07-31;3.23871;
2017-08-31;2.314835;
2017-09-30;3.087123;
2017-10-31;3.037665;
2017-11-30;2.048231;
2017-12-31;1.710854;
2018-01-31;1.946167;
2018-02-28;1.7647;
2018-03-31;1.514155;
2018-04-30;1.713104;
2018-05-31;2.026335;
2018-06-30;1.894246;
2018-07-31;2.069758;
2018-08-31;2.17164;
2018-09-30;2.193822;
2018-10-31;2.366912;
2018-11-30;1.81558;
2018-12-31;1.66922;
2019-01-31;1.953243;
2019-02-28;1.842721;
2019-03-31;1.734625;
2019-04-30;1.420972;
2019-05-31;1.500403;
2019-06-30;2.058611;
2019-07-31;2.283871;
2019-08-31;2.556733;
2019-09-30;2.578056;
2019-10-31;2.307562;
2019-11-30;2.222337;
2019-12-31;2.021669;
2020-01-31;1.751379;
2020-02-29;1.541423;
2020-03-31;1.652052;
2020-04-30;1.524306;
2020-05-31;1.47621;
2020-06-30;1.814861;
2020-07-31;2.066667;
2020-08-31;2.420968;
2020-09-30;2.327917;
2020-10-31;2.23556;
2020-11-30;1.908171;
2020-12-31;1.651747;
2021-01-31;1.915457;
2021-02-28;1.80997;
2021-03-31;1.728763;
2021-04-30;1.915972;
2021-05-31;1.739651;
2021-06-30;1.919861;
2021-07-31;2.138871;
2021-08-31;2.606586;
2021-09-30;2.29125;
2021-10-31;2.202016;
2021-11-30;1.796952;
2021-12-31;1.596006;
2022-01-31;1.774101;
2022-02-28;1.518354;
2022-03-31;1.799991;
2022-04-30;1.847361;
2022-05-31;1.736693;
2022-06-30;1.772824;
2022-07-31;2.169439;
2022-08-31;2.357009;
2022-09-30;2.31026;
2022-10-31;2.445054;
2022-11-30;1.777295;
2022-12-31;1.720809;

