Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;
2006-09-30;1.843968;
2006-10-31;2.215457;
2006-11-30;1.916236;
2006-12-31;1.59892;
2007-01-31;1.713306;
2007-02-28;1.899256;
2007-03-31;1.528898;
2007-04-30;1.275833;
2007-05-31;1.16818;
2007-06-30;1.139861;
2007-07-31;1.485158;
2007-08-31;1.882924;
2007-09-30;2.42162;
2007-10-31;2.882886;
2007-11-30;2.694537;
2007-12-31;2.101363;
2008-01-31;1.871652;
2008-02-29;1.775456;
2008-03-31;1.485753;
2008-04-30;1.203611;
2008-05-31;1.219256;
2008-06-30;1.354786;
2008-07-31;1.380511;
2008-08-31;2.057796;
2008-09-30;2.285611;
2008-10-31;2.895161;
2008-11-30;1.807046;
2008-12-31;1.843734;
2009-01-31;1.708333;
2009-02-28;1.89747;
2009-03-31;1.329839;
2009-04-30;.619722;
2009-05-31;.548925;
2009-06-30;.609167;
2009-07-31;.694758;
2009-08-31;.764247;
2009-09-30;.76875;
2009-10-31;1.217835;
2009-11-30;1.88;
2009-12-31;1.67164;
2010-01-31;2.350183;
2010-02-28;2.214881;
2010-03-31;1.405107;
2010-04-30;1.245417;
2010-05-31;1.186828;
2010-06-30;.976667;
2010-07-31;1.298522;
2010-08-31;1.746447;
2010-09-30;2.473056;
2010-10-31;2.254435;
2010-11-30;1.707222;
2010-12-31;1.766129;
2011-01-31;1.905645;
2011-02-28;null;
2011-03-31;1.407135;
2011-04-30;1.167778;
2011-05-31;1.075158;
2011-06-30;1.237917;
2011-07-31;1.467742;
2011-08-31;1.705645;
2011-09-30;2.235139;
2011-10-31;2.003629;
2011-11-30;2.039444;
2011-12-31;1.693548;
2012-01-31;1.932393;
2012-02-29;2.119828;
2012-03-31;1.961156;
2012-04-30;1.530556;
2012-05-31;1.245701;
2012-06-30;1.20654;
2012-07-31;1.376882;
2012-08-31;1.937001;
2012-09-30;2.111389;
2012-10-31;2.746371;
2012-11-30;1.872639;
2012-12-31;1.950672;
2013-01-31;2.097177;
2013-02-28;2.156101;
2013-03-31;1.650056;
2013-04-30;1.324167;
2013-05-31;1.29328;
2013-06-30;1.083902;
2013-07-31;1.460618;
2013-08-31;2.002957;
2013-09-30;2.381944;
2013-10-31;2.378495;
2013-11-30;2.529306;
2013-12-31;1.777688;
2014-01-31;1.995296;
2014-02-28;2.092262;
2014-03-31;1.80457;
2014-04-30;1.227361;
2014-05-31;1.175807;
2014-06-30;1.153472;
2014-07-31;1.444489;
2014-08-31;1.660753;
2014-09-30;2.677024;
2014-10-31;2.628091;
2014-11-30;2.275972;
2014-12-31;2.006183;
2015-01-31;2.350538;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.284409;
2015-06-30;1.221667;
2015-07-31;1.474328;
2015-08-31;1.687769;
2015-09-30;2.514444;
2015-10-31;2.758871;
2015-11-30;2.385694;
2015-12-31;2.17029;
2016-01-31;null;
2016-02-29;null;
2016-03-31;1.806322;
2016-04-30;1.689861;
2016-05-31;1.154167;
2016-06-30;1.314167;
2016-07-31;1.514247;
2016-08-31;1.988844;
2016-09-30;2.463194;
2016-10-31;2.661694;
2016-11-30;2.244167;
2016-12-31;1.605511;
2017-01-31;2.332527;
2017-02-28;1.738988;
2017-03-31;1.663441;
2017-04-30;1.646389;
2017-05-31;1.54664;
2017-06-30;1.391528;
2017-07-31;1.336467;
2017-08-31;1.847177;
2017-09-30;2.734306;
2017-10-31;2.798387;
2017-11-30;1.82375;
2017-12-31;1.618817;
2018-01-31;1.906317;
2018-02-28;1.632589;
2018-03-31;1.284523;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;.891263;
2018-08-31;1.436156;
2018-09-30;2.016111;
2018-10-31;2.123925;
2018-11-30;1.995972;
2018-12-31;1.145027;
2019-01-31;1.788307;
2019-02-28;1.429315;
2019-03-31;1.263172;
2019-04-30;1.125139;
2019-05-31;.966398;
2019-06-30;.804445;
2019-07-31;.974059;
2019-08-31;1.383602;
2019-09-30;2.105833;
2019-10-31;2.72379;
2019-11-30;2.094251;
2019-12-31;1.986156;
2020-01-31;1.505107;
2020-02-29;1.542672;
2020-03-31;1.013978;
2020-04-30;.911111;
2020-05-31;.829436;
2020-06-30;.632337;
2020-07-31;.754435;
2020-08-31;1.059409;
2020-09-30;1.669583;
2020-10-31;1.433737;
2020-11-30;1.242298;
2020-12-31;1.577375;
2021-01-31;2.000941;
2021-02-28;1.339286;
2021-03-31;.992608;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;1.194861;
2021-12-31;1.160484;
2022-01-31;1.311828;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;.952851;
2022-06-30;1.119028;
2022-07-31;1.41707;
2022-08-31;1.878226;
2022-09-30;2.214445;
2022-10-31;2.634677;
2022-11-30;1.745139;
2022-12-31;1.772043;

