Nome: CALDAS
Codigo Estacao: A530
Latitude: -21.918066
Longitude: -46.382996
Altitude: 1077.34
Situacao: Operante
Data Inicial: 2006-11-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;1.299243;
2007-01-31;.870296;
2007-02-28;1.033185;
2007-03-31;.860104;
2007-04-30;.914523;
2007-05-31;.86794;
2007-06-30;.827494;
2007-07-31;.989443;
2007-08-31;1.088283;
2007-09-30;1.3425;
2007-10-31;1.174768;
2007-11-30;1.198801;
2007-12-31;1.080252;
2008-01-31;null;
2008-02-29;1.049853;
2008-03-31;1.086737;
2008-04-30;.774306;
2008-05-31;.811063;
2008-06-30;.759185;
2008-07-31;.92379;
2008-08-31;1.022984;
2008-09-30;1.209722;
2008-10-31;1.260753;
2008-11-30;1.345833;
2008-12-31;1.065591;
2009-01-31;1.092339;
2009-02-28;.977679;
2009-03-31;.794489;
2009-04-30;.848056;
2009-05-31;.827688;
2009-06-30;.771111;
2009-07-31;.827957;
2009-08-31;1.0625;
2009-09-30;1.013889;
2009-10-31;1.145833;
2009-11-30;.991111;
2009-12-31;1.039651;
2010-01-31;.888551;
2010-02-28;1.026488;
2010-03-31;1.001747;
2010-04-30;1.05875;
2010-05-31;.744795;
2010-06-30;.9225;
2010-07-31;1.00336;
2010-08-31;1.040726;
2010-09-30;1.141944;
2010-10-31;1.159543;
2010-11-30;1.135278;
2010-12-31;1.051613;
2011-01-31;1.020968;
2011-02-28;.957292;
2011-03-31;1.092948;
2011-04-30;.841667;
2011-05-31;.796634;
2011-06-30;.884722;
2011-07-31;.962097;
2011-08-31;1.144086;
2011-09-30;1.264861;
2011-10-31;1.441398;
2011-11-30;1.194988;
2011-12-31;1.09086;
2012-01-31;1.043081;
2012-02-29;1.033639;
2012-03-31;.974024;
2012-04-30;.841111;
2012-05-31;.851478;
2012-06-30;.735284;
2012-07-31;.880107;
2012-08-31;1.290918;
2012-09-30;1.163194;
2012-10-31;1.224328;
2012-11-30;1.248889;
2012-12-31;.967876;
2013-01-31;1.164651;
2013-02-28;.931548;
2013-03-31;.935667;
2013-04-30;.7225;
2013-05-31;.766568;
2013-06-30;.706641;
2013-07-31;.949182;
2013-08-31;1.101344;
2013-09-30;1.114306;
2013-10-31;1.160753;
2013-11-30;1.136944;
2013-12-31;.952285;
2014-01-31;1.048253;
2014-02-28;1.037202;
2014-03-31;.998656;
2014-04-30;.779028;
2014-05-31;.778226;
2014-06-30;.811805;
2014-07-31;.874597;
2014-08-31;1.004167;
2014-09-30;1.257941;
2014-10-31;1.28629;
2014-11-30;.913056;
2014-12-31;.709543;
2015-01-31;.396236;
2015-02-28;.376042;
2015-03-31;.24207;
2015-04-30;.337222;
2015-05-31;.258602;
2015-06-30;.429583;
2015-07-31;.250269;
2015-08-31;.383065;
2015-09-30;.334722;
2015-10-31;.39879;
2015-11-30;.3575;
2015-12-31;.306317;
2016-01-31;.443683;
2016-02-29;.103017;
2016-03-31;.096371;
2016-04-30;.643617;
2016-05-31;.816667;
2016-06-30;null;
2016-07-31;null;
2016-08-31;1.00615;
2016-09-30;1.050417;
2016-10-31;1.104023;
2016-11-30;1.046111;
2016-12-31;1.028495;
2017-01-31;.697177;
2017-02-28;1.050298;
2017-03-31;.871909;
2017-04-30;.884028;
2017-05-31;.690188;
2017-06-30;.813056;
2017-07-31;1.211156;
2017-08-31;.924059;
2017-09-30;1.07;
2017-10-31;.902151;
2017-11-30;.958056;
2017-12-31;.813575;
2018-01-31;.697581;
2018-02-28;.748195;
2018-03-31;.707661;
2018-04-30;.610694;
2018-05-31;.568952;
2018-06-30;.546769;
2018-07-31;.767473;
2018-08-31;.907527;
2018-09-30;.995;
2018-10-31;1.011559;
2018-11-30;1.168472;
2018-12-31;.874597;
2019-01-31;.952957;
2019-02-28;.703241;
2019-03-31;.725;
2019-04-30;.635695;
2019-05-31;.547984;
2019-06-30;.639444;
2019-07-31;.7391;
2019-08-31;.703659;
2019-09-30;.898333;
2019-10-31;.811425;
2019-11-30;.930417;
2019-12-31;.758468;
2020-01-31;.662903;
2020-02-29;.754167;
2020-03-31;.561156;
2020-04-30;.682917;
2020-05-31;.687634;
2020-06-30;.687361;
2020-07-31;.837634;
2020-08-31;.983199;
2020-09-30;.969028;
2020-10-31;1.136425;
2020-11-30;1.103611;
2020-12-31;.862097;
2021-01-31;.904167;
2021-02-28;.929464;
2021-03-31;.866935;
2021-04-30;.909861;
2021-05-31;.742473;
2021-06-30;.752917;
2021-07-31;.937258;
2021-08-31;1.090323;
2021-09-30;1.12625;
2021-10-31;1.151075;
2021-11-30;1.093611;
2021-12-31;1.025;
2022-01-31;.918145;
2022-02-28;.867411;
2022-03-31;.82957;
2022-04-30;.764583;
2022-05-31;.822984;
2022-06-30;.750476;
2022-07-31;.900807;
2022-08-31;null;
2022-09-30;1.144667;
2022-10-31;1.036828;
2022-11-30;1.203333;
2022-12-31;.99543;

