Nome: GOVERNADOR VALADARES
Codigo Estacao: A532
Latitude: -18.830354
Longitude: -41.977007
Altitude: 198.24
Situacao: Operante
Data Inicial: 2007-05-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;
2007-06-30;1.33942;
2007-07-31;1.504778;
2007-08-31;1.92479;
2007-09-30;2.156806;
2007-10-31;2.395582;
2007-11-30;2.27642;
2007-12-31;1.93172;
2008-01-31;1.750538;
2008-02-29;1.335201;
2008-03-31;1.344624;
2008-04-30;1.136111;
2008-05-31;1.157539;
2008-06-30;1.309469;
2008-07-31;1.406855;
2008-08-31;1.804435;
2008-09-30;1.936667;
2008-10-31;2.325806;
2008-11-30;1.760399;
2008-12-31;1.537634;
2009-01-31;1.493437;
2009-02-28;1.496726;
2009-03-31;1.338978;
2009-04-30;1.180139;
2009-05-31;1.184812;
2009-06-30;1.207222;
2009-07-31;1.229973;
2009-08-31;1.585887;
2009-09-30;1.809167;
2009-10-31;1.891954;
2009-11-30;1.598056;
2009-12-31;1.578763;
2010-01-31;1.795992;
2010-02-28;1.879315;
2010-03-31;1.334409;
2010-04-30;1.434861;
2010-05-31;1.246236;
2010-06-30;1.318472;
2010-07-31;1.538172;
2010-08-31;1.694318;
2010-09-30;1.984583;
2010-10-31;1.990457;
2010-11-30;1.643021;
2010-12-31;1.657235;
2011-01-31;1.702554;
2011-02-28;1.748214;
2011-03-31;1.439981;
2011-04-30;1.304028;
2011-05-31;1.232124;
2011-06-30;1.351667;
2011-07-31;1.475269;
2011-08-31;1.682796;
2011-09-30;2.028194;
2011-10-31;1.910753;
2011-11-30;1.832083;
2011-12-31;1.575538;
2012-01-31;1.585484;
2012-02-29;1.522414;
2012-03-31;1.133736;
2012-04-30;1.014028;
2012-05-31;1.126075;
2012-06-30;1.139735;
2012-07-31;1.395699;
2012-08-31;1.872965;
2012-09-30;2.051389;
2012-10-31;2.493817;
2012-11-30;1.924722;
2012-12-31;1.603629;
2013-01-31;1.930645;
2013-02-28;1.378423;
2013-03-31;1.417111;
2013-04-30;1.179028;
2013-05-31;1.108468;
2013-06-30;.95529;
2013-07-31;1.268472;
2013-08-31;1.599328;
2013-09-30;null;
2013-10-31;2.161828;
2013-11-30;2.386187;
2013-12-31;1.92149;
2014-01-31;null;
2014-02-28;2.042068;
2014-03-31;1.66035;
2014-04-30;1.215833;
2014-05-31;1.194355;
2014-06-30;1.206111;
2014-07-31;1.45;
2014-08-31;1.588021;
2014-09-30;2.320833;
2014-10-31;2.680645;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.116532;
2015-06-30;1.126111;
2015-07-31;1.259812;
2015-08-31;1.683602;
2015-09-30;2.191667;
2015-10-31;2.736694;
2015-11-30;2.387778;
2015-12-31;1.836588;
2016-01-31;1.884409;
2016-02-29;1.514368;
2016-03-31;1.442204;
2016-04-30;1.315556;
2016-05-31;.984543;
2016-06-30;1.19;
2016-07-31;1.376613;
2016-08-31;1.738587;
2016-09-30;2.095972;
2016-10-31;2.573925;
2016-11-30;2.180972;
2016-12-31;1.566129;
2017-01-31;1.624731;
2017-02-28;1.704315;
2017-03-31;1.510081;
2017-04-30;1.438527;
2017-05-31;1.458333;
2017-06-30;1.271667;
2017-07-31;1.552419;
2017-08-31;1.668683;
2017-09-30;2.755833;
2017-10-31;2.790726;
2017-11-30;1.969167;
2017-12-31;1.566398;
2018-01-31;1.598253;
2018-02-28;1.499554;
2018-03-31;1.214785;
2018-04-30;1.052652;
2018-05-31;1.016936;
2018-06-30;1.019444;
2018-07-31;1.128764;
2018-08-31;1.510349;
2018-09-30;2.095;
2018-10-31;2.378495;
2018-11-30;1.875833;
2018-12-31;1.480645;
2019-01-31;1.586559;
2019-02-28;1.415179;
2019-03-31;1.36922;
2019-04-30;1.197778;
2019-05-31;1.194489;
2019-06-30;1.332222;
2019-07-31;1.417339;
2019-08-31;1.912231;
2019-09-30;2.249028;
2019-10-31;2.439919;
2019-11-30;2.078333;
2019-12-31;1.755645;
2020-01-31;1.712649;
2020-02-29;1.411063;
2020-03-31;1.167608;
2020-04-30;1.168611;
2020-05-31;1.097446;
2020-06-30;1.017778;
2020-07-31;1.210618;
2020-08-31;1.490797;
2020-09-30;null;
2020-10-31;null;
2020-11-30;1.569306;
2020-12-31;1.716148;
2021-01-31;2.000785;
2021-02-28;1.850149;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;1.350853;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;1.769005;
2022-02-28;null;
2022-03-31;1.636694;
2022-04-30;null;
2022-05-31;null;
2022-06-30;1.172083;
2022-07-31;1.399866;
2022-08-31;1.866129;
2022-09-30;2.0325;
2022-10-31;2.184409;
2022-11-30;1.794028;
2022-12-31;1.569758;

