Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2007-06-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;1.523661;
2007-07-31;1.69235;
2007-08-31;2.269863;
2007-09-30;2.675006;
2007-10-31;2.759426;
2007-11-30;2.278226;
2007-12-31;2.03494;
2008-01-31;1.981282;
2008-02-29;1.697213;
2008-03-31;1.718998;
2008-04-30;1.22375;
2008-05-31;1.179861;
2008-06-30;1.402083;
2008-07-31;1.490846;
2008-08-31;2.072873;
2008-09-30;2.233472;
2008-10-31;2.392473;
2008-11-30;2.129306;
2008-12-31;1.877606;
2009-01-31;1.942648;
2009-02-28;1.881282;
2009-03-31;1.522984;
2009-04-30;1.425224;
2009-05-31;1.338073;
2009-06-30;1.401819;
2009-07-31;1.534712;
2009-08-31;1.880599;
2009-09-30;1.952983;
2009-10-31;1.837156;
2009-11-30;1.778382;
2009-12-31;2.002542;
2010-01-31;1.952163;
2010-02-28;2.19003;
2010-03-31;1.779091;
2010-04-30;1.622143;
2010-05-31;1.484106;
2010-06-30;1.378701;
2010-07-31;1.831863;
2010-08-31;1.708953;
2010-09-30;2.219137;
2010-10-31;2.063038;
2010-11-30;1.801389;
2010-12-31;1.750806;
2011-01-31;1.923521;
2011-02-28;1.920536;
2011-03-31;1.565668;
2011-04-30;1.528895;
2011-05-31;1.181072;
2011-06-30;1.323883;
2011-07-31;1.502881;
2011-08-31;1.806598;
2011-09-30;2.38128;
2011-10-31;2.025806;
2011-11-30;2.163786;
2011-12-31;1.819624;
2012-01-31;1.986635;
2012-02-29;2.002299;
2012-03-31;1.631066;
2012-04-30;1.477663;
2012-05-31;1.484251;
2012-06-30;1.145694;
2012-07-31;1.463359;
2012-08-31;2.357758;
2012-09-30;2.145417;
2012-10-31;2.408345;
2012-11-30;2.047945;
2012-12-31;1.625672;
2013-01-31;1.927945;
2013-02-28;1.838988;
2013-03-31;1.885706;
2013-04-30;1.488246;
2013-05-31;1.312342;
2013-06-30;1.242288;
2013-07-31;1.466152;
2013-08-31;1.938874;
2013-09-30;2.199305;
2013-10-31;2.269478;
2013-11-30;2.510737;
2013-12-31;1.824024;
2014-01-31;1.974229;
2014-02-28;2.221726;
2014-03-31;1.784975;
2014-04-30;1.416178;
2014-05-31;1.30994;
2014-06-30;1.320676;
2014-07-31;1.602018;
2014-08-31;1.852332;
2014-09-30;2.389573;
2014-10-31;2.438809;
2014-11-30;1.941944;
2014-12-31;1.7688;
2015-01-31;1.836764;
2015-02-28;1.794196;
2015-03-31;1.489288;
2015-04-30;1.357415;
2015-05-31;1.38049;
2015-06-30;1.34244;
2015-07-31;1.357634;
2015-08-31;1.722667;
2015-09-30;1.949758;
2015-10-31;2.322043;
2015-11-30;1.932222;
2015-12-31;1.6875;
2016-01-31;1.771897;
2016-02-29;1.432615;
2016-03-31;1.447832;
2016-04-30;1.406039;
2016-05-31;1.021126;
2016-06-30;1.060405;
2016-07-31;1.281353;
2016-08-31;1.616778;
2016-09-30;1.89715;
2016-10-31;2.175836;
2016-11-30;1.837488;
2016-12-31;1.728915;
2017-01-31;1.690521;
2017-02-28;1.715877;
2017-03-31;1.240323;
2017-04-30;1.424232;
2017-05-31;1.314154;
2017-06-30;1.254602;
2017-07-31;1.897381;
2017-08-31;1.698633;
2017-09-30;2.44256;
2017-10-31;2.489271;
2017-11-30;1.9725;
2017-12-31;1.706738;
2018-01-31;1.8679;
2018-02-28;1.66666;
2018-03-31;1.328243;
2018-04-30;1.483788;
2018-05-31;1.162481;
2018-06-30;1.091432;
2018-07-31;1.130972;
2018-08-31;1.564551;
2018-09-30;1.752465;
2018-10-31;1.680804;
2018-11-30;1.8443;
2018-12-31;1.324492;
2019-01-31;1.562453;
2019-02-28;1.319494;
2019-03-31;1.234455;
2019-04-30;1.088364;
2019-05-31;.929944;
2019-06-30;null;
2019-07-31;null;
2019-08-31;1.654994;
2019-09-30;2.067331;
2019-10-31;2.242269;
2019-11-30;1.979656;
2019-12-31;1.904675;
2020-01-31;1.476515;
2020-02-29;1.425006;
2020-03-31;1.355867;
2020-04-30;1.282029;
2020-05-31;1.176559;
2020-06-30;1.09938;
2020-07-31;1.224941;
2020-08-31;1.556349;
2020-09-30;1.610327;
2020-10-31;1.67629;
2020-11-30;1.723484;
2020-12-31;1.398784;
2021-01-31;1.733807;
2021-02-28;1.470109;
2021-03-31;1.292686;
2021-04-30;1.194804;
2021-05-31;.916684;
2021-06-30;.905778;
2021-07-31;1.20259;
2021-08-31;1.652087;
2021-09-30;1.91875;
2021-10-31;2.170623;
2021-11-30;1.694837;
2021-12-31;1.747464;
2022-01-31;1.506376;
2022-02-28;1.276766;
2022-03-31;1.546143;
2022-04-30;1.310272;
2022-05-31;1.46896;
2022-06-30;.945814;
2022-07-31;1.42302;
2022-08-31;1.844173;
2022-09-30;1.935074;
2022-10-31;1.994442;
2022-11-30;1.945735;
2022-12-31;1.849163;

