Nome: FLORESTAL
Codigo Estacao: A535
Latitude: -19.88527777
Longitude: -44.41694443
Altitude: 753.5
Situacao: Operante
Data Inicial: 2008-06-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;.617742;
2008-08-31;.83414;
2008-09-30;1.15375;
2008-10-31;1.210081;
2008-11-30;.990694;
2008-12-31;.791801;
2009-01-31;.820173;
2009-02-28;.780655;
2009-03-31;.742876;
2009-04-30;.605972;
2009-05-31;.570699;
2009-06-30;.585972;
2009-07-31;.620027;
2009-08-31;.968414;
2009-09-30;.945417;
2009-10-31;1.051149;
2009-11-30;.841111;
2009-12-31;.810753;
2010-01-31;.726786;
2010-02-28;.930357;
2010-03-31;.85121;
2010-04-30;.78;
2010-05-31;.667876;
2010-06-30;.703056;
2010-07-31;.870968;
2010-08-31;1.006516;
2010-09-30;1.158333;
2010-10-31;.873656;
2010-11-30;.546111;
2010-12-31;.565054;
2011-01-31;.659543;
2011-02-28;.77753;
2011-03-31;.487549;
2011-04-30;.602283;
2011-05-31;.441398;
2011-06-30;.557083;
2011-07-31;.584005;
2011-08-31;.890077;
2011-09-30;1.082361;
2011-10-31;.956586;
2011-11-30;.773472;
2011-12-31;.604704;
2012-01-31;.703226;
2012-02-29;.733908;
2012-03-31;.716398;
2012-04-30;.574583;
2012-05-31;.510349;
2012-06-30;.415706;
2012-07-31;.563575;
2012-08-31;1.077366;
2012-09-30;1.08;
2012-10-31;1.052016;
2012-11-30;.883333;
2012-12-31;.682796;
2013-01-31;.765591;
2013-02-28;.671131;
2013-03-31;.747444;
2013-04-30;.627917;
2013-05-31;.692608;
2013-06-30;.671763;
2013-07-31;.845161;
2013-08-31;1.043817;
2013-09-30;1.075139;
2013-10-31;1.025384;
2013-11-30;.990139;
2013-12-31;.819355;
2014-01-31;.895833;
2014-02-28;1.088988;
2014-03-31;.86922;
2014-04-30;.748194;
2014-05-31;.732796;
2014-06-30;.697778;
2014-07-31;.839651;
2014-08-31;.999731;
2014-09-30;1.214167;
2014-10-31;1.296505;
2014-11-30;.972083;
2014-12-31;.958468;
2015-01-31;1.055242;
2015-02-28;.937202;
2015-03-31;.737097;
2015-04-30;.685694;
2015-05-31;.703763;
2015-06-30;.798611;
2015-07-31;.818414;
2015-08-31;1.020161;
2015-09-30;.965417;
2015-10-31;1.111559;
2015-11-30;.987639;
2015-12-31;.969489;
2016-01-31;.991398;
2016-02-29;.850862;
2016-03-31;.804301;
2016-04-30;.882222;
2016-05-31;.769489;
2016-06-30;.775972;
2016-07-31;.859677;
2016-08-31;1.034274;
2016-09-30;1.094722;
2016-10-31;1.103629;
2016-11-30;1.005278;
2016-12-31;1.047984;
2017-01-31;.975806;
2017-02-28;.904464;
2017-03-31;.852823;
2017-04-30;.830278;
2017-05-31;.627419;
2017-06-30;.706389;
2017-07-31;1.010618;
2017-08-31;1.026613;
2017-09-30;1.213394;
2017-10-31;1.118145;
2017-11-30;.896389;
2017-12-31;.779301;
2018-01-31;.783468;
2018-02-28;.591071;
2018-03-31;.55457;
2018-04-30;.643333;
2018-05-31;.521505;
2018-06-30;.4845;
2018-07-31;.563634;
2018-08-31;.698188;
2018-09-30;.814583;
2018-10-31;.771505;
2018-11-30;.661806;
2018-12-31;.654839;
2019-01-31;.670296;
2019-02-28;.573958;
2019-03-31;.520699;
2019-04-30;.512597;
2019-05-31;.43078;
2019-06-30;.492083;
2019-07-31;.656452;
2019-08-31;.829704;
2019-09-30;.83;
2019-10-31;1.037634;
2019-11-30;.9675;
2019-12-31;.643414;
2020-01-31;.664919;
2020-02-29;.590086;
2020-03-31;.52043;
2020-04-30;.564028;
2020-05-31;.574328;
2020-06-30;.497361;
2020-07-31;.671371;
2020-08-31;.834812;
2020-09-30;.717639;
2020-10-31;.843548;
2020-11-30;.945;
2020-12-31;.614382;
2021-01-31;null;
2021-02-28;.551786;
2021-03-31;.568683;
2021-04-30;.626944;
2021-05-31;null;
2021-06-30;null;
2021-07-31;.640374;
2021-08-31;.823925;
2021-09-30;.858333;
2021-10-31;.938172;
2021-11-30;.845555;
2021-12-31;.825538;
2022-01-31;.833424;
2022-02-28;.734375;
2022-03-31;.747581;
2022-04-30;.639028;
2022-05-31;.605914;
2022-06-30;.57125;
2022-07-31;.654436;
2022-08-31;.987231;
2022-09-30;1.076944;
2022-10-31;.722446;
2022-11-30;.973611;
2022-12-31;.729973;

