Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.747711
Longitude: -44.453785
Altitude: 669.48
Situacao: Operante
Data Inicial: 2006-12-17
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;
2007-01-31;1.788129;
2007-02-28;1.970198;
2007-03-31;1.828482;
2007-04-30;1.6275;
2007-05-31;1.68209;
2007-06-30;1.489305;
2007-07-31;1.713137;
2007-08-31;2.399854;
2007-09-30;2.780278;
2007-10-31;2.488137;
2007-11-30;2.31119;
2007-12-31;2.030645;
2008-01-31;1.922984;
2008-02-29;1.840747;
2008-03-31;1.633199;
2008-04-30;1.371111;
2008-05-31;1.488611;
2008-06-30;1.475019;
2008-07-31;1.612634;
2008-08-31;2.041532;
2008-09-30;2.209167;
2008-10-31;2.598387;
2008-11-30;1.979028;
2008-12-31;1.796237;
2009-01-31;1.818952;
2009-02-28;1.823363;
2009-03-31;1.695296;
2009-04-30;1.412083;
2009-05-31;1.415591;
2009-06-30;1.445417;
2009-07-31;1.559409;
2009-08-31;2.085221;
2009-09-30;2.039722;
2009-10-31;1.888506;
2009-11-30;1.767083;
2009-12-31;1.936962;
2010-01-31;1.860657;
2010-02-28;2.018601;
2010-03-31;1.674194;
2010-04-30;1.660556;
2010-05-31;1.500941;
2010-06-30;1.182;
2010-07-31;1.959543;
2010-08-31;1.773118;
2010-09-30;2.426111;
2010-10-31;2.038038;
2010-11-30;1.696111;
2010-12-31;1.673118;
2011-01-31;1.875538;
2011-02-28;1.899107;
2011-03-31;1.51729;
2011-04-30;1.686908;
2011-05-31;1.470027;
2011-06-30;1.567917;
2011-07-31;1.685753;
2011-08-31;1.928021;
2011-09-30;2.2825;
2011-10-31;2.124866;
2011-11-30;1.984483;
2011-12-31;1.715987;
2012-01-31;1.81129;
2012-02-29;1.924856;
2012-03-31;1.776823;
2012-04-30;1.565556;
2012-05-31;1.704032;
2012-06-30;1.403611;
2012-07-31;1.581586;
2012-08-31;2.468414;
2012-09-30;2.070833;
2012-10-31;2.38293;
2012-11-30;null;
2012-12-31;1.583333;
2013-01-31;1.656452;
2013-02-28;1.564583;
2013-03-31;1.612889;
2013-04-30;1.287222;
2013-05-31;1.200134;
2013-06-30;1.125581;
2013-07-31;1.44664;
2013-08-31;1.726478;
2013-09-30;2.105139;
2013-10-31;2.098387;
2013-11-30;2.217361;
2013-12-31;1.458929;
2014-01-31;1.671774;
2014-02-28;2.263988;
2014-03-31;1.760887;
2014-04-30;1.423194;
2014-05-31;1.319355;
2014-06-30;1.197917;
2014-07-31;1.553226;
2014-08-31;1.451882;
2014-09-30;2.195972;
2014-10-31;2.344355;
2014-11-30;1.778611;
2014-12-31;1.573387;
2015-01-31;1.699328;
2015-02-28;1.496726;
2015-03-31;1.334409;
2015-04-30;1.112639;
2015-05-31;1.368145;
2015-06-30;1.544583;
2015-07-31;1.40457;
2015-08-31;1.792608;
2015-09-30;1.702639;
2015-10-31;2.016936;
2015-11-30;1.603641;
2015-12-31;1.617742;
2016-01-31;1.552554;
2016-02-29;1.17931;
2016-03-31;1.237634;
2016-04-30;1.355417;
2016-05-31;1.047984;
2016-06-30;1.279444;
2016-07-31;1.285081;
2016-08-31;1.62105;
2016-09-30;1.803611;
2016-10-31;2.186828;
2016-11-30;1.690556;
2016-12-31;1.599866;
2017-01-31;1.681183;
2017-02-28;1.876935;
2017-03-31;1.276882;
2017-04-30;1.478333;
2017-05-31;1.148925;
2017-06-30;1.418889;
2017-07-31;2.088038;
2017-08-31;null;
2017-09-30;null;
2017-10-31;2.318364;
2017-11-30;1.831944;
2017-12-31;1.283468;
2018-01-31;1.316801;
2018-02-28;1.300893;
2018-03-31;1.152957;
2018-04-30;1.254444;
2018-05-31;1.051478;
2018-06-30;.947361;
2018-07-31;1.004436;
2018-08-31;1.45215;
2018-09-30;1.639306;
2018-10-31;1.774731;
2018-11-30;1.607222;
2018-12-31;1.247715;
2019-01-31;1.475497;
2019-02-28;null;
2019-03-31;1.338979;
2019-04-30;1.162917;
2019-05-31;1.198118;
2019-06-30;1.509167;
2019-07-31;1.596909;
2019-08-31;1.972581;
2019-09-30;1.990972;
2019-10-31;2.395968;
2019-11-30;2.040833;
2019-12-31;1.879167;
2020-01-31;1.600806;
2020-02-29;1.428879;
2020-03-31;1.450269;
2020-04-30;1.32875;
2020-05-31;1.116935;
2020-06-30;1.188056;
2020-07-31;1.447715;
2020-08-31;1.882527;
2020-09-30;1.949722;
2020-10-31;2.015188;
2020-11-30;1.920694;
2020-12-31;1.475134;
2021-01-31;1.780108;
2021-02-28;1.484375;
2021-03-31;1.392608;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.549328;
2022-01-31;1.530376;
2022-02-28;1.211937;
2022-03-31;1.345565;
2022-04-30;1.285278;
2022-05-31;.930645;
2022-06-30;1.011528;
2022-07-31;1.320833;
2022-08-31;1.786962;
2022-09-30;2.061528;
2022-10-31;1.892608;
2022-11-30;1.351806;
2022-12-31;1.511962;

