Nome: MOCAMBINHO
Codigo Estacao: A539
Latitude: -15.08583333
Longitude: -44.01611111
Altitude: 454
Situacao: Operante
Data Inicial: 2007-11-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;1.284005;
2008-01-31;1.242876;
2008-02-29;1.190086;
2008-03-31;1.008602;
2008-04-30;.831528;
2008-05-31;1.215235;
2008-06-30;1.157778;
2008-07-31;1.304167;
2008-08-31;1.318145;
2008-09-30;1.317083;
2008-10-31;1.593145;
2008-11-30;1.275755;
2008-12-31;1.069624;
2009-01-31;1.053652;
2009-02-28;.965923;
2009-03-31;1.177823;
2009-04-30;1.015833;
2009-05-31;.999328;
2009-06-30;1.126945;
2009-07-31;1.130242;
2009-08-31;1.478226;
2009-09-30;1.258436;
2009-10-31;1.299856;
2009-11-30;.920417;
2009-12-31;1.099866;
2010-01-31;.864174;
2010-02-28;1.230506;
2010-03-31;.810753;
2010-04-30;1.024722;
2010-05-31;1.035215;
2010-06-30;1.361194;
2010-07-31;1.502688;
2010-08-31;1.32163;
2010-09-30;1.527083;
2010-10-31;1.319893;
2010-11-30;1.155139;
2010-12-31;.898522;
2011-01-31;.857393;
2011-02-28;.927679;
2011-03-31;.724333;
2011-04-30;.595417;
2011-05-31;.564382;
2011-06-30;.783333;
2011-07-31;.991263;
2011-08-31;1.179167;
2011-09-30;1.361667;
2011-10-31;1.247972;
2011-11-30;1.287222;
2011-12-31;1.13414;
2012-01-31;1.184946;
2012-02-29;1.219109;
2012-03-31;1.297043;
2012-04-30;1.094722;
2012-05-31;1.335618;
2012-06-30;1.028194;
2012-07-31;1.148253;
2012-08-31;1.679512;
2012-09-30;1.531389;
2012-10-31;1.393548;
2012-11-30;1.1206;
2012-12-31;1.045699;
2013-01-31;1.258737;
2013-02-28;.909524;
2013-03-31;1.008056;
2013-04-30;.902361;
2013-05-31;null;
2013-06-30;null;
2013-07-31;1.072619;
2013-08-31;1.277554;
2013-09-30;1.395417;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;.911828;
2014-02-28;.969792;
2014-03-31;.908065;
2014-04-30;.705139;
2014-05-31;null;
2014-06-30;null;
2014-07-31;1.37621;
2014-08-31;1.299462;
2014-09-30;1.555139;
2014-10-31;1.672177;
2014-11-30;1.225;
2014-12-31;.946909;
2015-01-31;null;
2015-02-28;1.221014;
2015-03-31;1.097043;
2015-04-30;1.054861;
2015-05-31;1.103091;
2015-06-30;1.265972;
2015-07-31;1.189516;
2015-08-31;1.361828;
2015-09-30;1.311667;
2015-10-31;1.202823;
2015-11-30;1.323889;
2015-12-31;1.371102;
2016-01-31;1.310081;
2016-02-29;.844828;
2016-03-31;.743952;
2016-04-30;.700556;
2016-05-31;.789113;
2016-06-30;1.019444;
2016-07-31;1.015726;
2016-08-31;1.16828;
2016-09-30;1.173611;
2016-10-31;1.511425;
2016-11-30;1.237361;
2016-12-31;1.196102;
2017-01-31;1.076075;
2017-02-28;1.096429;
2017-03-31;.96828;
2017-04-30;.925;
2017-05-31;.971909;
2017-06-30;1.125139;
2017-07-31;1.593414;
2017-08-31;1.173118;
2017-09-30;1.649583;
2017-10-31;1.687903;
2017-11-30;1.036225;
2017-12-31;.886828;
2018-01-31;1.002957;
2018-02-28;.895932;
2018-03-31;.813013;
2018-04-30;1.046528;
2018-05-31;1.149059;
2018-06-30;.911045;
2018-07-31;1.030451;
2018-08-31;1.006884;
2018-09-30;1.1625;
2018-10-31;1.160054;
2018-11-30;.86529;
2018-12-31;.873522;
2019-01-31;1.15578;
2019-02-28;1.05744;
2019-03-31;1.042608;
2019-04-30;.732222;
2019-05-31;.767876;
2019-06-30;1.088194;
2019-07-31;1.266631;
2019-08-31;1.424217;
2019-09-30;1.447971;
2019-10-31;1.278495;
2019-11-30;.99875;
2019-12-31;1.077823;
2020-01-31;.990054;
2020-02-29;.577012;
2020-03-31;.714715;
2020-04-30;.692917;
2020-05-31;.685349;
2020-06-30;.695278;
2020-07-31;.789113;
2020-08-31;1.109005;
2020-09-30;1.060556;
2020-10-31;.99543;
2020-11-30;.839444;
2020-12-31;.740995;
2021-01-31;.799866;
2021-02-28;.8875;
2021-03-31;.797312;
2021-04-30;.824444;
2021-05-31;.764247;
2021-06-30;.87625;
2021-07-31;.983871;
2021-08-31;1.197849;
2021-09-30;1.16375;
2021-10-31;1.03293;
2021-11-30;.92553;
2021-12-31;.886156;
2022-01-31;.764785;
2022-02-28;.575;
2022-03-31;.606989;
2022-04-30;.720556;
2022-05-31;.826479;
2022-06-30;.750833;
2022-07-31;.957796;
2022-08-31;1.102151;
2022-09-30;1.138333;
2022-10-31;1.392876;
2022-11-30;.97;
2022-12-31;.880645;

