Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;
2007-09-30;3.152778;
2007-10-31;2.932655;
2007-11-30;2.681204;
2007-12-31;2.240188;
2008-01-31;2.241398;
2008-02-29;1.902443;
2008-03-31;1.933737;
2008-04-30;1.37375;
2008-05-31;1.498539;
2008-06-30;1.938829;
2008-07-31;1.783065;
2008-08-31;2.599597;
2008-09-30;2.651667;
2008-10-31;2.995173;
2008-11-30;2.054432;
2008-12-31;2.055914;
2009-01-31;2.050958;
2009-02-28;1.967113;
2009-03-31;1.694624;
2009-04-30;1.728611;
2009-05-31;1.59664;
2009-06-30;1.660139;
2009-07-31;1.793952;
2009-08-31;2.603763;
2009-09-30;2.22875;
2009-10-31;2.037069;
2009-11-30;1.719861;
2009-12-31;2.060753;
2010-01-31;2.173399;
2010-02-28;2.25997;
2010-03-31;1.770027;
2010-04-30;1.780833;
2010-05-31;1.109543;
2010-06-30;1.541945;
2010-07-31;2.378871;
2010-08-31;2.146298;
2010-09-30;2.726944;
2010-10-31;2.420699;
2010-11-30;2.070972;
2010-12-31;2.030376;
2011-01-31;2.245833;
2011-02-28;2.174851;
2011-03-31;2.061459;
2011-04-30;2.0225;
2011-05-31;1.715054;
2011-06-30;1.72;
2011-07-31;1.841129;
2011-08-31;2.001613;
2011-09-30;2.565556;
2011-10-31;2.398925;
2011-11-30;2.610417;
2011-12-31;1.880242;
2012-01-31;2.202957;
2012-02-29;2.435776;
2012-03-31;2.123253;
2012-04-30;2.013611;
2012-05-31;2.02621;
2012-06-30;1.525833;
2012-07-31;1.873656;
2012-08-31;2.759831;
2012-09-30;2.742083;
2012-10-31;2.818011;
2012-11-30;2.151806;
2012-12-31;1.852016;
2013-01-31;2.200538;
2013-02-28;2.271429;
2013-03-31;2.009945;
2013-04-30;1.982778;
2013-05-31;1.85914;
2013-06-30;1.783927;
2013-07-31;2.01828;
2013-08-31;2.381586;
2013-09-30;2.826667;
2013-10-31;2.725134;
2013-11-30;2.75375;
2013-12-31;1.993548;
2014-01-31;2.257393;
2014-02-28;2.622173;
2014-03-31;2.167607;
2014-04-30;1.707778;
2014-05-31;1.923118;
2014-06-30;1.807222;
2014-07-31;2.258064;
2014-08-31;2.048925;
2014-09-30;2.673889;
2014-10-31;2.61707;
2014-11-30;2.276528;
2014-12-31;2.049731;
2015-01-31;2.117485;
2015-02-28;2.164583;
2015-03-31;1.850403;
2015-04-30;1.867361;
2015-05-31;1.961559;
2015-06-30;2.17;
2015-07-31;2.094355;
2015-08-31;2.475538;
2015-09-30;2.430139;
2015-10-31;2.570833;
2015-11-30;2.098889;
2015-12-31;1.931183;
2016-01-31;2.058737;
2016-02-29;1.496121;
2016-03-31;1.975403;
2016-04-30;2.054306;
2016-05-31;1.48629;
2016-06-30;1.504464;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;2.716433;
2016-11-30;2.681111;
2016-12-31;2.228898;
2017-01-31;2.218817;
2017-02-28;2.151488;
2017-03-31;1.805914;
2017-04-30;1.815833;
2017-05-31;1.849328;
2017-06-30;1.878889;
2017-07-31;2.503898;
2017-08-31;1.995296;
2017-09-30;3.222083;
2017-10-31;2.759946;
2017-11-30;2.333472;
2017-12-31;2.11707;
2018-01-31;1.888575;
2018-02-28;1.898958;
2018-03-31;1.573253;
2018-04-30;1.990556;
2018-05-31;1.670699;
2018-06-30;1.429583;
2018-07-31;1.576478;
2018-08-31;1.941936;
2018-09-30;2.129583;
2018-10-31;2.108065;
2018-11-30;2.087361;
2018-12-31;1.7125;
2019-01-31;1.951613;
2019-02-28;1.500595;
2019-03-31;1.602823;
2019-04-30;1.449167;
2019-05-31;1.319086;
2019-06-30;1.555278;
2019-07-31;1.792473;
2019-08-31;2.135484;
2019-09-30;2.2725;
2019-10-31;2.451479;
2019-11-30;2.126389;
2019-12-31;2.045296;
2020-01-31;2.068011;
2020-02-29;1.525144;
2020-03-31;1.689919;
2020-04-30;1.537083;
2020-05-31;1.413441;
2020-06-30;1.285;
2020-07-31;1.461022;
2020-08-31;1.8625;
2020-09-30;2.006667;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;1.801479;
2021-02-28;1.711905;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;1.162083;
2021-07-31;1.506855;
2021-08-31;1.923925;
2021-09-30;1.878472;
2021-10-31;2.140995;
2021-11-30;1.785;
2021-12-31;1.708611;
2022-01-31;1.754891;
2022-02-28;1.268429;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;1.073689;
2022-07-31;1.7178;
2022-08-31;1.81924;
2022-09-30;2.051399;
2022-10-31;1.852823;
2022-11-30;1.673056;
2022-12-31;1.815317;

