Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2007-06-15
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;
2007-07-31;2.023021;
2007-08-31;2.518881;
2007-09-30;2.626944;
2007-10-31;2.301181;
2007-11-30;2.126605;
2007-12-31;1.801344;
2008-01-31;1.842876;
2008-02-29;1.660488;
2008-03-31;1.573387;
2008-04-30;1.360833;
2008-05-31;1.567327;
2008-06-30;1.655646;
2008-07-31;1.943011;
2008-08-31;1.981317;
2008-09-30;2.060695;
2008-10-31;2.385618;
2008-11-30;1.969438;
2008-12-31;1.690591;
2009-01-31;1.511799;
2009-02-28;1.618304;
2009-03-31;1.527016;
2009-04-30;1.528333;
2009-05-31;1.584409;
2009-06-30;1.5075;
2009-07-31;1.641129;
2009-08-31;2.125538;
2009-09-30;1.984028;
2009-10-31;1.826955;
2009-11-30;1.681806;
2009-12-31;1.734409;
2010-01-31;1.380572;
2010-02-28;1.502232;
2010-03-31;1.541129;
2010-04-30;1.317917;
2010-05-31;1.192876;
2010-06-30;1.370556;
2010-07-31;1.808871;
2010-08-31;1.764022;
2010-09-30;1.962083;
2010-10-31;1.786425;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;1.584226;
2011-03-31;1.359257;
2011-04-30;1.542778;
2011-05-31;1.472312;
2011-06-30;1.570694;
2011-07-31;1.727554;
2011-08-31;1.967473;
2011-09-30;2.225972;
2011-10-31;2.034274;
2011-11-30;1.735;
2011-12-31;1.473925;
2012-01-31;1.506317;
2012-02-29;1.60977;
2012-03-31;1.639247;
2012-04-30;1.515139;
2012-05-31;1.698522;
2012-06-30;1.589167;
2012-07-31;1.721102;
2012-08-31;2.615265;
2012-09-30;2.323056;
2012-10-31;2.284005;
2012-11-30;1.881667;
2012-12-31;1.719909;
2013-01-31;null;
2013-02-28;null;
2013-03-31;1.532111;
2013-04-30;1.436944;
2013-05-31;1.506317;
2013-06-30;1.489154;
2013-07-31;1.80793;
2013-08-31;2.081183;
2013-09-30;2.26375;
2013-10-31;1.84879;
2013-11-30;1.648194;
2013-12-31;1.586962;
2014-01-31;1.525672;
2014-02-28;1.630952;
2014-03-31;1.430242;
2014-04-30;1.324306;
2014-05-31;1.425269;
2014-06-30;1.56;
2014-07-31;1.776479;
2014-08-31;1.895903;
2014-09-30;2.2225;
2014-10-31;2.214382;
2014-11-30;1.671111;
2014-12-31;1.554301;
2015-01-31;1.672867;
2015-02-28;1.717113;
2015-03-31;1.384812;
2015-04-30;1.253472;
2015-05-31;1.415726;
2015-06-30;null;
2015-07-31;1.58871;
2015-08-31;1.823253;
2015-09-30;1.871944;
2015-10-31;1.971909;
2015-11-30;1.894722;
2015-12-31;1.694086;
2016-01-31;1.579435;
2016-02-29;1.521983;
2016-03-31;1.349059;
2016-04-30;1.485833;
2016-05-31;1.466801;
2016-06-30;1.641944;
2016-07-31;1.785349;
2016-08-31;1.879167;
2016-09-30;2.135278;
2016-10-31;2.111378;
2016-11-30;1.921389;
2016-12-31;1.753226;
2017-01-31;1.627419;
2017-02-28;1.537054;
2017-03-31;1.385215;
2017-04-30;1.530139;
2017-05-31;1.490995;
2017-06-30;1.861667;
2017-07-31;2.308065;
2017-08-31;1.844086;
2017-09-30;2.35875;
2017-10-31;2.266801;
2017-11-30;1.652361;
2017-12-31;1.462903;
2018-01-31;1.428495;
2018-02-28;1.483482;
2018-03-31;1.365327;
2018-04-30;1.584444;
2018-05-31;1.580914;
2018-06-30;1.45869;
2018-07-31;1.429839;
2018-08-31;1.682258;
2018-09-30;1.783788;
2018-10-31;1.73968;
2018-11-30;1.196553;
2018-12-31;1.371441;
2019-01-31;1.284274;
2019-02-28;1.257738;
2019-03-31;1.202554;
2019-04-30;.908889;
2019-05-31;.998656;
2019-06-30;1.429583;
2019-07-31;1.419624;
2019-08-31;.714304;
2019-09-30;.583333;
2019-10-31;.984274;
2019-11-30;1.590417;
2019-12-31;1.438406;
2020-01-31;1.40793;
2020-02-29;1.168822;
2020-03-31;1.202151;
2020-04-30;1.100695;
2020-05-31;1.048387;
2020-06-30;1.160833;
2020-07-31;1.454704;
2020-08-31;1.882527;
2020-09-30;1.701806;
2020-10-31;1.631855;
2020-11-30;1.297917;
2020-12-31;1.090939;
2021-01-31;1.190011;
2021-02-28;1.216061;
2021-03-31;1.116093;
2021-04-30;1.078611;
2021-05-31;.997043;
2021-06-30;1.035278;
2021-07-31;1.516532;
2021-08-31;1.856586;
2021-09-30;1.501315;
2021-10-31;1.691494;
2021-11-30;1.282327;
2021-12-31;1.142309;
2022-01-31;1.259793;
2022-02-28;1.150694;
2022-03-31;1.0934;
2022-04-30;1.210048;
2022-05-31;1.269489;
2022-06-30;1.198358;
2022-07-31;1.457126;
2022-08-31;1.731685;
2022-09-30;1.697069;
2022-10-31;1.798963;
2022-11-30;1.373962;
2022-12-31;1.141667;

