Nome: PIRAPORA
Codigo Estacao: A545
Latitude: -17.258064
Longitude: -44.835556
Altitude: 505.32
Situacao: Operante
Data Inicial: 2007-07-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;1.663457;
2007-08-31;2.816912;
2007-09-30;3.076117;
2007-10-31;2.421768;
2007-11-30;2.232994;
2007-12-31;1.626613;
2008-01-31;1.513575;
2008-02-29;1.271983;
2008-03-31;1.270027;
2008-04-30;.9125;
2008-05-31;1.159642;
2008-06-30;1.443974;
2008-07-31;1.506183;
2008-08-31;2.020027;
2008-09-30;2.074583;
2008-10-31;2.579032;
2008-11-30;1.933249;
2008-12-31;1.670968;
2009-01-31;1.545296;
2009-02-28;1.626488;
2009-03-31;1.326747;
2009-04-30;1.317917;
2009-05-31;1.16371;
2009-06-30;1.222361;
2009-07-31;1.327957;
2009-08-31;1.866398;
2009-09-30;1.426667;
2009-10-31;1.267098;
2009-11-30;1.065278;
2009-12-31;1.376882;
2010-01-31;1.151026;
2010-02-28;1.386458;
2010-03-31;1.07379;
2010-04-30;.861667;
2010-05-31;.838979;
2010-06-30;1.1065;
2010-07-31;1.535081;
2010-08-31;1.47997;
2010-09-30;2.079321;
2010-10-31;null;
2010-11-30;1.105139;
2010-12-31;1.131989;
2011-01-31;1.217876;
2011-02-28;1.167559;
2011-03-31;.902784;
2011-04-30;.956806;
2011-05-31;.819624;
2011-06-30;.960278;
2011-07-31;1.040054;
2011-08-31;1.349059;
2011-09-30;1.5825;
2011-10-31;1.247715;
2011-11-30;1.315024;
2011-12-31;.960349;
2012-01-31;1.114954;
2012-02-29;1.231638;
2012-03-31;1.003055;
2012-04-30;.869326;
2012-05-31;.989167;
2012-06-30;.872778;
2012-07-31;1.163961;
2012-08-31;1.97115;
2012-09-30;1.564649;
2012-10-31;1.549129;
2012-11-30;1.181274;
2012-12-31;1.021622;
2013-01-31;1.017514;
2013-02-28;1.00253;
2013-03-31;.893708;
2013-04-30;.782361;
2013-05-31;.803401;
2013-06-30;.835876;
2013-07-31;1.097096;
2013-08-31;1.43871;
2013-09-30;1.66667;
2013-10-31;1.473344;
2013-11-30;1.421777;
2013-12-31;1.143333;
2014-01-31;1.133194;
2014-02-28;1.273651;
2014-03-31;1.057527;
2014-04-30;.815737;
2014-05-31;.867106;
2014-06-30;.970705;
2014-07-31;1.310868;
2014-08-31;1.241742;
2014-09-30;1.816623;
2014-10-31;1.486676;
2014-11-30;1.246604;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;1.056697;
2015-04-30;.822446;
2015-05-31;.965432;
2015-06-30;1.1307;
2015-07-31;1.198182;
2015-08-31;1.473246;
2015-09-30;null;
2015-10-31;1.695333;
2015-11-30;1.27;
2015-12-31;1.148522;
2016-01-31;1.264785;
2016-02-29;.876581;
2016-03-31;.922849;
2016-04-30;.991806;
2016-05-31;.833602;
2016-06-30;.941111;
2016-07-31;1.069892;
2016-08-31;1.429435;
2016-09-30;1.519806;
2016-10-31;1.728457;
2016-11-30;1.536874;
2016-12-31;1.455289;
2017-01-31;1.289626;
2017-02-28;null;
2017-03-31;null;
2017-04-30;1.245163;
2017-05-31;1.160655;
2017-06-30;1.255806;
2017-07-31;1.77164;
2017-08-31;1.618898;
2017-09-30;2.080159;
2017-10-31;1.798671;
2017-11-30;1.486212;
2017-12-31;1.297734;
2018-01-31;1.204079;
2018-02-28;1.286685;
2018-03-31;1.182405;
2018-04-30;1.149106;
2018-05-31;1.201654;
2018-06-30;1.11596;
2018-07-31;1.201075;
2018-08-31;1.207796;
2018-09-30;1.313708;
2018-10-31;1.203162;
2018-11-30;.594392;
2018-12-31;.610098;
2019-01-31;.790726;
2019-02-28;1.016867;
2019-03-31;1.008813;
2019-04-30;.893269;
2019-05-31;.858871;
2019-06-30;1.132917;
2019-07-31;null;
2019-08-31;1.660972;
2019-09-30;1.781945;
2019-10-31;1.9206;
2019-11-30;1.455352;
2019-12-31;1.525205;
2020-01-31;1.560712;
2020-02-29;1.268378;
2020-03-31;1.398926;
2020-04-30;1.314722;
2020-05-31;1.153629;
2020-06-30;1.248056;
2020-07-31;1.518952;
2020-08-31;1.853495;
2020-09-30;1.914583;
2020-10-31;1.673925;
2020-11-30;1.567292;
2020-12-31;1.3;
2021-01-31;1.461425;
2021-02-28;1.453125;
2021-03-31;1.306989;
2021-04-30;1.274028;
2021-05-31;1.143548;
2021-06-30;1.264861;
2021-07-31;1.397715;
2021-08-31;1.926479;
2021-09-30;1.651724;
2021-10-31;1.80914;
2021-11-30;1.476449;
2021-12-31;1.446813;
2022-01-31;1.480707;
2022-02-28;1.296081;
2022-03-31;1.349183;
2022-04-30;1.369583;
2022-05-31;1.338172;
2022-06-30;1.22075;
2022-07-31;1.528013;
2022-08-31;1.836881;
2022-09-30;1.767695;
2022-10-31;1.847175;
2022-11-30;1.499894;
2022-12-31;1.534961;

