Nome: GUARDA-MOR
Codigo Estacao: A546
Latitude: -17.56138888
Longitude: -47.19916666
Altitude: 997.01
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;4.135636;
2007-09-30;4.063382;
2007-10-31;3.612027;
2007-11-30;3.064753;
2007-12-31;3.102957;
2008-01-31;2.785753;
2008-02-29;2.396264;
2008-03-31;2.533333;
2008-04-30;2.37625;
2008-05-31;2.599182;
2008-06-30;3.010362;
2008-07-31;3.23293;
2008-08-31;3.484946;
2008-09-30;3.488333;
2008-10-31;3.742339;
2008-11-30;3.16311;
2008-12-31;2.993952;
2009-01-31;2.550941;
2009-02-28;2.519643;
2009-03-31;2.520296;
2009-04-30;2.560694;
2009-05-31;2.895565;
2009-06-30;2.813333;
2009-07-31;2.945833;
2009-08-31;3.443548;
2009-09-30;2.854306;
2009-10-31;2.316935;
2009-11-30;2.303889;
2009-12-31;2.502151;
2010-01-31;2.131146;
2010-02-28;2.506994;
2010-03-31;2.222446;
2010-04-30;2.6425;
2010-05-31;2.385215;
2010-06-30;2.74375;
2010-07-31;3.455645;
2010-08-31;3.277766;
2010-09-30;3.695417;
2010-10-31;2.725538;
2010-11-30;2.553611;
2010-12-31;2.348521;
2011-01-31;2.543145;
2011-02-28;2.093155;
2011-03-31;2.113024;
2011-04-30;2.528611;
2011-05-31;2.271909;
2011-06-30;2.784861;
2011-07-31;3.166532;
2011-08-31;3.252016;
2011-09-30;3.629167;
2011-10-31;3.047581;
2011-11-30;3.183889;
2011-12-31;2.466667;
2012-01-31;2.405242;
2012-02-29;2.516523;
2012-03-31;2.266129;
2012-04-30;2.275;
2012-05-31;2.568145;
2012-06-30;2.393472;
2012-07-31;2.940995;
2012-08-31;3.676037;
2012-09-30;3.135972;
2012-10-31;2.929435;
2012-11-30;2.254444;
2012-12-31;1.870565;
2013-01-31;1.832392;
2013-02-28;2.050298;
2013-03-31;1.960194;
2013-04-30;2.151944;
2013-05-31;2.195161;
2013-06-30;2.211263;
2013-07-31;2.384946;
2013-08-31;2.82957;
2013-09-30;2.993333;
2013-10-31;2.39422;
2013-11-30;2.248611;
2013-12-31;1.568952;
2014-01-31;1.874328;
2014-02-28;2.103423;
2014-03-31;1.956855;
2014-04-30;1.586389;
2014-05-31;1.772177;
2014-06-30;1.84125;
2014-07-31;2.253763;
2014-08-31;2.260968;
2014-09-30;2.598333;
2014-10-31;2.626344;
2014-11-30;1.713889;
2014-12-31;1.721909;
2015-01-31;1.528015;
2015-02-28;1.639732;
2015-03-31;1.472177;
2015-04-30;1.535972;
2015-05-31;1.866667;
2015-06-30;2.084028;
2015-07-31;2.009946;
2015-08-31;2.233199;
2015-09-30;null;
2015-10-31;2.282697;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;1.92836;
2016-08-31;2.103629;
2016-09-30;2.035694;
2016-10-31;2.162745;
2016-11-30;1.705139;
2016-12-31;1.785484;
2017-01-31;1.213038;
2017-02-28;1.418452;
2017-03-31;1.345968;
2017-04-30;1.516389;
2017-05-31;1.314785;
2017-06-30;1.432778;
2017-07-31;1.896505;
2017-08-31;1.777419;
2017-09-30;2.189167;
2017-10-31;2.067204;
2017-11-30;1.56375;
2017-12-31;1.285887;
2018-01-31;1.042339;
2018-02-28;1.034375;
2018-03-31;1.068075;
2018-04-30;1.041984;
2018-05-31;.913441;
2018-06-30;.92592;
2018-07-31;null;
2018-08-31;null;
2018-09-30;1.497222;
2018-10-31;1.329973;
2018-11-30;1.21625;
2018-12-31;1.208333;
2019-01-31;1.122849;
2019-02-28;1.00253;
2019-03-31;.83293;
2019-04-30;.675972;
2019-05-31;.685349;
2019-06-30;1.092222;
2019-07-31;1.304839;
2019-08-31;1.614785;
2019-09-30;1.684028;
2019-10-31;1.634005;
2019-11-30;1.244306;
2019-12-31;.957726;
2020-01-31;.942876;
2020-02-29;.903879;
2020-03-31;1.039785;
2020-04-30;.731667;
2020-05-31;.674597;
2020-06-30;.864583;
2020-07-31;1.139247;
2020-08-31;1.373118;
2020-09-30;1.263611;
2020-10-31;1.133871;
2020-11-30;.817778;
2020-12-31;.559274;
2021-01-31;.809005;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;1.237319;
2022-08-31;1.438038;
2022-09-30;1.394167;
2022-10-31;.638628;
2022-11-30;.532917;
2022-12-31;.592876;

