Nome: IBIRITE (ROLA MOCA)
Codigo Estacao: A555
Latitude: -20.031457
Longitude: -44.011249
Altitude: 1198.82
Situacao: Operante
Data Inicial: 2008-06-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;3.647743;
2008-07-31;3.763172;
2008-08-31;4.350672;
2008-09-30;4.983056;
2008-10-31;5.247446;
2008-11-30;4.31913;
2008-12-31;3.371585;
2009-01-31;3.584056;
2009-02-28;3.722619;
2009-03-31;3.552151;
2009-04-30;3.934306;
2009-05-31;3.477981;
2009-06-30;3.34;
2009-07-31;3.622177;
2009-08-31;4.823656;
2009-09-30;4.269722;
2009-10-31;4.244349;
2009-11-30;3.615556;
2009-12-31;2.979704;
2010-01-31;3.862058;
2010-02-28;4.237649;
2010-03-31;3.370027;
2010-04-30;4.240278;
2010-05-31;3.7125;
2010-06-30;4.051667;
2010-07-31;4.41586;
2010-08-31;4.349022;
2010-09-30;5.117639;
2010-10-31;4.227285;
2010-11-30;3.28875;
2010-12-31;2.968817;
2011-01-31;3.67563;
2011-02-28;4.106548;
2011-03-31;3.498842;
2011-04-30;4.101667;
2011-05-31;3.806586;
2011-06-30;3.684861;
2011-07-31;3.877554;
2011-08-31;4.263575;
2011-09-30;5.285;
2011-10-31;4.74422;
2011-11-30;4.575556;
2011-12-31;3.469048;
2012-01-31;4.030914;
2012-02-29;4.119971;
2012-03-31;3.830376;
2012-04-30;3.815417;
2012-05-31;4.119355;
2012-06-30;3.269028;
2012-07-31;3.389919;
2012-08-31;4.387058;
2012-09-30;4.524861;
2012-10-31;4.346909;
2012-11-30;3.020833;
2012-12-31;2.528226;
2013-01-31;2.446774;
2013-02-28;2.646875;
2013-03-31;2.304444;
2013-04-30;2.042917;
2013-05-31;1.903226;
2013-06-30;1.51096;
2013-07-31;1.913172;
2013-08-31;2.976882;
2013-09-30;4.783135;
2013-10-31;4.513172;
2013-11-30;5.059722;
2013-12-31;3.254435;
2014-01-31;3.94207;
2014-02-28;4.675446;
2014-03-31;4.457258;
2014-04-30;3.952917;
2014-05-31;3.924731;
2014-06-30;3.88125;
2014-07-31;4.535618;
2014-08-31;4.186156;
2014-09-30;5.1575;
2014-10-31;5.311559;
2014-11-30;4.20197;
2014-12-31;3.907568;
2015-01-31;3.835016;
2015-02-28;3.611012;
2015-03-31;3.595968;
2015-04-30;4.004167;
2015-05-31;4.333736;
2015-06-30;4.43378;
2015-07-31;4.198735;
2015-08-31;4.548276;
2015-09-30;4.680417;
2015-10-31;5.152419;
2015-11-30;3.861111;
2015-12-31;3.495296;
2016-01-31;3.875941;
2016-02-29;3.518966;
2016-03-31;3.863441;
2016-04-30;3.967856;
2016-05-31;3.725877;
2016-06-30;3.701908;
2016-07-31;4.097849;
2016-08-31;4.470074;
2016-09-30;4.924722;
2016-10-31;4.877554;
2016-11-30;4.01756;
2016-12-31;3.770342;
2017-01-31;4.078629;
2017-02-28;3.887946;
2017-03-31;4.006855;
2017-04-30;4.427639;
2017-05-31;4.00952;
2017-06-30;3.959372;
2017-07-31;4.330476;
2017-08-31;4.735934;
2017-09-30;5.268062;
2017-10-31;5.117665;
2017-11-30;4.219444;
2017-12-31;3.516532;
2018-01-31;3.422312;
2018-02-28;3.358612;
2018-03-31;3.060986;
2018-04-30;4.335972;
2018-05-31;3.934975;
2018-06-30;3.366806;
2018-07-31;3.67403;
2018-08-31;4.27805;
2018-09-30;4.137917;
2018-10-31;4.148124;
2018-11-30;4.417639;
2018-12-31;3.273118;
2019-01-31;3.564919;
2019-02-28;3.074256;
2019-03-31;3.608871;
2019-04-30;3.139644;
2019-05-31;2.828869;
2019-06-30;3.852186;
2019-07-31;3.894469;
2019-08-31;4.595968;
2019-09-30;4.908611;
2019-10-31;4.806855;
2019-11-30;4.364028;
2019-12-31;3.700134;
2020-01-31;2.74879;
2020-02-29;3.164505;
2020-03-31;3.963172;
2020-04-30;3.529022;
2020-05-31;3.282958;
2020-06-30;3.362628;
2020-07-31;3.582901;
2020-08-31;4.72365;
2020-09-30;4.420036;
2020-10-31;4.324328;
2020-11-30;3.80468;
2020-12-31;3.106229;
2021-01-31;3.846505;
2021-02-28;2.92128;
2021-03-31;2.982258;
2021-04-30;3.442289;
2021-05-31;2.416147;
2021-06-30;2.418225;
2021-07-31;2.766865;
2021-08-31;3.285505;
2021-09-30;3.155211;
2021-10-31;3.575958;
2021-11-30;2.293949;
2021-12-31;2.481574;
2022-01-31;1.232527;
2022-02-28;1.010261;
2022-03-31;2.522984;
2022-04-30;2.276993;
2022-05-31;2.16462;
2022-06-30;2.014108;
2022-07-31;2.322709;
2022-08-31;3.8402;
2022-09-30;3.554471;
2022-10-31;3.187903;
2022-11-30;3.181081;
2022-12-31;2.46875;

