Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Operante
Data Inicial: 2012-10-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-10-31;null;
2012-11-30;1.469861;
2012-12-31;1.520968;
2013-01-31;1.392204;
2013-02-28;1.438393;
2013-03-31;1.251716;
2013-04-30;1.197083;
2013-05-31;1.191129;
2013-06-30;1.051185;
2013-07-31;1.250538;
2013-08-31;1.491667;
2013-09-30;1.551667;
2013-10-31;1.56707;
2013-11-30;1.426564;
2013-12-31;1.441129;
2014-01-31;1.525269;
2014-02-28;1.521429;
2014-03-31;1.340323;
2014-04-30;1.209583;
2014-05-31;1.257124;
2014-06-30;1.314306;
2014-07-31;1.310081;
2014-08-31;1.414919;
2014-09-30;1.819722;
2014-10-31;1.840323;
2014-11-30;1.655;
2014-12-31;1.526478;
2015-01-31;1.467193;
2015-02-28;1.433482;
2015-03-31;1.272581;
2015-04-30;1.218472;
2015-05-31;1.184677;
2015-06-30;1.244306;
2015-07-31;1.267204;
2015-08-31;1.500806;
2015-09-30;1.408194;
2015-10-31;1.624193;
2015-11-30;1.322639;
2015-12-31;1.529704;
2016-01-31;1.396237;
2016-02-29;1.415517;
2016-03-31;1.235887;
2016-04-30;1.264028;
2016-05-31;1.195564;
2016-06-30;1.138056;
2016-07-31;1.257796;
2016-08-31;1.534274;
2016-09-30;1.602373;
2016-10-31;1.613301;
2016-11-30;1.522361;
2016-12-31;1.465017;
2017-01-31;null;
2017-02-28;null;
2017-03-31;1.339382;
2017-04-30;1.169722;
2017-05-31;1.142742;
2017-06-30;1.17125;
2017-07-31;1.433602;
2017-08-31;1.478495;
2017-09-30;1.641806;
2017-10-31;1.744624;
2017-11-30;1.484306;
2017-12-31;1.355242;
2018-01-31;1.380376;
2018-02-28;null;
2018-03-31;1.22912;
2018-04-30;1.229167;
2018-05-31;1.183736;
2018-06-30;1.125417;
2018-07-31;1.279301;
2018-08-31;1.22164;
2018-09-30;1.501667;
2018-10-31;1.424059;
2018-11-30;1.368466;
2018-12-31;1.361694;
2019-01-31;1.48965;
2019-02-28;1.276786;
2019-03-31;1.197715;
2019-04-30;1.135278;
2019-05-31;1.081048;
2019-06-30;1.216944;
2019-07-31;1.343414;
2019-08-31;1.385618;
2019-09-30;1.482639;
2019-10-31;1.588203;
2019-11-30;1.431755;
2019-12-31;1.351075;
2020-01-31;1.220699;
2020-02-29;1.268822;
2020-03-31;1.218817;
2020-04-30;1.109722;
2020-05-31;1.162097;
2020-06-30;1.114988;
2020-07-31;1.22836;
2020-08-31;1.510704;
2020-09-30;1.515381;
2020-10-31;1.488501;
2020-11-30;1.456423;
2020-12-31;1.227221;
2021-01-31;1.450695;
2021-02-28;1.229018;
2021-03-31;1.283871;
2021-04-30;1.29277;
2021-05-31;1.09664;
2021-06-30;1.089028;
2021-07-31;1.427554;
2021-08-31;1.439113;
2021-09-30;1.586161;
2021-10-31;1.462861;
2021-11-30;1.465;
2021-12-31;1.277126;
2022-01-31;1.281232;
2022-02-28;1.173621;
2022-03-31;1.425941;
2022-04-30;1.178333;
2022-05-31;1.265726;
2022-06-30;1.102222;
2022-07-31;1.353091;
2022-08-31;1.538978;
2022-09-30;1.516389;
2022-10-31;1.56586;
2022-11-30;null;
2022-12-31;1.325;

