Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.448089
Longitude: -44.366313
Altitude: 468
Situacao: Operante
Data Inicial: 2016-06-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;1.716517;
2017-04-30;1.797639;
2017-05-31;1.842669;
2017-06-30;2.145;
2017-07-31;2.786828;
2017-08-31;2.303308;
2017-09-30;2.821901;
2017-10-31;null;
2017-11-30;null;
2017-12-31;1.534338;
2018-01-31;1.734888;
2018-02-28;1.617825;
2018-03-31;1.568981;
2018-04-30;1.5957;
2018-05-31;1.697503;
2018-06-30;1.701499;
2018-07-31;1.834274;
2018-08-31;2.008468;
2018-09-30;2.156214;
2018-10-31;2.169776;
2018-11-30;1.938852;
2018-12-31;1.689647;
2019-01-31;1.958205;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.465833;
2019-05-31;1.500422;
2019-06-30;1.975644;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;2.363114;
2019-11-30;2.2003;
2019-12-31;2.072516;
2020-01-31;1.782352;
2020-02-29;null;
2020-03-31;1.558241;
2020-04-30;1.454692;
2020-05-31;1.500538;
2020-06-30;1.653472;
2020-07-31;1.846371;
2020-08-31;2.238307;
2020-09-30;2.330833;
2020-10-31;2.247884;
2020-11-30;1.841821;
2020-12-31;1.711694;
2021-01-31;1.814286;
2021-02-28;1.752976;
2021-03-31;1.709526;
2021-04-30;1.665845;
2021-05-31;1.70819;
2021-06-30;1.872786;
2021-07-31;2.051091;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.838716;
2022-01-31;1.724603;
2022-02-28;1.523029;
2022-03-31;1.68215;
2022-04-30;1.705139;
2022-05-31;1.684105;
2022-06-30;1.689728;
2022-07-31;2.002463;
2022-08-31;2.328182;
2022-09-30;2.343283;
2022-10-31;2.409138;
2022-11-30;1.838116;
2022-12-31;1.882487;

