Nome: SAO SEBASTIAO DO PARAISO
Codigo Estacao: A561
Latitude: -20.91
Longitude: -47.11416666
Altitude: 845
Situacao: Operante
Data Inicial: 2015-08-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;
2015-09-30;1.954444;
2015-10-31;1.945564;
2015-11-30;1.744672;
2015-12-31;1.720296;
2016-01-31;1.825403;
2016-02-29;1.64454;
2016-03-31;1.616532;
2016-04-30;1.758056;
2016-05-31;1.796505;
2016-06-30;1.771389;
2016-07-31;1.915995;
2016-08-31;2.038844;
2016-09-30;2.124861;
2016-10-31;2.143408;
2016-11-30;1.784444;
2016-12-31;1.872318;
2017-01-31;1.584005;
2017-02-28;1.580655;
2017-03-31;1.631452;
2017-04-30;1.573611;
2017-05-31;1.505517;
2017-06-30;1.625;
2017-07-31;1.670296;
2017-08-31;1.904607;
2017-09-30;1.974444;
2017-10-31;null;
2017-11-30;null;
2017-12-31;1.670833;
2018-01-31;1.613844;
2018-02-28;1.554911;
2018-03-31;1.575134;
2018-04-30;1.58;
2018-05-31;1.692473;
2018-06-30;1.587778;
2018-07-31;1.760215;
2018-08-31;1.814516;
2018-09-30;1.864722;
2018-10-31;1.81922;
2018-11-30;1.878611;
2018-12-31;1.808737;
2019-01-31;1.62043;
2019-02-28;1.568304;
2019-03-31;1.472581;
2019-04-30;1.543587;
2019-05-31;1.605645;
2019-06-30;1.662917;
2019-07-31;1.902957;
2019-08-31;1.879436;
2019-09-30;1.920278;
2019-10-31;1.863441;
2019-11-30;1.7475;
2019-12-31;1.59761;
2020-01-31;1.590277;
2020-02-29;1.638218;
2020-03-31;1.602957;
2020-04-30;1.581389;
2020-05-31;1.668548;
2020-06-30;1.698889;
2020-07-31;1.910215;
2020-08-31;1.990457;
2020-09-30;2.012778;
2020-10-31;2.069489;
2020-11-30;1.935972;
2020-12-31;1.592789;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.745057;
2022-01-31;1.556012;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;1.945833;
2022-08-31;2.169758;
2022-09-30;2.174028;
2022-10-31;1.958199;
2022-11-30;1.876806;
2022-12-31;1.72957;

