Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;null;
2017-06-30;1.632722;
2017-07-31;2.053226;
2017-08-31;1.95529;
2017-09-30;2.148222;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;1.720833;
2018-03-31;1.512085;
2018-04-30;1.338007;
2018-05-31;1.285156;
2018-06-30;1.445468;
2018-07-31;1.602688;
2018-08-31;1.786021;
2018-09-30;2.049257;
2018-10-31;1.848609;
2018-11-30;1.887475;
2018-12-31;1.845465;
2019-01-31;1.26797;
2019-02-28;1.695225;
2019-03-31;1.319331;
2019-04-30;1.297464;
2019-05-31;.779464;
2019-06-30;1.338412;
2019-07-31;1.281855;
2019-08-31;1.341936;
2019-09-30;1.580326;
2019-10-31;1.427374;
2019-11-30;1.926528;
2019-12-31;1.736331;
2020-01-31;1.757124;
2020-02-29;1.899856;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;1.450617;
2020-09-30;1.513472;
2020-10-31;1.678898;
2020-11-30;1.623333;
2020-12-31;1.582742;
2021-01-31;1.438306;
2021-02-28;1.769494;
2021-03-31;1.503091;
2021-04-30;1.326806;
2021-05-31;1.332661;
2021-06-30;1.446944;
2021-07-31;1.645968;
2021-08-31;1.934213;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;1.804704;
2022-09-30;1.960417;
2022-10-31;1.944273;
2022-11-30;1.754033;
2022-12-31;2.011343;

