Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;null;
2017-11-30;2.239444;
2017-12-31;2.010618;
2018-01-31;null;
2018-02-28;1.989137;
2018-03-31;1.746237;
2018-04-30;2.070694;
2018-05-31;2.01586;
2018-06-30;1.786389;
2018-07-31;1.862634;
2018-08-31;null;
2018-09-30;2.147222;
2018-10-31;2.19207;
2018-11-30;2.038333;
2018-12-31;2.003302;
2019-01-31;1.872043;
2019-02-28;1.920387;
2019-03-31;2.03414;
2019-04-30;1.762361;
2019-05-31;1.712634;
2019-06-30;2.035278;
2019-07-31;2.161425;
2019-08-31;2.483468;
2019-09-30;2.346944;
2019-10-31;2.297446;
2019-11-30;2.301667;
2019-12-31;2.061828;
2020-01-31;2.061337;
2020-02-29;1.969971;
2020-03-31;2.025269;
2020-04-30;2.03846;
2020-05-31;1.875134;
2020-06-30;1.877361;
2020-07-31;1.953296;
2020-08-31;2.305511;
2020-09-30;2.239535;
2020-10-31;2.455242;
2020-11-30;2.255;
2020-12-31;1.972581;
2021-01-31;1.941532;
2021-02-28;1.963542;
2021-03-31;1.730511;
2021-04-30;2.226528;
2021-05-31;1.990188;
2021-06-30;2.000972;
2021-07-31;2.289919;
2021-08-31;2.259005;
2021-09-30;2.419306;
2021-10-31;2.412903;
2021-11-30;2.285;
2021-12-31;2.148656;
2022-01-31;2.008871;
2022-02-28;1.765069;
2022-03-31;1.906989;
2022-04-30;2.061528;
2022-05-31;1.893952;
2022-06-30;1.922376;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

