Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Operante
Data Inicial: 2016-11-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;null;
2016-12-31;1.638753;
2017-01-31;1.532696;
2017-02-28;1.572863;
2017-03-31;1.270161;
2017-04-30;1.254402;
2017-05-31;1.129809;
2017-06-30;1.167667;
2017-07-31;1.421102;
2017-08-31;1.332143;
2017-09-30;1.657184;
2017-10-31;1.466224;
2017-11-30;1.732316;
2017-12-31;1.52104;
2018-01-31;1.44865;
2018-02-28;1.375168;
2018-03-31;1.242895;
2018-04-30;1.175332;
2018-05-31;1.043501;
2018-06-30;.916636;
2018-07-31;.920161;
2018-08-31;1.290054;
2018-09-30;1.417488;
2018-10-31;1.471388;
2018-11-30;1.926389;
2018-12-31;1.461571;
2019-01-31;1.432124;
2019-02-28;1.357609;
2019-03-31;1.18774;
2019-04-30;1.032772;
2019-05-31;1.015293;
2019-06-30;null;
2019-07-31;1.200672;
2019-08-31;1.282434;
2019-09-30;1.424861;
2019-10-31;1.477688;
2019-11-30;1.457588;
2019-12-31;1.442689;
2020-01-31;1.335192;
2020-02-29;1.523501;
2020-03-31;1.204102;
2020-04-30;1.192361;
2020-05-31;1.041532;
2020-06-30;1.139722;
2020-07-31;1.157527;
2020-08-31;1.234274;
2020-09-30;1.0125;
2020-10-31;1.185349;
2020-11-30;1.48484;
2020-12-31;1.37474;
2021-01-31;1.423551;
2021-02-28;1.41875;
2021-03-31;1.298874;
2021-04-30;1.071944;
2021-05-31;1.041935;
2021-06-30;1.001528;
2021-07-31;1.212769;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.547764;
2022-01-31;1.583384;
2022-02-28;1.290794;
2022-03-31;1.394033;
2022-04-30;1.193454;
2022-05-31;1.201747;
2022-06-30;.959118;
2022-07-31;1.19204;
2022-08-31;1.250923;
2022-09-30;1.021858;
2022-10-31;1.445858;
2022-11-30;1.447805;
2022-12-31;1.665155;

