Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;null;
2017-06-30;2.522583;
2017-07-31;2.964382;
2017-08-31;2.818797;
2017-09-30;3.456241;
2017-10-31;2.876462;
2017-11-30;2.57451;
2017-12-31;2.066441;
2018-01-31;null;
2018-02-28;null;
2018-03-31;2.076185;
2018-04-30;2.132035;
2018-05-31;2.39241;
2018-06-30;2.300971;
2018-07-31;2.564113;
2018-08-31;2.484005;
2018-09-30;2.520211;
2018-10-31;2.341263;
2018-11-30;2.756969;
2018-12-31;2.012769;
2019-01-31;2.196196;
2019-02-28;2.007738;
2019-03-31;1.988441;
2019-04-30;1.782253;
2019-05-31;2.033333;
2019-06-30;2.578611;
2019-07-31;2.718006;
2019-08-31;2.765591;
2019-09-30;2.725278;
2019-10-31;2.533702;
2019-11-30;2.259167;
2019-12-31;2.120313;
2020-01-31;1.875403;
2020-02-29;2.156753;
2020-03-31;2.243348;
2020-04-30;1.980139;
2020-05-31;2.166398;
2020-06-30;2.624583;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;2.637818;
2020-11-30;2.482543;
2020-12-31;2.209727;
2021-01-31;2.005824;
2021-02-28;2.15066;
2021-03-31;1.954377;
2021-04-30;1.995873;
2021-05-31;2.003503;
2021-06-30;2.195562;
2021-07-31;2.421447;
2021-08-31;null;
2021-09-30;2.772493;
2021-10-31;2.591377;
2021-11-30;2.269302;
2021-12-31;2.320056;
2022-01-31;2.169779;
2022-02-28;2.112818;
2022-03-31;2.268533;
2022-04-30;2.060833;
2022-05-31;2.419086;
2022-06-30;2.209861;
2022-07-31;3.015192;
2022-08-31;2.836448;
2022-09-30;2.806109;
2022-10-31;2.65094;
2022-11-30;2.374913;
2022-12-31;2.519005;

