Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;null;
2018-04-30;1.989444;
2018-05-31;1.750403;
2018-06-30;1.795417;
2018-07-31;1.811828;
2018-08-31;2.150672;
2018-09-30;2.319861;
2018-10-31;2.334274;
2018-11-30;2.417222;
2018-12-31;2.145833;
2019-01-31;2.048253;
2019-02-28;1.95625;
2019-03-31;1.913172;
2019-04-30;1.639444;
2019-05-31;1.558468;
2019-06-30;1.887361;
2019-07-31;1.935016;
2019-08-31;2.275538;
2019-09-30;2.39625;
2019-10-31;2.414113;
2019-11-30;2.298333;
2019-12-31;null;
2020-01-31;1.992596;
2020-02-29;null;
2020-03-31;1.994892;
2020-04-30;1.778611;
2020-05-31;1.642876;
2020-06-30;1.7225;
2020-07-31;2.00059;
2020-08-31;2.256048;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;1.899094;
2021-01-31;2.120009;
2021-02-28;2.018072;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;2.386425;
2021-11-30;2.265;
2021-12-31;2.107527;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;1.923685;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;2.208056;
2022-12-31;2.132477;

