Nome: DUQUE DE CAXIAS - XEREM
Codigo Estacao: A603
Latitude: -22.58972221
Longitude: -43.28222221
Altitude: 22
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;1.119485;
2004-12-31;.925281;
2005-01-31;.95592;
2005-02-28;.883741;
2005-03-31;.936571;
2005-04-30;.859022;
2005-05-31;.768917;
2005-06-30;.747361;
2005-07-31;.781557;
2005-08-31;1.075941;
2005-09-30;.99652;
2005-10-31;.954849;
2005-11-30;null;
2005-12-31;null;
2006-01-31;1.21018;
2006-02-28;null;
2006-03-31;1.044092;
2006-04-30;null;
2006-05-31;null;
2006-06-30;.821743;
2006-07-31;.768719;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;.945436;
2007-04-30;.804167;
2007-05-31;.828219;
2007-06-30;.716341;
2007-07-31;.898679;
2007-08-31;.797715;
2007-09-30;1.000556;
2007-10-31;1.006837;
2007-11-30;1.084525;
2007-12-31;1.014785;
2008-01-31;.982796;
2008-02-29;.923592;
2008-03-31;.860735;
2008-04-30;.786111;
2008-05-31;.754149;
2008-06-30;.758661;
2008-07-31;.822849;
2008-08-31;1.001613;
2008-09-30;.89;
2008-10-31;null;
2008-11-30;null;
2008-12-31;.764286;
2009-01-31;.906274;
2009-02-28;.989881;
2009-03-31;.748118;
2009-04-30;.745556;
2009-05-31;.347715;
2009-06-30;.000139;
2009-07-31;.114247;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;1.150417;
2009-12-31;.891936;
2010-01-31;1.009042;
2010-02-28;1.050744;
2010-03-31;.946774;
2010-04-30;.914861;
2010-05-31;.817608;
2010-06-30;.806906;
2010-07-31;.885982;
2010-08-31;null;
2010-09-30;.990694;
2010-10-31;1.029435;
2010-11-30;.965556;
2010-12-31;.944892;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;.754435;
2011-06-30;.824553;
2011-07-31;.808065;
2011-08-31;.990981;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;.885215;
2012-02-29;.988218;
2012-03-31;.847177;
2012-04-30;.761105;
2012-05-31;.663575;
2012-06-30;.610417;
2012-07-31;.740054;
2012-08-31;.724808;
2012-09-30;.924861;
2012-10-31;1.055645;
2012-11-30;.777917;
2012-12-31;.860215;
2013-01-31;.749328;
2013-02-28;.868452;
2013-03-31;.707833;
2013-04-30;.643889;
2013-05-31;.716532;
2013-06-30;.702905;
2013-07-31;.75277;
2013-08-31;.763172;
2013-09-30;.851944;
2013-10-31;.790591;
2013-11-30;.766667;
2013-12-31;.750672;
2014-01-31;.878764;
2014-02-28;.905208;
2014-03-31;.704436;
2014-04-30;.521111;
2014-05-31;.520972;
2014-06-30;null;
2014-07-31;null;
2014-08-31;.755511;
2014-09-30;1.02875;
2014-10-31;1.088979;
2014-11-30;.799445;
2014-12-31;.916129;
2015-01-31;.942274;
2015-02-28;.807589;
2015-03-31;.646505;
2015-04-30;.643056;
2015-05-31;.652419;
2015-06-30;.624861;
2015-07-31;.72379;
2015-08-31;.765457;
2015-09-30;.917901;
2015-10-31;.835618;
2015-11-30;.685;
2015-12-31;.835648;
2016-01-31;.748925;
2016-02-29;.876149;
2016-03-31;.752016;
2016-04-30;.725695;
2016-05-31;.572446;
2016-06-30;.537083;
2016-07-31;.637634;
2016-08-31;.833871;
2016-09-30;.836528;
2016-10-31;.899389;
2016-11-30;.943889;
2016-12-31;.95;
2017-01-31;.94086;
2017-02-28;.865327;
2017-03-31;.762903;
2017-04-30;.709475;
2017-05-31;.618011;
2017-06-30;.533611;
2017-07-31;.647312;
2017-08-31;.637634;
2017-09-30;.731667;
2017-10-31;.911559;
2017-11-30;.990694;
2017-12-31;.77836;
2018-01-31;.743609;
2018-02-28;.741667;
2018-03-31;.61707;
2018-04-30;.480556;
2018-05-31;.584946;
2018-06-30;.545139;
2018-07-31;.660887;
2018-08-31;.729436;
2018-09-30;.792083;
2018-10-31;.672312;
2018-11-30;.969444;
2018-12-31;.823387;
2019-01-31;.883602;
2019-02-28;.804167;
2019-03-31;.676882;
2019-04-30;.599861;
2019-05-31;.497043;
2019-06-30;.602639;
2019-07-31;.736425;
2019-08-31;.639785;
2019-09-30;.652917;
2019-10-31;.816263;
2019-11-30;.746414;
2019-12-31;.752957;
2020-01-31;.685887;
2020-02-29;.754167;
2020-03-31;.593817;
2020-04-30;.605139;
2020-05-31;.621774;
2020-06-30;.532361;
2020-07-31;.710349;
2020-08-31;.814247;
2020-09-30;.79;
2020-10-31;.744489;
2020-11-30;.681667;
2020-12-31;.611425;
2021-01-31;.834677;
2021-02-28;.613988;
2021-03-31;.662231;
2021-04-30;.619722;
2021-05-31;.469355;
2021-06-30;.43875;
2021-07-31;.567473;
2021-08-31;.733602;
2021-09-30;.755833;
2021-10-31;.658737;
2021-11-30;.460278;
2021-12-31;.684409;
2022-01-31;.789247;
2022-02-28;.542708;
2022-03-31;.715457;
2022-04-30;.621111;
2022-05-31;.583298;
2022-06-30;.501389;
2022-07-31;.635753;
2022-08-31;.814919;
2022-09-30;.641806;
2022-10-31;.654839;
2022-11-30;.657639;
2022-12-31;.694086;

