Nome: NITEROI
Codigo Estacao: A605
Latitude: -22.90643
Longitude: -43.133437
Altitude: 10.58
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2009-07-16
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;2.081116;
2006-12-31;2.130939;
2007-01-31;1.525134;
2007-02-28;1.861141;
2007-03-31;1.773539;
2007-04-30;1.765579;
2007-05-31;1.847064;
2007-06-30;1.6359;
2007-07-31;1.946151;
2007-08-31;1.783912;
2007-09-30;2.072778;
2007-10-31;2.194197;
2007-11-30;2.206243;
2007-12-31;2.109946;
2008-01-31;1.80578;
2008-02-29;1.625402;
2008-03-31;1.781072;
2008-04-30;1.648611;
2008-05-31;1.689732;
2008-06-30;1.398036;
2008-07-31;1.475672;
2008-08-31;1.935753;
2008-09-30;2.034583;
2008-10-31;2.165054;
2008-11-30;1.998056;
2008-12-31;1.782258;
2009-01-31;1.764727;
2009-02-28;1.805533;
2009-03-31;1.711962;
2009-04-30;1.521111;
2009-05-31;1.514382;
2009-06-30;1.859028;
2009-07-31;null;

