Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2006-09-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;
2006-10-31;3.922849;
2006-11-30;3.810455;
2006-12-31;3.42982;
2007-01-31;3.004839;
2007-02-28;3.442417;
2007-03-31;3.161262;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;2.599074;
2008-04-30;2.589583;
2008-05-31;2.665141;
2008-06-30;2.797087;
2008-07-31;2.663885;
2008-08-31;3.767245;
2008-09-30;3.531667;
2008-10-31;3.704704;
2008-11-30;3.070278;
2008-12-31;3.051959;
2009-01-31;3.570816;
2009-02-28;3.215211;
2009-03-31;2.722446;
2009-04-30;2.506389;
2009-05-31;2.556989;
2009-06-30;2.656667;
2009-07-31;2.940995;
2009-08-31;3.243817;
2009-09-30;3.638194;
2009-10-31;3.434052;
2009-11-30;3.845417;
2009-12-31;3.035484;
2010-01-31;4.082661;
2010-02-28;3.979613;
2010-03-31;2.933199;
2010-04-30;3.010278;
2010-05-31;2.608871;
2010-06-30;2.69625;
2010-07-31;2.718011;
2010-08-31;3.41586;
2010-09-30;4.217222;
2010-10-31;3.872838;
2010-11-30;3.15;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;2.485229;
2011-04-30;2.65;
2011-05-31;2.530762;
2011-06-30;2.692083;
2011-07-31;3.135215;
2011-08-31;3.517607;
2011-09-30;3.914167;
2011-10-31;3.918817;
2011-11-30;3.752639;
2011-12-31;3.096156;
2012-01-31;3.634005;
2012-02-29;3.871839;
2012-03-31;3.13574;
2012-04-30;2.66375;
2012-05-31;2.647984;
2012-06-30;2.523696;
2012-07-31;3.0875;
2012-08-31;2.842127;
2012-09-30;3.799583;
2012-10-31;4.457392;
2012-11-30;3.416111;
2012-12-31;3.579435;
2013-01-31;3.643145;
2013-02-28;3.732589;
2013-03-31;2.86375;
2013-04-30;null;
2013-05-31;2.704167;
2013-06-30;2.427702;
2013-07-31;2.750368;
2013-08-31;3.428763;
2013-09-30;3.515972;
2013-10-31;3.490054;
2013-11-30;3.538689;
2013-12-31;2.980189;
2014-01-31;3.7;
2014-02-28;3.820387;
2014-03-31;3.35672;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;3.029973;
2014-09-30;4.191528;
2014-10-31;4.003091;
2014-11-30;4.131806;
2014-12-31;3.932258;
2015-01-31;4.357661;
2015-02-28;3.703869;
2015-03-31;2.712769;
2015-04-30;2.718194;
2015-05-31;2.38078;
2015-06-30;2.702083;
2015-07-31;2.929295;
2015-08-31;2.933871;
2015-09-30;3.455972;
2015-10-31;3.886559;
2015-11-30;2.962917;
2015-12-31;3.526344;
2016-01-31;3.102688;
2016-02-29;3.132902;
2016-03-31;2.856989;
2016-04-30;2.695833;
2016-05-31;2.621774;
2016-06-30;2.475833;
2016-07-31;2.815591;
2016-08-31;3.236559;
2016-09-30;3.559583;
2016-10-31;3.55121;
2016-11-30;3.685556;
2016-12-31;3.232796;
2017-01-31;3.711962;
2017-02-28;3.065179;
2017-03-31;2.957527;
2017-04-30;2.685;
2017-05-31;2.561495;
2017-06-30;2.561806;
2017-07-31;2.379946;
2017-08-31;null;
2017-09-30;null;
2017-10-31;4.387606;
2017-11-30;3.537917;
2017-12-31;2.956452;
2018-01-31;3.383871;
2018-02-28;2.714434;
2018-03-31;2.334274;
2018-04-30;1.982361;
2018-05-31;2.22164;
2018-06-30;2.528333;
2018-07-31;2.429301;
2018-08-31;2.493683;
2018-09-30;2.870861;
2018-10-31;3.373387;
2018-11-30;3.285833;
2018-12-31;2.896774;
2019-01-31;3.859274;
2019-02-28;2.779911;
2019-03-31;2.500134;
2019-04-30;2.255556;
2019-05-31;2.191532;
2019-06-30;2.283424;
2019-07-31;2.685887;
2019-08-31;2.98871;
2019-09-30;3.194722;
2019-10-31;3.532661;
2019-11-30;3.095417;
2019-12-31;3.021102;
2020-01-31;2.74879;
2020-02-29;2.851868;
2020-03-31;2.286156;
2020-04-30;2.340694;
2020-05-31;2.50914;
2020-06-30;2.544583;
2020-07-31;2.692876;
2020-08-31;3.065457;
2020-09-30;3.220556;
2020-10-31;3.252957;
2020-11-30;2.872778;
2020-12-31;3.019624;
2021-01-31;3.656317;
2021-02-28;2.70372;
2021-03-31;2.420968;
2021-04-30;2.26375;
2021-05-31;2.296774;
2021-06-30;2.367083;
2021-07-31;2.441801;
2021-08-31;2.903091;
2021-09-30;3.288131;
2021-10-31;2.808333;
2021-11-30;2.810555;
2021-12-31;2.839651;
2022-01-31;2.999632;
2022-02-28;2.598661;
2022-03-31;3.033756;
2022-04-30;2.288194;
2022-05-31;2.451613;
2022-06-30;2.556443;
2022-07-31;2.712391;
2022-08-31;3.34543;
2022-09-30;3.134722;
2022-10-31;3.285238;
2022-11-30;3.12446;
2022-12-31;3.197987;

