Nome: RESENDE
Codigo Estacao: A609
Latitude: -22.45138888
Longitude: -44.44499999
Altitude: 438.83
Situacao: Operante
Data Inicial: 2006-09-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;
2006-10-31;2.128495;
2006-11-30;2.053687;
2006-12-31;2.084226;
2007-01-31;1.661002;
2007-02-28;1.822917;
2007-03-31;1.714394;
2007-04-30;1.736944;
2007-05-31;1.877539;
2007-06-30;1.398551;
2007-07-31;1.698474;
2007-08-31;1.93532;
2007-09-30;2.235139;
2007-10-31;2.128699;
2007-11-30;2.170278;
2007-12-31;1.927688;
2008-01-31;1.892876;
2008-02-29;1.683958;
2008-03-31;1.756481;
2008-04-30;1.641111;
2008-05-31;1.603185;
2008-06-30;1.435756;
2008-07-31;1.447312;
2008-08-31;1.749193;
2008-09-30;2.053333;
2008-10-31;2.106855;
2008-11-30;2.252778;
2008-12-31;2.040188;
2009-01-31;1.83172;
2009-02-28;1.811478;
2009-03-31;1.728629;
2009-04-30;1.724028;
2009-05-31;1.427285;
2009-06-30;1.604861;
2009-07-31;1.662358;
2009-08-31;1.828898;
2009-09-30;1.902917;
2009-10-31;2.082902;
2009-11-30;1.850556;
2009-12-31;1.803226;
2010-01-31;1.754032;
2010-02-28;1.79003;
2010-03-31;1.74879;
2010-04-30;2.174583;
2010-05-31;1.602688;
2010-06-30;1.670139;
2010-07-31;1.613575;
2010-08-31;1.947446;
2010-09-30;2.034583;
2010-10-31;2.317608;
2010-11-30;1.945556;
2010-12-31;1.945161;
2011-01-31;1.780645;
2011-02-28;1.701934;
2011-03-31;1.827205;
2011-04-30;1.6275;
2011-05-31;1.623198;
2011-06-30;1.642766;
2011-07-31;1.462512;
2011-08-31;2.139563;
2011-09-30;2.333472;
2011-10-31;2.275501;
2011-11-30;2.210694;
2011-12-31;1.91586;
2012-01-31;1.775806;
2012-02-29;1.791667;
2012-03-31;1.762173;
2012-04-30;1.672222;
2012-05-31;1.556452;
2012-06-30;1.447381;
2012-07-31;1.578894;
2012-08-31;2.187692;
2012-09-30;2.2325;
2012-10-31;2.137231;
2012-11-30;2.277917;
2012-12-31;1.781981;
2013-01-31;null;
2013-02-28;null;
2013-03-31;1.911097;
2013-04-30;1.684861;
2013-05-31;1.568414;
2013-06-30;1.471149;
2013-07-31;1.779196;
2013-08-31;1.952957;
2013-09-30;2.060278;
2013-10-31;2.114919;
2013-11-30;1.973194;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;1.733468;
2014-04-30;1.663889;
2014-05-31;1.672984;
2014-06-30;null;
2014-07-31;null;
2014-08-31;1.746909;
2014-09-30;2.2475;
2014-10-31;2.209274;
2014-11-30;2.135278;
2014-12-31;2.039516;
2015-01-31;1.849597;
2015-02-28;1.734077;
2015-03-31;1.573253;
2015-04-30;1.929167;
2015-05-31;1.696342;
2015-06-30;1.649861;
2015-07-31;1.487366;
2015-08-31;1.648925;
2015-09-30;1.900862;
2015-10-31;null;
2015-11-30;2.020833;
2015-12-31;1.829704;
2016-01-31;1.893952;
2016-02-29;1.812069;
2016-03-31;1.658468;
2016-04-30;1.515;
2016-05-31;1.724462;
2016-06-30;1.628611;
2016-07-31;1.597312;
2016-08-31;2.086694;
2016-09-30;2.289167;
2016-10-31;2.495161;
2016-11-30;2.178611;
2016-12-31;null;
2017-01-31;1.827011;
2017-02-28;2.063244;
2017-03-31;1.833064;
2017-04-30;1.779583;
2017-05-31;1.614919;
2017-06-30;1.538333;
2017-07-31;1.869174;
2017-08-31;1.86371;
2017-09-30;1.968019;
2017-10-31;2.23078;
2017-11-30;2.090694;
2017-12-31;1.888979;
2018-01-31;1.815188;
2018-02-28;1.846726;
2018-03-31;1.803898;
2018-04-30;1.68375;
2018-05-31;1.619355;
2018-06-30;1.359028;
2018-07-31;1.473522;
2018-08-31;1.695161;
2018-09-30;2.194583;
2018-10-31;2.000096;
2018-11-30;2.159957;
2018-12-31;1.817048;
2019-01-31;1.789631;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.69727;
2019-05-31;1.471237;
2019-06-30;1.530833;
2019-07-31;1.92164;
2019-08-31;1.699059;
2019-09-30;1.928333;
2019-10-31;2.044489;
2019-11-30;2.100833;
2019-12-31;1.962366;
2020-01-31;1.815591;
2020-02-29;1.726006;
2020-03-31;1.865323;
2020-04-30;1.643611;
2020-05-31;1.653495;
2020-06-30;1.479306;
2020-07-31;1.693683;
2020-08-31;1.939651;
2020-09-30;2.010278;
2020-10-31;2.169355;
2020-11-30;2.17625;
2020-12-31;1.795027;
2021-01-31;1.899873;
2021-02-28;1.80625;
2021-03-31;1.666935;
2021-04-30;2.18;
2021-05-31;1.550583;
2021-06-30;1.636528;
2021-07-31;1.748118;
2021-08-31;1.77164;
2021-09-30;2.115972;
2021-10-31;2.177151;
2021-11-30;2.141667;
2021-12-31;2.049462;
2022-01-31;1.678763;
2022-02-28;1.75334;
2022-03-31;null;
2022-04-30;null;
2022-05-31;1.836705;
2022-06-30;1.596383;
2022-07-31;1.533839;
2022-08-31;2.169086;
2022-09-30;2.151389;
2022-10-31;2.077653;
2022-11-30;2.110694;
2022-12-31;2.000218;

