Nome: PICO DO COUTO
Codigo Estacao: A610
Latitude: -22.46472222
Longitude: -43.29138888
Altitude: 1777
Situacao: Operante
Data Inicial: 2006-10-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;
2006-11-30;5.705629;
2006-12-31;5.137636;
2007-01-31;6.010484;
2007-02-28;4.683333;
2007-03-31;3.981782;
2007-04-30;3.884076;
2007-05-31;5.348165;
2007-06-30;5.162289;
2007-07-31;6.041481;
2007-08-31;4.629237;
2007-09-30;4.514306;
2007-10-31;3.809974;
2007-11-30;5.256202;
2007-12-31;4.734594;
2008-01-31;4.5505;
2008-02-29;null;
2008-03-31;4.657746;
2008-04-30;4.219722;
2008-05-31;4.390381;
2008-06-30;4.69896;
2008-07-31;3.898925;
2008-08-31;5.006855;
2008-09-30;4.890972;
2008-10-31;4.871909;
2008-11-30;4.339583;
2008-12-31;4.334274;
2009-01-31;null;
2009-02-28;4.527564;
2009-03-31;3.925269;
2009-04-30;4.070556;
2009-05-31;4.402957;
2009-06-30;4.394028;
2009-07-31;5.346774;
2009-08-31;6.00044;
2009-09-30;null;
2009-10-31;null;
2009-11-30;4.987917;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;4.5725;
2010-05-31;5.00578;
2010-06-30;4.994861;
2010-07-31;4.502285;
2010-08-31;4.427626;
2010-09-30;5.5925;
2010-10-31;4.861425;
2010-11-30;5.011944;
2010-12-31;3.927688;
2011-01-31;5.808199;
2011-02-28;3.758929;
2011-03-31;3.85607;
2011-04-30;4.116768;
2011-05-31;4.296237;
2011-06-30;5.262361;
2011-07-31;4.488575;
2011-08-31;5.795027;
2011-09-30;4.907361;
2011-10-31;5.563038;
2011-11-30;5.095556;
2011-12-31;4.99715;
2012-01-31;5.319624;
2012-02-29;4.387931;
2012-03-31;4.175755;
2012-04-30;4.162778;
2012-05-31;4.500806;
2012-06-30;5.145694;
2012-07-31;5.709677;
2012-08-31;4.45576;
2012-09-30;5.105278;
2012-10-31;4.987366;
2012-11-30;4.951389;
2012-12-31;4.116801;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;4.48629;
2013-06-30;4.606313;
2013-07-31;4.915574;
2013-08-31;4.976747;
2013-09-30;5.067778;
2013-10-31;5.031989;
2013-11-30;4.2275;
2013-12-31;4.439919;
2014-01-31;3.894893;
2014-02-28;4.366815;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;4.598522;
2014-08-31;4.818548;
2014-09-30;5.989167;
2014-10-31;5.075115;
2014-11-30;4.841944;
2014-12-31;5.081721;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;4.697312;
2015-06-30;5;
2015-07-31;5.970296;
2015-08-31;4.335333;
2015-09-30;null;
2015-10-31;4.763649;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;4.559532;
2016-06-30;4.152924;
2016-07-31;4.394473;
2016-08-31;5.112741;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;4.459812;
2018-01-31;4.502155;
2018-02-28;3.768864;
2018-03-31;3.592648;
2018-04-30;3.256806;
2018-05-31;3.842339;
2018-06-30;4.521759;
2018-07-31;4.115054;
2018-08-31;4.201845;
2018-09-30;4.402361;
2018-10-31;4.997043;
2018-11-30;5.565556;
2018-12-31;4.043683;
2019-01-31;4.012097;
2019-02-28;4.919708;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;4.372178;
2019-09-30;4.638454;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;4.004528;
2021-08-31;4.057939;
2021-09-30;null;
2021-10-31;null;
2021-11-30;4.452778;
2021-12-31;5.162366;
2022-01-31;5.292876;
2022-02-28;3.659821;
2022-03-31;4.44422;
2022-04-30;3.969982;
2022-05-31;4.914919;
2022-06-30;4.535972;
2022-07-31;5.088038;
2022-08-31;5.424059;
2022-09-30;4.671784;
2022-10-31;null;
2022-11-30;null;
2022-12-31;5.827083;

