Nome: VALENCA
Codigo Estacao: A611
Latitude: -22.35805555
Longitude: -43.69555555
Altitude: 370
Situacao: Operante
Data Inicial: 2006-09-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;
2006-10-31;1.838306;
2006-11-30;1.719418;
2006-12-31;1.752827;
2007-01-31;1.424597;
2007-02-28;1.594546;
2007-03-31;1.381403;
2007-04-30;1.311667;
2007-05-31;1.300044;
2007-06-30;1.295417;
2007-07-31;1.516739;
2007-08-31;1.601549;
2007-09-30;2.069736;
2007-10-31;1.888108;
2007-11-30;1.821299;
2007-12-31;1.637927;
2008-01-31;1.581215;
2008-02-29;null;
2008-03-31;1.248625;
2008-04-30;1.019444;
2008-05-31;1.012091;
2008-06-30;1.316957;
2008-07-31;1.09328;
2008-08-31;1.69664;
2008-09-30;1.711528;
2008-10-31;1.97621;
2008-11-30;1.443889;
2008-12-31;1.414785;
2009-01-31;1.530037;
2009-02-28;1.422037;
2009-03-31;1.138441;
2009-04-30;1.140556;
2009-05-31;1.13293;
2009-06-30;1.140833;
2009-07-31;1.496079;
2009-08-31;1.714247;
2009-09-30;1.709861;
2009-10-31;1.72069;
2009-11-30;1.591111;
2009-12-31;1.415188;
2010-01-31;1.453437;
2010-02-28;1.354354;
2010-03-31;1.268683;
2010-04-30;1.317222;
2010-05-31;1.207381;
2010-06-30;1.164306;
2010-07-31;1.338844;
2010-08-31;1.309952;
2010-09-30;1.491528;
2010-10-31;1.156048;
2010-11-30;1.411667;
2010-12-31;1.015323;
2011-01-31;.692339;
2011-02-28;.528339;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;1.89529;
2011-09-30;2.03;
2011-10-31;1.908871;
2011-11-30;1.991667;
2011-12-31;1.886828;
2012-01-31;1.764785;
2012-02-29;1.818822;
2012-03-31;1.470968;
2012-04-30;1.307222;
2012-05-31;1.177823;
2012-06-30;1.445278;
2012-07-31;1.53414;
2012-08-31;1.612634;
2012-09-30;2.012917;
2012-10-31;2.304179;
2012-11-30;1.946944;
2012-12-31;1.901882;
2013-01-31;1.704032;
2013-02-28;1.663691;
2013-03-31;1.4885;
2013-04-30;1.330278;
2013-05-31;1.445027;
2013-06-30;1.460972;
2013-07-31;1.555511;
2013-08-31;1.798521;
2013-09-30;2.010972;
2013-10-31;1.856471;
2013-11-30;1.884861;
2013-12-31;1.779301;
2014-01-31;1.726075;
2014-02-28;1.988095;
2014-03-31;1.663306;
2014-04-30;1.388056;
2014-05-31;1.184946;
2014-06-30;1.337639;
2014-07-31;1.497984;
2014-08-31;1.626075;
2014-09-30;2.253135;
2014-10-31;2.164919;
2014-11-30;2.0175;
2014-12-31;2.009543;
2015-01-31;1.621552;
2015-02-28;1.769643;
2015-03-31;1.372043;
2015-04-30;1.342222;
2015-05-31;1.408199;
2015-06-30;1.41875;
2015-07-31;1.802151;
2015-08-31;1.828226;
2015-09-30;1.867361;
2015-10-31;null;
2015-11-30;1.6015;
2015-12-31;1.828495;
2016-01-31;1.620896;
2016-02-29;null;
2016-03-31;null;
2016-04-30;1.336111;
2016-05-31;1.360215;
2016-06-30;1.323333;
2016-07-31;1.561828;
2016-08-31;1.820833;
2016-09-30;1.943552;
2016-10-31;1.862366;
2016-11-30;1.864861;
2016-12-31;1.726344;
2017-01-31;1.608602;
2017-02-28;1.959455;
2017-03-31;1.514382;
2017-04-30;1.463889;
2017-05-31;1.316667;
2017-06-30;1.253611;
2017-07-31;1.301344;
2017-08-31;1.625298;
2017-09-30;2.242639;
2017-10-31;2.191523;
2017-11-30;2.15;
2017-12-31;1.660301;
2018-01-31;1.52836;
2018-02-28;1.42247;
2018-03-31;1.388172;
2018-04-30;1.146528;
2018-05-31;1.230108;
2018-06-30;1.390556;
2018-07-31;1.35;
2018-08-31;1.538979;
2018-09-30;1.679583;
2018-10-31;1.827688;
2018-11-30;1.956667;
2018-12-31;1.626075;
2019-01-31;1.570296;
2019-02-28;1.498958;
2019-03-31;1.226613;
2019-04-30;1.205417;
2019-05-31;1.216667;
2019-06-30;1.279167;
2019-07-31;1.409005;
2019-08-31;1.83172;
2019-09-30;1.959971;
2019-10-31;2.02164;
2019-11-30;1.976806;
2019-12-31;1.8875;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;1.584409;
2020-06-30;1.662361;
2020-07-31;1.826344;
2020-08-31;2.001132;
2020-09-30;1.994083;
2020-10-31;2.204178;
2020-11-30;1.908567;
2020-12-31;1.568013;
2021-01-31;1.970946;
2021-02-28;1.510863;
2021-03-31;1.496505;
2021-04-30;1.415972;
2021-05-31;1.36129;
2021-06-30;1.503333;
2021-07-31;1.449731;
2021-08-31;1.914919;
2021-09-30;2.152778;
2021-10-31;1.85578;
2021-11-30;1.875417;
2021-12-31;1.864878;
2022-01-31;1.817339;
2022-02-28;1.462202;
2022-03-31;1.796102;
2022-04-30;1.473611;
2022-05-31;1.448521;
2022-06-30;1.492778;
2022-07-31;1.605376;
2022-08-31;1.907796;
2022-09-30;2.072639;
2022-10-31;1.921909;
2022-11-30;1.87875;
2022-12-31;1.873521;

