Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2006-10-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;
2006-11-30;3.321113;
2006-12-31;3.080564;
2007-01-31;3.213575;
2007-02-28;2.613464;
2007-03-31;2.440469;
2007-04-30;2.579444;
2007-05-31;3.012328;
2007-06-30;2.521322;
2007-07-31;3.157208;
2007-08-31;2.674281;
2007-09-30;3.142917;
2007-10-31;3.121552;
2007-11-30;3.633056;
2007-12-31;3.275134;
2008-01-31;3.285618;
2008-02-29;2.923563;
2008-03-31;2.571914;
2008-04-30;2.481806;
2008-05-31;2.568437;
2008-06-30;2.804052;
2008-07-31;2.08871;
2008-08-31;1.959426;
2008-09-30;2.789306;
2008-10-31;3.411962;
2008-11-30;2.613442;
2008-12-31;2.688285;
2009-01-31;2.852145;
2009-02-28;2.593493;
2009-03-31;2.537231;
2009-04-30;2.522639;
2009-05-31;2.405914;
2009-06-30;2.526806;
2009-07-31;2.489651;
2009-08-31;2.952554;
2009-09-30;3.403056;
2009-10-31;2.811135;
2009-11-30;3.377917;
2009-12-31;3.315054;
2010-01-31;2.963832;
2010-02-28;2.764234;
2010-03-31;2.700403;
2010-04-30;2.589722;
2010-05-31;2.294086;
2010-06-30;2.800563;
2010-07-31;2.085395;
2010-08-31;2.899813;
2010-09-30;3.175484;
2010-10-31;null;
2010-11-30;null;
2010-12-31;3.416129;
2011-01-31;3.090457;
2011-02-28;2.591816;
2011-03-31;2.583038;
2011-04-30;2.301806;
2011-05-31;2.57836;
2011-06-30;2.877789;
2011-07-31;2.593437;
2011-08-31;3.190054;
2011-09-30;3.407716;
2011-10-31;3.351747;
2011-11-30;3.042222;
2011-12-31;2.975538;
2012-01-31;2.702151;
2012-02-29;2.691092;
2012-03-31;2.721009;
2012-04-30;2.53;
2012-05-31;2.983333;
2012-06-30;2.670821;
2012-07-31;2.679032;
2012-08-31;2.82711;
2012-09-30;3.448194;
2012-10-31;3.271774;
2012-11-30;2.878194;
2012-12-31;3.039785;
2013-01-31;3.048522;
2013-02-28;2.71131;
2013-03-31;2.725169;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;3.003156;
2013-08-31;3.075538;
2013-09-30;3.223056;
2013-10-31;3.289113;
2013-11-30;3.112917;
2013-12-31;3.165995;
2014-01-31;2.680914;
2014-02-28;2.446131;
2014-03-31;2.462634;
2014-04-30;2.481938;
2014-05-31;2.612903;
2014-06-30;2.231389;
2014-07-31;2.588575;
2014-08-31;3.030645;
2014-09-30;3.279734;
2014-10-31;3.724496;
2014-11-30;3.317361;
2014-12-31;3.102957;
2015-01-31;3.078434;
2015-02-28;2.998214;
2015-03-31;2.745699;
2015-04-30;2.900972;
2015-05-31;2.754779;
2015-06-30;3.087403;
2015-07-31;2.349012;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;3.393548;
2016-01-31;3.328226;
2016-02-29;2.932184;
2016-03-31;2.718145;
2016-04-30;2.530139;
2016-05-31;3.063978;
2016-06-30;3.059722;
2016-07-31;2.854435;
2016-08-31;2.952419;
2016-09-30;3.323194;
2016-10-31;2.954026;
2016-11-30;3.084445;
2016-12-31;3.355376;
2017-01-31;3.057258;
2017-02-28;2.713839;
2017-03-31;3.001747;
2017-04-30;3.007361;
2017-05-31;2.581989;
2017-06-30;2.75375;
2017-07-31;2.760349;
2017-08-31;2.8625;
2017-09-30;null;
2017-10-31;null;
2017-11-30;2.688225;
2017-12-31;2.704435;
2018-01-31;3.039382;
2018-02-28;2.615318;
2018-03-31;2.849962;
2018-04-30;2.595405;
2018-05-31;2.767876;
2018-06-30;2.703533;
2018-07-31;2.435887;
2018-08-31;2.890726;
2018-09-30;3.281944;
2018-10-31;3.485484;
2018-11-30;2.9575;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;3.254973;
2019-04-30;2.743194;
2019-05-31;2.663575;
2019-06-30;2.677361;
2019-07-31;3.146371;
2019-08-31;3.383333;
2019-09-30;3.565;
2019-10-31;3.040188;
2019-11-30;3.332778;
2019-12-31;3.212366;
2020-01-31;3.542595;
2020-02-29;2.936782;
2020-03-31;2.995161;
2020-04-30;3.365833;
2020-05-31;2.820968;
2020-06-30;2.533056;
2020-07-31;2.602957;
2020-08-31;3.171102;
2020-09-30;2.992361;
2020-10-31;3.330108;
2020-11-30;3.234722;
2020-12-31;3.452016;
2021-01-31;2.982527;
2021-02-28;2.941518;
2021-03-31;2.651882;
2021-04-30;2.961528;
2021-05-31;2.9875;
2021-06-30;2.588611;
2021-07-31;3.120027;
2021-08-31;2.843683;
2021-09-30;3.477639;
2021-10-31;3.363979;
2021-11-30;3.276111;
2021-12-31;3.116129;
2022-01-31;2.926747;
2022-02-28;2.709673;
2022-03-31;2.654704;
2022-04-30;2.855;
2022-05-31;2.898656;
2022-06-30;2.995833;
2022-07-31;2.337634;
2022-08-31;3.578629;
2022-09-30;3.580139;
2022-10-31;2.993548;
2022-11-30;3.498056;
2022-12-31;3.068145;

