Nome: ALFREDO CHAVES
Codigo Estacao: A615
Latitude: -20.63638888
Longitude: -40.74194444
Altitude: 14.19
Situacao: Operante
Data Inicial: 2006-11-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;1.755423;
2006-12-31;1.651857;
2007-01-31;1.604973;
2007-02-28;1.948978;
2007-03-31;2.114317;
2007-04-30;1.853333;
2007-05-31;2.002123;
2007-06-30;2.11189;
2007-07-31;2.081679;
2007-08-31;2.158988;
2007-09-30;2.209663;
2007-10-31;2.282709;
2007-11-30;1.916754;
2007-12-31;2.073014;
2008-01-31;2.20869;
2008-02-29;1.886241;
2008-03-31;1.89527;
2008-04-30;1.74;
2008-05-31;1.846303;
2008-06-30;1.848895;
2008-07-31;2.054032;
2008-08-31;2.20069;
2008-09-30;1.943611;
2008-10-31;1.841263;
2008-11-30;1.606806;
2008-12-31;1.568046;
2009-01-31;1.699194;
2009-02-28;1.989935;
2009-03-31;1.808602;
2009-04-30;1.702917;
2009-05-31;1.781855;
2009-06-30;1.674167;
2009-07-31;1.757393;
2009-08-31;1.950941;
2009-09-30;1.934167;
2009-10-31;1.669971;
2009-11-30;2.204167;
2009-12-31;1.837366;
2010-01-31;2.608468;
2010-02-28;2.51369;
2010-03-31;1.871909;
2010-04-30;1.722361;
2010-05-31;1.806183;
2010-06-30;2.011944;
2010-07-31;1.698925;
2010-08-31;2.15159;
2010-09-30;2.34375;
2010-10-31;1.744086;
2010-11-30;1.62375;
2010-12-31;1.850818;
2011-01-31;2.140054;
2011-02-28;2.316071;
2011-03-31;1.55958;
2011-04-30;1.679306;
2011-05-31;1.78414;
2011-06-30;1.745972;
2011-07-31;2.141263;
2011-08-31;1.955645;
2011-09-30;2.019821;
2011-10-31;1.775134;
2011-11-30;1.656944;
2011-12-31;1.630464;
2012-01-31;1.848214;
2012-02-29;2.35546;
2012-03-31;1.872581;
2012-04-30;1.771528;
2012-05-31;1.654839;
2012-06-30;1.763116;
2012-07-31;2.193414;
2012-08-31;1.695123;
2012-09-30;2.087222;
2012-10-31;2.291532;
2012-11-30;1.592917;
2012-12-31;2.022043;
2013-01-31;2.142607;
2013-02-28;2.106399;
2013-03-31;1.738472;
2013-04-30;1.668533;
2013-05-31;1.736559;
2013-06-30;1.692664;
2013-07-31;1.744489;
2013-08-31;2.013575;
2013-09-30;1.986528;
2013-10-31;1.931855;
2013-11-30;1.898611;
2013-12-31;1.442473;
2014-01-31;2.129032;
2014-02-28;2.439946;
2014-03-31;1.981048;
2014-04-30;null;
2014-05-31;null;
2014-06-30;1.919445;
2014-07-31;1.642608;
2014-08-31;2.033602;
2014-09-30;2.199306;
2014-10-31;2.127688;
2014-11-30;2.172778;
2014-12-31;2.167742;
2015-01-31;2.721041;
2015-02-28;2.367857;
2015-03-31;1.963038;
2015-04-30;1.784583;
2015-05-31;1.736828;
2015-06-30;1.866806;
2015-07-31;1.847446;
2015-08-31;1.912097;
2015-09-30;1.893889;
2015-10-31;2.082392;
2015-11-30;1.740139;
2015-12-31;2.154132;
2016-01-31;1.92943;
2016-02-29;2.234914;
2016-03-31;1.928629;
2016-04-30;2.008611;
2016-05-31;1.795699;
2016-06-30;1.634306;
2016-07-31;1.93414;
2016-08-31;2.090784;
2016-09-30;2.083056;
2016-10-31;1.795564;
2016-11-30;1.891389;
2016-12-31;1.791263;
2017-01-31;2.554973;
2017-02-28;1.930059;
2017-03-31;2.023656;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;1.725912;
2017-08-31;1.876747;
2017-09-30;2.395833;
2017-10-31;2.263575;
2017-11-30;1.730417;
2017-12-31;1.670161;
2018-01-31;2.107232;
2018-02-28;1.608185;
2018-03-31;1.697446;
2018-04-30;1.604028;
2018-05-31;1.659543;
2018-06-30;1.685139;
2018-07-31;2.050538;
2018-08-31;1.580242;
2018-09-30;1.823611;
2018-10-31;1.749866;
2018-11-30;1.749444;
2018-12-31;1.816579;
2019-01-31;2.352151;
2019-02-28;1.960565;
2019-03-31;1.879167;
2019-04-30;1.69875;
2019-05-31;1.681048;
2019-06-30;1.845694;
2019-07-31;2.05793;
2019-08-31;1.843952;
2019-09-30;1.895278;
2019-10-31;2.026613;
2019-11-30;1.569583;
2019-12-31;1.850269;
2020-01-31;1.676344;
2020-02-29;1.643535;
2020-03-31;1.659052;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;2.067593;
2020-10-31;1.534005;
2020-11-30;1.604861;
2020-12-31;1.809005;
2021-01-31;2.335297;
2021-02-28;1.722321;
2021-03-31;1.815591;
2021-04-30;1.677101;
2021-05-31;1.787231;
2021-06-30;1.667917;
2021-07-31;1.961425;
2021-08-31;1.913575;
2021-09-30;1.732621;
2021-10-31;1.418683;
2021-11-30;1.573955;
2021-12-31;1.669355;
2022-01-31;1.76129;
2022-02-28;1.634362;
2022-03-31;2.077381;
2022-04-30;1.857778;
2022-05-31;1.863979;
2022-06-30;1.868333;
2022-07-31;2.228495;
2022-08-31;2.192204;
2022-09-30;1.808611;
2022-10-31;1.819407;
2022-11-30;1.746695;
2022-12-31;1.550172;

