Nome: PARATY
Codigo Estacao: A619
Latitude: -23.2236111
Longitude: -44.72694443
Altitude: 3
Situacao: Operante
Data Inicial: 2006-11-18
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;null;
2007-01-31;1.368952;
2007-02-28;1.879516;
2007-03-31;1.886425;
2007-04-30;1.756944;
2007-05-31;1.784893;
2007-06-30;1.426184;
2007-07-31;1.523345;
2007-08-31;1.415636;
2007-09-30;1.909296;
2007-10-31;1.65941;
2007-11-30;null;
2007-12-31;1.700319;
2008-01-31;null;
2008-02-29;null;
2008-03-31;1.701026;
2008-04-30;1.483056;
2008-05-31;1.685684;
2008-06-30;1.504271;
2008-07-31;1.858199;
2008-08-31;1.664113;
2008-09-30;1.690972;
2008-10-31;1.490555;
2008-11-30;1.639722;
2008-12-31;1.315035;
2009-01-31;1.101444;
2009-02-28;1.333482;
2009-03-31;1.292339;
2009-04-30;1.440833;
2009-05-31;1.335349;
2009-06-30;1.364444;
2009-07-31;.986962;
2009-08-31;1.226478;
2009-09-30;1.017083;
2009-10-31;.889037;
2009-11-30;1.204167;
2009-12-31;.971102;
2010-01-31;1.185905;
2010-02-28;1.448958;
2010-03-31;1.148886;
2010-04-30;1.325;
2010-05-31;1.404839;
2010-06-30;1.284861;
2010-07-31;1.086828;
2010-08-31;1.346774;
2010-09-30;1.128611;
2010-10-31;1.167876;
2010-11-30;1.181111;
2010-12-31;1.082807;
2011-01-31;1.2125;
2011-02-28;1.456101;
2011-03-31;1.048396;
2011-04-30;1.20375;
2011-05-31;1.051667;
2011-06-30;1.188333;
2011-07-31;1.109812;
2011-08-31;1.145968;
2011-09-30;1.373056;
2011-10-31;1.327045;
2011-11-30;1.738333;
2011-12-31;1.55336;
2012-01-31;1.513306;
2012-02-29;1.770833;
2012-03-31;1.70553;
2012-04-30;1.53625;
2012-05-31;1.572312;
2012-06-30;1.335278;
2012-07-31;1.522043;
2012-08-31;1.826421;
2012-09-30;1.692222;
2012-10-31;1.636022;
2012-11-30;1.468889;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;1.549056;
2013-04-30;1.668056;
2013-05-31;1.542339;
2013-06-30;1.393952;
2013-07-31;1.608871;
2013-08-31;1.686828;
2013-09-30;1.655833;
2013-10-31;1.715591;
2013-11-30;1.524583;
2013-12-31;1.579032;
2014-01-31;2.008199;
2014-02-28;1.833929;
2014-03-31;1.637769;
2014-04-30;1.629028;
2014-05-31;1.582796;
2014-06-30;1.445972;
2014-07-31;1.546237;
2014-08-31;1.607392;
2014-09-30;1.612222;
2014-10-31;1.833871;
2014-11-30;1.526667;
2014-12-31;1.665323;
2015-01-31;1.850701;
2015-02-28;1.711012;
2015-03-31;1.546371;
2015-04-30;1.586111;
2015-05-31;1.504839;
2015-06-30;1.423472;
2015-07-31;1.347984;
2015-08-31;1.671774;
2015-09-30;1.456389;
2015-10-31;null;
2015-11-30;null;
2015-12-31;1.558737;
2016-01-31;1.569489;
2016-02-29;1.797701;
2016-03-31;1.556317;
2016-04-30;1.814583;
2016-05-31;1.470564;
2016-06-30;1.217778;
2016-07-31;1.438441;
2016-08-31;1.553087;
2016-09-30;null;
2016-10-31;null;
2016-11-30;1.48984;
2016-12-31;1.723428;
2017-01-31;1.617748;
2017-02-28;1.886012;
2017-03-31;1.623504;
2017-04-30;1.460393;
2017-05-31;1.383065;
2017-06-30;1.336111;
2017-07-31;1.592222;
2017-08-31;1.344296;
2017-09-30;1.587959;
2017-10-31;1.564247;
2017-11-30;1.589861;
2017-12-31;1.413996;
2018-01-31;1.452086;
2018-02-28;1.46131;
2018-03-31;1.525806;
2018-04-30;1.600972;
2018-05-31;1.508468;
2018-06-30;1.054444;
2018-07-31;1.365726;
2018-08-31;1.159274;
2018-09-30;1.459861;
2018-10-31;1.25457;
2018-11-30;1.397917;
2018-12-31;1.69086;
2019-01-31;1.821774;
2019-02-28;1.547173;
2019-03-31;1.511021;
2019-04-30;1.550139;
2019-05-31;1.42164;
2019-06-30;1.572361;
2019-07-31;1.664516;
2019-08-31;1.443823;
2019-09-30;1.230833;
2019-10-31;1.519355;
2019-11-30;1.469306;
2019-12-31;1.461021;
2020-01-31;1.547984;
2020-02-29;1.380747;
2020-03-31;1.618957;
2020-04-30;1.554028;
2020-05-31;1.633228;
2020-06-30;1.363333;
2020-07-31;1.411857;
2020-08-31;1.637173;
2020-09-30;1.514535;
2020-10-31;1.676344;
2020-11-30;1.483611;
2020-12-31;1.375725;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;1.042835;
2021-09-30;1.538895;
2021-10-31;1.313175;
2021-11-30;1.556926;
2021-12-31;1.572744;
2022-01-31;1.452285;
2022-02-28;1.527381;
2022-03-31;1.671774;
2022-04-30;1.56625;
2022-05-31;1.658737;
2022-06-30;1.320429;
2022-07-31;1.447902;
2022-08-31;1.632276;
2022-09-30;1.452197;
2022-10-31;1.347611;
2022-11-30;1.633816;
2022-12-31;1.588594;

