Nome: CAMPOS DOS GOYTACAZES - SAO TOME
Codigo Estacao: A620
Latitude: -22.04166666
Longitude: -41.05166666
Altitude: 7
Situacao: Operante
Data Inicial: 2008-06-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;3.276478;
2008-08-31;4.763575;
2008-09-30;4.118889;
2008-10-31;4.658333;
2008-11-30;3.949444;
2008-12-31;3.828629;
2009-01-31;4.249363;
2009-02-28;4.18552;
2009-03-31;3.060618;
2009-04-30;2.768472;
2009-05-31;3.097043;
2009-06-30;3.039167;
2009-07-31;3.43629;
2009-08-31;3.923253;
2009-09-30;4.496806;
2009-10-31;3.568103;
2009-11-30;5.293611;
2009-12-31;3.753898;
2010-01-31;5.385215;
2010-02-28;4.207441;
2010-03-31;3.144501;
2010-04-30;3.098056;
2010-05-31;2.870296;
2010-06-30;2.755972;
2010-07-31;3.077823;
2010-08-31;3.797984;
2010-09-30;4.805833;
2010-10-31;4.026893;
2010-11-30;3.437778;
2010-12-31;4.022764;
2011-01-31;4.974193;
2011-02-28;4.264881;
2011-03-31;2.741201;
2011-04-30;2.892361;
2011-05-31;3.039306;
2011-06-30;3.215833;
2011-07-31;3.850403;
2011-08-31;4.28772;
2011-09-30;4.771389;
2011-10-31;4.902963;
2011-11-30;4.391709;
2011-12-31;4.287787;
2012-01-31;4.499866;
2012-02-29;4.886207;
2012-03-31;3.664849;
2012-04-30;3.130833;
2012-05-31;2.889651;
2012-06-30;3.063889;
2012-07-31;3.625269;
2012-08-31;3.70121;
2012-09-30;4.892222;
2012-10-31;5.209028;
2012-11-30;3.741806;
2012-12-31;5.036156;
2013-01-31;4.444624;
2013-02-28;5.004167;
2013-03-31;3.406167;
2013-04-30;2.892639;
2013-05-31;3.082539;
2013-06-30;2.915972;
2013-07-31;3.661542;
2013-08-31;4.769758;
2013-09-30;4.914444;
2013-10-31;4.549328;
2013-11-30;4.498333;
2013-12-31;4.039785;
2014-01-31;4.952285;
2014-02-28;4.332143;
2014-03-31;3.988978;
2014-04-30;1.923275;
2014-05-31;null;
2014-06-30;3.195;
2014-07-31;2.473925;
2014-08-31;2.191801;
2014-09-30;2.602222;
2014-10-31;2.119221;
2014-11-30;1.995556;
2014-12-31;1.780242;
2015-01-31;.617473;
2015-02-28;.091518;
2015-03-31;.00672;
2015-04-30;.018472;
2015-05-31;.004973;
2015-06-30;.001111;
2015-07-31;.000806;
2015-08-31;0;
2015-09-30;0;
2015-10-31;0;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;2.846061;
2016-06-30;3.016528;
2016-07-31;3.586021;
2016-08-31;4.554032;
2016-09-30;4.56875;
2016-10-31;4.759672;
2016-11-30;4.495278;
2016-12-31;4.334946;
2017-01-31;5.660618;
2017-02-28;3.961905;
2017-03-31;3.810349;
2017-04-30;3.507778;
2017-05-31;3.433737;
2017-06-30;3.101389;
2017-07-31;3.038306;
2017-08-31;4.21586;
2017-09-30;5.620972;
2017-10-31;5.660618;
2017-11-30;4.651667;
2017-12-31;4.168414;
2018-01-31;4.608199;
2018-02-28;3.741518;
2018-03-31;2.862097;
2018-04-30;2.347778;
2018-05-31;2.573118;
2018-06-30;3.219444;
2018-07-31;3.25121;
2018-08-31;3.669489;
2018-09-30;4.197501;
2018-10-31;4.447581;
2018-11-30;4.571944;
2018-12-31;3.877554;
2019-01-31;5.452823;
2019-02-28;3.403571;
2019-03-31;2.969355;
2019-04-30;3.19;
2019-05-31;3.068011;
2019-06-30;2.862083;
2019-07-31;3.209409;
2019-08-31;3.886425;
2019-09-30;4.829861;
2019-10-31;4.847446;
2019-11-30;3.951667;
2019-12-31;4.267742;
2020-01-31;3.853226;
2020-02-29;3.637931;
2020-03-31;2.843952;
2020-04-30;2.915278;
2020-05-31;3.068011;
2020-06-30;3.122361;
2020-07-31;3.41586;
2020-08-31;4.22621;
2020-09-30;4.680556;
2020-10-31;4.222984;
2020-11-30;3.75993;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;3.606183;
2021-11-30;3.43;
2021-12-31;3.582661;
2022-01-31;4.324638;
2022-02-28;3.446875;
2022-03-31;4.052151;
2022-04-30;3.035278;
2022-05-31;3.286425;
2022-06-30;3.368478;
2022-07-31;3.711559;
2022-08-31;4.314382;
2022-09-30;4.092935;
2022-10-31;null;
2022-11-30;null;
2022-12-31;4.19434;

