Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2007-04-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-04-30;null;
2007-05-31;1.55567;
2007-06-30;.976577;
2007-07-31;1.439642;
2007-08-31;1.49898;
2007-09-30;1.715242;
2007-10-31;1.778495;
2007-11-30;1.798202;
2007-12-31;1.528091;
2008-01-31;1.421371;
2008-02-29;1.331437;
2008-03-31;1.499067;
2008-04-30;1.240833;
2008-05-31;1.060168;
2008-06-30;1.131366;
2008-07-31;.927688;
2008-08-31;1.430242;
2008-09-30;1.479722;
2008-10-31;1.650134;
2008-11-30;1.699444;
2008-12-31;1.5375;
2009-01-31;1.445296;
2009-02-28;1.546778;
2009-03-31;1.21129;
2009-04-30;1.115833;
2009-05-31;1.02164;
2009-06-30;1.2275;
2009-07-31;1.403629;
2009-08-31;1.403629;
2009-09-30;1.484444;
2009-10-31;1.753114;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;1.184673;
2010-03-31;1.287903;
2010-04-30;1.261063;
2010-05-31;.974255;
2010-06-30;.848333;
2010-07-31;.992339;
2010-08-31;1.505844;
2010-09-30;1.293611;
2010-10-31;1.660484;
2010-11-30;1.328194;
2010-12-31;1.458468;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;1.187778;
2011-05-31;1.138616;
2011-06-30;1.149583;
2011-07-31;1.185484;
2011-08-31;1.538844;
2011-09-30;1.695556;
2011-10-31;1.721829;
2011-11-30;1.480231;
2011-12-31;1.559467;
2012-01-31;1.434116;
2012-02-29;1.50158;
2012-03-31;1.46411;
2012-04-30;1.293333;
2012-05-31;1.027688;
2012-06-30;null;
2012-07-31;null;
2012-08-31;1.439305;
2012-09-30;1.600139;
2012-10-31;1.676478;
2012-11-30;1.538611;
2012-12-31;1.68871;
2013-01-31;1.581317;
2013-02-28;1.441815;
2013-03-31;1.321889;
2013-04-30;1.101806;
2013-05-31;1.084742;
2013-06-30;.93375;
2013-07-31;1.293057;
2013-08-31;1.357258;
2013-09-30;1.705;
2013-10-31;1.663937;
2013-11-30;1.710972;
2013-12-31;1.453629;
2014-01-31;1.567204;
2014-02-28;1.493304;
2014-03-31;1.370699;
2014-04-30;1.215;
2014-05-31;1.076882;
2014-06-30;.959861;
2014-07-31;.954436;
2014-08-31;1.177957;
2014-09-30;1.704167;
2014-10-31;1.765649;
2014-11-30;1.712917;
2014-12-31;1.850672;
2015-01-31;1.602823;
2015-02-28;1.453572;
2015-03-31;.877554;
2015-04-30;1.058785;
2015-05-31;1.010484;
2015-06-30;1.055972;
2015-07-31;1.142876;
2015-08-31;1.392412;
2015-09-30;1.556805;
2015-10-31;1.781586;
2015-11-30;1.486389;
2015-12-31;1.602016;
2016-01-31;1.654839;
2016-02-29;1.577011;
2016-03-31;1.334543;
2016-04-30;1.183927;
2016-05-31;1.13636;
2016-06-30;1.175414;
2016-07-31;1.319265;
2016-08-31;1.550543;
2016-09-30;1.660081;
2016-10-31;1.70052;
2016-11-30;1.654597;
2016-12-31;1.553208;
2017-01-31;1.608614;
2017-02-28;1.626517;
2017-03-31;1.537082;
2017-04-30;1.359364;
2017-05-31;1.148385;
2017-06-30;.992318;
2017-07-31;1.153518;
2017-08-31;1.406183;
2017-09-30;1.480694;
2017-10-31;1.749;
2017-11-30;1.723994;
2017-12-31;1.419489;
2018-01-31;1.496237;
2018-02-28;1.363691;
2018-03-31;1.230376;
2018-04-30;1.083055;
2018-05-31;1.128629;
2018-06-30;.984167;
2018-07-31;1.106048;
2018-08-31;1.214919;
2018-09-30;1.631944;
2018-10-31;1.440188;
2018-11-30;1.66825;
2018-12-31;1.582796;
2019-01-31;1.561156;
2019-02-28;1.432143;
2019-03-31;1.218548;
2019-04-30;1.246806;
2019-05-31;.973521;
2019-06-30;.918611;
2019-07-31;1.125806;
2019-08-31;1.203495;
2019-09-30;1.375417;
2019-10-31;1.449328;
2019-11-30;1.632639;
2019-12-31;1.451344;
2020-01-31;1.441935;
2020-02-29;1.411207;
2020-03-31;1.198656;
2020-04-30;1.137222;
2020-05-31;1.043817;
2020-06-30;.97125;
2020-07-31;1.096102;
2020-08-31;1.176344;
2020-09-30;1.250177;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;1.394355;
2021-02-28;1.183631;
2021-03-31;1.225;
2021-04-30;1.392083;
2021-05-31;.850941;
2021-06-30;1.026528;
2021-07-31;.953629;
2021-08-31;1.176958;
2021-09-30;1.428194;
2021-10-31;1.322715;
2021-11-30;1.346667;
2021-12-31;1.415323;
2022-01-31;1.148656;
2022-02-28;1.119792;
2022-03-31;1.267339;
2022-04-30;1.058194;
2022-05-31;.996032;
2022-06-30;.913502;
2022-07-31;.807469;
2022-08-31;1.140749;
2022-09-30;1.180151;
2022-10-31;1.27839;
2022-11-30;1.350586;
2022-12-31;1.263104;

