Nome: NOVA VENECIA
Codigo Estacao: A623
Latitude: -18.69527777
Longitude: -40.39055555
Altitude: 156.02
Situacao: Pane
Data Inicial: 2008-06-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;2.052419;
2008-08-31;2.073387;
2008-09-30;2.549583;
2008-10-31;2.908871;
2008-11-30;2.436528;
2008-12-31;2.11129;
2009-01-31;2.096774;
2009-02-28;2.072619;
2009-03-31;1.927016;
2009-04-30;1.872361;
2009-05-31;1.813307;
2009-06-30;1.866389;
2009-07-31;1.857124;
2009-08-31;2.313307;
2009-09-30;2.574583;
2009-10-31;2.29245;
2009-11-30;2.300894;
2009-12-31;2.164651;
2010-01-31;2.237615;
2010-02-28;2.046429;
2010-03-31;1.903763;
2010-04-30;1.913889;
2010-05-31;1.610753;
2010-06-30;1.908472;
2010-07-31;1.919355;
2010-08-31;2.069425;
2010-09-30;2.442361;
2010-10-31;2.504839;
2010-11-30;2.338056;
2010-12-31;2.136425;
2011-01-31;2.127419;
2011-02-28;1.976935;
2011-03-31;1.791474;
2011-04-30;1.691944;
2011-05-31;1.70048;
2011-06-30;1.905296;
2011-07-31;1.833602;
2011-08-31;null;
2011-09-30;null;
2011-10-31;2.534379;
2011-11-30;2.2275;
2011-12-31;2.035753;
2012-01-31;1.996102;
2012-02-29;2.116642;
2012-03-31;1.916801;
2012-04-30;1.836111;
2012-05-31;2.104839;
2012-06-30;1.850694;
2012-07-31;1.842876;
2012-08-31;2.297849;
2012-09-30;2.317917;
2012-10-31;2.184812;
2012-11-30;2.126944;
2012-12-31;2.056943;
2013-01-31;2.138575;
2013-02-28;1.957738;
2013-03-31;1.9745;
2013-04-30;1.949167;
2013-05-31;1.80336;
2013-06-30;1.632639;
2013-07-31;2.076625;
2013-08-31;2.160081;
2013-09-30;2.299167;
2013-10-31;2.247446;
2013-11-30;2.299444;
2013-12-31;1.983602;
2014-01-31;1.781183;
2014-02-28;1.901434;
2014-03-31;1.837927;
2014-04-30;1.700676;
2014-05-31;1.846909;
2014-06-30;1.699583;
2014-07-31;2;
2014-08-31;2.077419;
2014-09-30;2.396944;
2014-10-31;2.720833;
2014-11-30;2.364583;
2014-12-31;2.178251;
2015-01-31;2.374309;
2015-02-28;2.154316;
2015-03-31;1.834432;
2015-04-30;1.940483;
2015-05-31;2.085081;
2015-06-30;2.15907;
2015-07-31;1.649328;
2015-08-31;1.838306;
2015-09-30;2.5175;
2015-10-31;2.827823;
2015-11-30;2.55558;
2015-12-31;2.548522;
2016-01-31;2.263038;
2016-02-29;2.014368;
2016-03-31;1.914919;
2016-04-30;1.777307;
2016-05-31;2.016263;
2016-06-30;2.084571;
2016-07-31;2.085215;
2016-08-31;2.160081;
2016-09-30;2.497639;
2016-10-31;2.727016;
2016-11-30;2.362778;
2016-12-31;2.295296;
2017-01-31;2.237284;
2017-02-28;1.970982;
2017-03-31;1.876747;
2017-04-30;2.157917;
2017-05-31;1.93629;
2017-06-30;1.938877;
2017-07-31;2.20672;
2017-08-31;2.006183;
2017-09-30;2.290556;
2017-10-31;2.59328;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;1.731317;
2018-06-30;1.583194;
2018-07-31;1.475538;
2018-08-31;1.82957;
2018-09-30;2.075833;
2018-10-31;2.236021;
2018-11-30;2.04125;
2018-12-31;1.859379;
2019-01-31;1.897446;
2019-02-28;1.808482;
2019-03-31;2.143952;
2019-04-30;1.805694;
2019-05-31;1.74785;
2019-06-30;1.818889;
2019-07-31;2.120161;
2019-08-31;2.357392;
2019-09-30;2.418333;
2019-10-31;2.264919;
2019-11-30;2.249159;
2019-12-31;2.235484;
2020-01-31;2.157796;
2020-02-29;1.97931;
2020-03-31;2.112769;
2020-04-30;2.319722;
2020-05-31;1.831452;
2020-06-30;1.700833;
2020-07-31;1.9125;
2020-08-31;2.395565;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;2.329445;
2021-12-31;2.225538;
2022-01-31;2.098457;
2022-02-28;1.823065;
2022-03-31;1.726747;
2022-04-30;1.860972;
2022-05-31;1.863746;
2022-06-30;1.831667;
2022-07-31;1.761425;
2022-08-31;2.393145;
2022-09-30;2.587083;
2022-10-31;2.453763;
2022-11-30;2.461944;
2022-12-31;2.175134;

