Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2016-06-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;1.454119;
2016-07-31;1.42191;
2016-08-31;1.78295;
2016-09-30;1.997953;
2016-10-31;2.07841;
2016-11-30;1.908213;
2016-12-31;1.788792;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;1.58178;
2017-05-31;1.464466;
2017-06-30;1.393633;
2017-07-31;1.595699;
2017-08-31;1.527435;
2017-09-30;1.880026;
2017-10-31;1.955425;
2017-11-30;null;
2017-12-31;1.708311;
2018-01-31;null;
2018-02-28;null;
2018-03-31;1.51371;
2018-04-30;1.450972;
2018-05-31;1.484409;
2018-06-30;1.232083;
2018-07-31;1.293414;
2018-08-31;1.570027;
2018-09-30;1.8;
2018-10-31;1.708602;
2018-11-30;1.923889;
2018-12-31;1.708333;
2019-01-31;1.665995;
2019-02-28;1.569002;
2019-03-31;1.442876;
2019-04-30;1.449722;
2019-05-31;1.263897;
2019-06-30;1.262778;
2019-07-31;1.553763;
2019-08-31;1.59119;
2019-09-30;1.688382;
2019-10-31;1.725403;
2019-11-30;1.823678;
2019-12-31;1.688389;
2020-01-31;1.478506;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;1.358737;
2020-06-30;1.418797;
2020-07-31;null;
2020-08-31;1.672581;
2020-09-30;1.869595;
2020-10-31;null;
2020-11-30;1.756271;
2020-12-31;1.467983;
2021-01-31;1.771136;
2021-02-28;1.464583;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;1.383046;
2021-07-31;1.37621;
2021-08-31;1.550806;
2021-09-30;1.772917;
2021-10-31;1.830376;
2021-11-30;1.725;
2021-12-31;1.62043;
2022-01-31;1.634005;
2022-02-28;1.386756;
2022-03-31;1.455353;
2022-04-30;1.396473;
2022-05-31;1.375982;
2022-06-30;1.255512;
2022-07-31;1.361543;
2022-08-31;1.699316;
2022-09-30;1.702204;
2022-10-31;1.74187;
2022-11-30;1.653498;
2022-12-31;1.656558;

