Nome: NITEROI
Codigo Estacao: A627
Latitude: -22.86749999
Longitude: -43.10194444
Altitude: 6
Situacao: Operante
Data Inicial: 2018-07-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-07-31;null;
2018-08-31;1.375403;
2018-09-30;1.543225;
2018-10-31;1.515457;
2018-11-30;1.507361;
2018-12-31;1.616667;
2019-01-31;1.679704;
2019-02-28;1.410863;
2019-03-31;1.304032;
2019-04-30;1.347639;
2019-05-31;1.169892;
2019-06-30;1.034028;
2019-07-31;1.270161;
2019-08-31;1.322312;
2019-09-30;1.454444;
2019-10-31;1.607124;
2019-11-30;1.691667;
2019-12-31;1.560349;
2020-01-31;1.438844;
2020-02-29;1.313937;
2020-03-31;1.345296;
2020-04-30;1.250417;
2020-05-31;1.184077;
2020-06-30;1.066806;
2020-07-31;1.231452;
2020-08-31;1.365188;
2020-09-30;1.390417;
2020-10-31;1.642608;
2020-11-30;1.452639;
2020-12-31;1.342339;
2021-01-31;1.542339;
2021-02-28;1.399256;
2021-03-31;1.461425;
2021-04-30;null;
2021-05-31;null;
2021-06-30;1.133306;
2021-07-31;1.240504;
2021-08-31;null;
2021-09-30;null;
2021-10-31;1.424462;
2021-11-30;null;
2021-12-31;1.542876;
2022-01-31;1.292876;
2022-02-28;1.28299;
2022-03-31;1.426052;
2022-04-30;1.280417;
2022-05-31;1.19664;
2022-06-30;1.057083;
2022-07-31;.99086;
2022-08-31;1.349059;
2022-09-30;1.433889;
2022-10-31;1.430108;
2022-11-30;null;
2022-12-31;null;

