Nome: CARMO
Codigo Estacao: A629
Latitude: -21.938745
Longitude: -42.600936
Altitude: 293
Situacao: Operante
Data Inicial: 2018-10-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;null;
2018-11-30;1.051806;
2018-12-31;1.018209;
2019-01-31;.996289;
2019-02-28;.95625;
2019-03-31;.951075;
2019-04-30;.821389;
2019-05-31;.707661;
2019-06-30;.713346;
2019-07-31;.793817;
2019-08-31;.855914;
2019-09-30;.960972;
2019-10-31;1.042742;
2019-11-30;1.085833;
2019-12-31;1.078629;
2020-01-31;.947581;
2020-02-29;.919397;
2020-03-31;.934409;
2020-04-30;.840139;
2020-05-31;.736021;
2020-06-30;.71375;
2020-07-31;.758065;
2020-08-31;.865054;
2020-09-30;.914583;
2020-10-31;1.125672;
2020-11-30;1.148611;
2020-12-31;.919758;
2021-01-31;1.057124;
2021-02-28;.981101;
2021-03-31;.975672;
2021-04-30;.852917;
2021-05-31;.721102;
2021-06-30;.679306;
2021-07-31;.750941;
2021-08-31;.874194;
2021-09-30;1.056528;
2021-10-31;1.030651;
2021-11-30;1.026528;
2021-12-31;1.037903;
2022-01-31;.984618;
2022-02-28;.992645;
2022-03-31;.92836;
2022-04-30;.847222;
2022-05-31;.752554;
2022-06-30;.663472;
2022-07-31;.749462;
2022-08-31;.90876;
2022-09-30;.946092;
2022-10-31;1.024059;
2022-11-30;1.078056;
2022-12-31;1.0625;

