Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Operante
Data Inicial: 2017-03-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-03-31;null;
2017-04-30;1.72125;
2017-05-31;1.603617;
2017-06-30;1.655083;
2017-07-31;2.007258;
2017-08-31;1.739319;
2017-09-30;2.267485;
2017-10-31;2.321313;
2017-11-30;2.280761;
2017-12-31;1.804262;
2018-01-31;1.916789;
2018-02-28;1.610565;
2018-03-31;1.486804;
2018-04-30;1.493853;
2018-05-31;1.5216;
2018-06-30;1.450437;
2018-07-31;1.32957;
2018-08-31;1.932392;
2018-09-30;2.131528;
2018-10-31;2.347446;
2018-11-30;1.947071;
2018-12-31;1.65336;
2019-01-31;1.72379;
2019-02-28;1.661607;
2019-03-31;1.859409;
2019-04-30;1.680278;
2019-05-31;1.468817;
2019-06-30;1.511806;
2019-07-31;1.77164;
2019-08-31;2.153196;
2019-09-30;2.17375;
2019-10-31;2.285742;
2019-11-30;2.385324;
2019-12-31;2.118014;
2020-01-31;1.940449;
2020-02-29;1.934939;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;2.008196;
2022-01-31;1.707212;
2022-02-28;1.592868;
2022-03-31;1.480517;
2022-04-30;1.557639;
2022-05-31;1.721967;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;2.428943;
2022-10-31;2.269816;
2022-11-30;null;
2022-12-31;null;

